CATEGORY,BRAND,DESCRIPTION,FORMAT,ITEM#
Fruit/CrГЁme Filling,BakeMark,"FILLING, APPLE DANISH",10.9 KG,20428
,BakeMark,"FILLING, APPLE TURNOVER",11.3 KG,20431
,BakeMark,"FILLING, APPLE TURNOVER",15 KG,20560
,BakeMark,"FILLING, APPLE'N RASPBERRY",13.6 KG,20569
,BakeMark,"FILLING, APRICOT DANISH",10.9 KG,20434
,BakeMark,"FILLING, BANANA CRГ€ME NON-HYDRO",12 KG,21138
,BakeMark,"FILLING, BAVARIAN CRГ€ME",15 KG,20449
,BakeMark,"FILLING, BAVARIAN CRГ€ME",12 KG,20453
,BakeMark,"FILLING, BAVARIAN CRГ€ME NH",15 KG,21147
,BakeMark,"FILLING, BAVARIAN CRГ€ME NH",12 KG,21129
,BakeMark,"FILLING, BAVARIAN CRГ€ME NH",10.88 KG,21141
,BakeMark,"FILLING, BAVARIAN TRANS FAT FREE",10.88 KG,21125
,BakeMark,"FILLING, BAVARIAN WHITE NON-HYDRO",10.88 KG,21140
,BakeMark,"FILLING, BLACKBERRY TRES",8 KG,21144
,BakeMark,"FILLING, BLUEBERRY",12 KG,20462
,BakeMark,"FILLING, BLUEBERRY",15 KG,20578
,BakeMark,"FILLING, BLUEBERRY CHEF",12 KG,21115
,BakeMark,"FILLING, BLUEBERRY DANISH",10.9 KG,20464
,BakeMark,"FILLING, BLUEBERRY DELUX",12 KG,20098
,BakeMark,"FILLING, BLUEBERRY",12 KG,21136
,BakeMark,"FILLING, BLUEBERRY",7 KG,21133
,Henry & Henry,"FILLING, CAJETA CARAMEL",42 LB,33114
,Henry & Henry,"FILLING, CAJETA CARAMEL",20 LB,86031
,BakeMark,"FILLING, CHERRY",15 KG,20470
,BakeMark,"FILLING, CHERRY",12 KG,20468
,BakeMark,"FILLING, CHERRY",12 KG,21163
,Brill,"FILLING, CHERRY",20 LB,89029
,BakeMark,"FILLING, CHERRY BLK FOREST",1 KG,20459
,BakeMark,"FILLING, CHERRY BLK FOREST",15 KG,20458
,BakeMark,"FILLING, CHERRY CHEESECAKE",10.88 KG,27306
,BakeMark,"FILLING, CHERRY CHEESECAKE",12 KG,21170
,BakeMark,"FILLING, CHERRY DANISH",10.9 KG,20473
,BakeMark,"FILLING, CHERRY DANISH CHEF",10.88 KG,31834
,BakeMark,"FILLING, CHERRY PIE TASTEE",7 KG,21166
,BakeMark,"FILLING, CHERRY BLACK FOREST",12 KG,21142
,BakeMark,"FILLING, CHERRY BLACK FOREST (FR)",12 KG,21097
,BakeMark,"FILLING, CHERRY CHEF",12 KG,21145
,BakeMark,"FILLING, CHERRY DELUX",12 KG,21160
,Henry & Henry,"FILLING, CHOC BAVARIAN",20 LB,60023
,Henry & Henry,"FILLING, COCONUT CRГ€ME",18 LB,86030
,Henry & Henry,"FILLING, CRANBERRY",20 LB,60382
,BakeMark,"FILLING, CREAM CHEESE",15 KG,22804
,Henry & Henry,"FILLING, CREAM CHEESE",40 LB,86013
,Henry & Henry,"FILLING, CREAM CHEESE PASTRY",20 LB,86022
,Henry & Henry,"FILLING, CROWN CHERRY",18 LB,1337
,Henry & Henry,"FILLING, CROWN PEACH",20 LB,32570
,Henry & Henry,"FILLING, CROWN PINEAPPLE",20 LB,60243
,Henry & Henry,"FILLING, CROWN RED RASPBERRY",20 LB,23557
,Westco,"FILLING, CUBE CUT APPLE",38 LB,60262
,BakeMark,"FILLING, DATE PUREE",12 KG,21190
,BakeMark,"FILLING, DATE PUREE",15 KG,21192
,Westco,"FILLING, DULCE DE LECHE (BAKE STABLE)",38 LB,60281
,Westco,"FILLING, DULCE DE LECHE (COLD APP)",20 LB,60278
,BakeMark,"FILLING, EASY DATE",15 KG,20611
,BakeMark,"FILLING, EASY DATE",12 KG,20486
,BakeMark,"FILLING, FESTIVAL MINCE FILLING",12 KG,20513
,BakeMark,"FILLING, FESTIVAL MINCE FILLING",15 KG,20662
,Westco,"FILLING, FRESH CUBE CUT APPLE",38 LB,60241
,Henry & Henry,"FILLING, FRUITFUL CRANBERRY",42 LB,86046
,BakeMark,"FILLING, GOLDEN LEMON NON-HYDRO",12 KG,21134
,Westco,"FILLING, GUAVA TRADITIONAL",38 LB,60283
,BakeMark,"FILLING, KEY LIME",12 KG,20495
,Henry & Henry,"FILLING, KEY LIME CRГ€ME",38 LB,23980
,BakeMark,"FILLING, KEY LIME NON-HYDRO",12 KG,28436
,Henry & Henry,"FILLING, LEMON CREAM",38 LB,16063
,BakeMark,"FILLING, LEMON DANISH",10.9 KG,20497
,BakeMark,"FILLING, LEMON GEL",15 KG,20656
,BakeMark,"FILLING, LEMON GEL",12 KG,20501
,BakeMark,"FILLING, LEMON PIE NON-HYDRO",15 KG,21137
,BakeMark,"FILLING, LEMON PIE",15 KG,20503
,BakeMark,"FILLING, LEMON SUPREME",12 KG,20507
,BakeMark,"FILLING, LEMON SUPREME",15 KG,20659
,BakeMark,"FILLING, LEMON TASTEE",12 KG,21214
,Westco,"FILLING, MANGO FILLING",40 LB,60284
,BakeMark,"FILLING, MAPLE",12 KG,34052
,Henry & Henry,"FILLING, MAPLE PECAN FILLIN'BAKE",42 LB,86007
,Brill,"FILLING, NANA CRГ€ME",20 LB,89058
,Westco,"FILLING, NW MARION BLACKBERRY",38 LB,60240
,BakeMark,"FILLING, PASTRY CREAM",12 KG,21226
,BakeMark,"FILLING, PASTRY CREAM",7 KG,21223
,Westco,"FILLING, PINA (PINEAPPLE)",38 LB,60280
,Henry & Henry,"FILLING, POPPY BUTTER",22 LB,19132
,Caravan,POPPY BUTTER,50,88013
,Caravan,POPPY BUTTER,22,88014
,Henry & Henry,"FILLING, PRUNE BUTTER",42 LB,18391
,Caravan,PRUNE LEKVAR,50,88011
,Caravan,PRUNE LEKVAR,20,88012
,BakeMark,"FILLING, RAISIN",12 KG,20525
,BakeMark,"FILLING, RAISIN PIE",12 KG,20674
,BakeMark,"FILLING, RASPBERRY",7 KG,21265
,BakeMark,"FILLING, RASPBERRY",12 KG,21271
,BakeMark,"FILLING, RASPBERRY CHEF",12 KG,21250
,BakeMark,"FILLING, RASPBERRY DANISH",10.9 KG,20527
,BakeMark,"FILLING, RASPBERRY DELITE",15 KG,20680
,BakeMark,"FILLING, RASPBERRY DELITE",12 KG,20684
