Citing Patent,Filing date,Publication date,Applicant,Title
US5325493 *,"Mar 30, 1993","Jun 28, 1994",Hewlett-Packard Company,System for distributing command/data packets tagged by their unit identifier for parallel processing by a ready processing unit and recombination
US5345569 *,"Sep 20, 1991","Sep 6, 1994","Advanced Micro Devices, Inc.",Apparatus and method for resolving dependencies among a plurality of instructions within a storage device
US5434987 *,"Dec 5, 1994","Jul 18, 1995",Intel Corporation,Method and apparatus for preventing incorrect fetching of an instruction of a self-modifying code sequence with dependency on a bufered store
US5450564 *,"Feb 3, 1993","Sep 12, 1995",Unisys Corporation,Method and apparatus for cache memory access with separate fetch and store queues
US5454117 *,"Aug 25, 1993","Sep 26, 1995","Nexgen, Inc.",Configurable branch prediction for a processor performing speculative execution
US5465336 *,"Jun 30, 1994","Nov 7, 1995",International Business Machines Corporation,Fetch and store buffer that enables out-of-order execution of memory instructions in a data processing system
US5471598 *,"Oct 18, 1993","Nov 28, 1995",Cyrix Corporation,Data dependency detection and handling in a microprocessor with write buffer
US5487156 *,"Dec 5, 1990","Jan 23, 1996",Popescu; Valeri,Processor architecture having independently fetching issuing and updating operations of instructions which are sequentially assigned and stored in order fetched
US5488706 *,"Dec 18, 1992","Jan 30, 1996",Amdahl Corporation,Retry request system in a pipeline data processing system where each requesting unit preserves the order of requests
US5490280 *,"Jun 28, 1994","Feb 6, 1996",Intel Corporation,Apparatus and method for entry allocation for a resource buffer
US5493669 *,"Mar 3, 1993","Feb 20, 1996","Motorola, Inc.",Data processor for simultaneously searching two fields of the rename buffer having first and second most recently allogated bits
US5497499 *,"Mar 29, 1994","Mar 5, 1996",Seiko Epson Corporation,Superscalar risc instruction scheduling
US5509130 *,"Dec 14, 1994","Apr 16, 1996","Sun Microsystems, Inc.","Method and apparatus for grouping multiple instructions, issuing grouped instructions simultaneously, and executing grouped instructions in a pipelined processor"
US5517440 *,"May 2, 1995","May 14, 1996","Nexgen, Inc.",Optimized binary adders and comparators for inputs having different widths
US5535347 *,"Nov 7, 1994","Jul 9, 1996",Intel Corporation,Rotators in machine instruction length calculation
US5546554 *,"Feb 2, 1994","Aug 13, 1996","Sun Microsystems, Inc.",Apparatus for dynamic register management in a floating point unit
US5555384 *,"Oct 18, 1994","Sep 10, 1996","Silicon Graphics, Inc.",Rescheduling conflicting issued instructions by delaying one conflicting instruction into the same pipeline stage as a third non-conflicting instruction
US5559975 *,"Jun 1, 1994","Sep 24, 1996","Advanced Micro Devices, Inc.",Program counter update mechanism
US5561776 *,"Jun 6, 1995","Oct 1, 1996",Hyundai Electronics America,Processor architecture supporting multiple speculative branching
US5572664 *,"Nov 27, 1995","Nov 5, 1996","Advanced Micro Devices, Inc.",System for generating floating point test vectors
US5574927 *,"Mar 25, 1994","Nov 12, 1996","International Meta Systems, Inc.",RISC architecture computer configured for emulation of the instruction set of a target computer
US5574928 *,"Apr 26, 1994","Nov 12, 1996","Advanced Micro Devices, Inc.",Mixed integer/floating point processor core for a superscalar microprocessor with a plurality of operand buses for transferring operand segments
US5581735 *,"Feb 17, 1994","Dec 3, 1996",International Business Machines Corporation,System for supplying unit image data to requesting users from multiple storage devices based on directory information and token queues identifying the requester and data
US5583806 *,"Mar 10, 1995","Dec 10, 1996","Advanced Micro Devices, Inc.",Optimized binary adder for concurrently generating effective and intermediate addresses
US5584038 *,"Apr 17, 1996","Dec 10, 1996",Intel Corporation,Entry allocation in a circular buffer using wrap bits indicating whether a queue of the circular buffer has been traversed
US5590351 *,"Jan 21, 1994","Dec 31, 1996","Advanced Micro Devices, Inc.",Superscalar execution unit for sequential instruction pointer updates and segment limit checks
US5590352 *,"Apr 26, 1994","Dec 31, 1996","Advanced Micro Devices, Inc.",Dependency checking and forwarding of variable width operands
US5592636 *,"Jun 6, 1995","Jan 7, 1997",Hyundai Electronics America,Processor architecture supporting multiple speculative branches and trap handling
US5604753 *,"Jan 4, 1994","Feb 18, 1997",Intel Corporation,Method and apparatus for performing error correction on data from an external memory
US5604912 *,"Dec 31, 1992","Feb 18, 1997",Seiko Epson Corporation,System and method for assigning tags to instructions to control instruction execution
US5615402 *,"Dec 14, 1995","Mar 25, 1997",Cyrix Corporation,Unified write buffer having information identifying whether the address belongs to a first write operand or a second write operand having an extra wide latch
US5621694 *,"Oct 31, 1995","Apr 15, 1997",Mitsubishi Denki Kabushiki Kaisha,Semiconductor integrated device with an improved performance
US5623614 *,"Sep 17, 1993","Apr 22, 1997","Advanced Micro Devices, Inc.",Branch prediction cache with multiple entries for returns having multiple callers
US5623619 *,"Jul 24, 1995","Apr 22, 1997","Advanced Micro Devices, Inc.",Linearly addressable microprocessor cache
US5625837 *,"Jun 6, 1995","Apr 29, 1997",Hyundai Electronics America,"Processor architecture having out-of-order execution, speculative branching, and giving priority to instructions which affect a condition code"
US5627983 *,"Jun 6, 1995","May 6, 1997",Hyundai Electronics America,Processor architecture providing out-of-order execution
US5627984 *,"Mar 28, 1996","May 6, 1997",Intel Corporation,Apparatus and method for entry allocation for a buffer resource utilizing an internal two cycle pipeline
US5628021 *,"Apr 4, 1994","May 6, 1997",Seiko Epson Corporation,System and method for assigning tags to control instruction processing in a superscalar processor
US5630082 *,"Aug 18, 1994","May 13, 1997","Advanced Micro Devices, Inc.",Apparatus and method for instruction queue scanning
US5630157 *,"Oct 25, 1994","May 13, 1997",International Business Machines Corporation,Computer organization for multiple and out-of-order execution of condition code testing and setting instructions
US5632023 *,"Jun 1, 1994","May 20, 1997","Advanced Micro Devices, Inc.",Superscalar microprocessor including flag operand renaming and forwarding apparatus
US5634026 *,"May 12, 1995","May 27, 1997",International Business Machines Corporation,Source identifier for result forwarding
US5649225 *,"Jun 1, 1994","Jul 15, 1997","Advanced Micro Devices, Inc.",Resynchronization of a superscalar processor
