Unicode code point,character,UTF-8 (bin.),name
U+0100,ДЂ,11000100 10000000,LATIN CAPITAL LETTER A WITH MACRON
U+0101,ДЃ,11000100 10000001,LATIN SMALL LETTER A WITH MACRON
U+0102,Д‚,11000100 10000010,LATIN CAPITAL LETTER A WITH BREVE
U+0103,Дѓ,11000100 10000011,LATIN SMALL LETTER A WITH BREVE
U+0104,Д„,11000100 10000100,LATIN CAPITAL LETTER A WITH OGONEK
U+0105,Д…,11000100 10000101,LATIN SMALL LETTER A WITH OGONEK
U+0106,Д†,11000100 10000110,LATIN CAPITAL LETTER C WITH ACUTE
U+0107,Д‡,11000100 10000111,LATIN SMALL LETTER C WITH ACUTE
U+0108,Д€,11000100 10001000,LATIN CAPITAL LETTER C WITH CIRCUMFLEX
U+0109,Д‰,11000100 10001001,LATIN SMALL LETTER C WITH CIRCUMFLEX
U+010A,ДЉ,11000100 10001010,LATIN CAPITAL LETTER C WITH DOT ABOVE
U+010B,Д‹,11000100 10001011,LATIN SMALL LETTER C WITH DOT ABOVE
U+010C,ДЊ,11000100 10001100,LATIN CAPITAL LETTER C WITH CARON
U+010D,ДЌ,11000100 10001101,LATIN SMALL LETTER C WITH CARON
U+010E,ДЋ,11000100 10001110,LATIN CAPITAL LETTER D WITH CARON
U+010F,ДЏ,11000100 10001111,LATIN SMALL LETTER D WITH CARON
U+0110,Дђ,11000100 10010000,LATIN CAPITAL LETTER D WITH STROKE
U+0111,Д‘,11000100 10010001,LATIN SMALL LETTER D WITH STROKE
U+0112,Д’,11000100 10010010,LATIN CAPITAL LETTER E WITH MACRON
U+0113,Д“,11000100 10010011,LATIN SMALL LETTER E WITH MACRON
U+0114,Д”,11000100 10010100,LATIN CAPITAL LETTER E WITH BREVE
U+0115,Д•,11000100 10010101,LATIN SMALL LETTER E WITH BREVE
U+0116,Д–,11000100 10010110,LATIN CAPITAL LETTER E WITH DOT ABOVE
U+0117,Д—,11000100 10010111,LATIN SMALL LETTER E WITH DOT ABOVE
U+0118,Д,11000100 10011000,LATIN CAPITAL LETTER E WITH OGONEK
U+0119,Д™,11000100 10011001,LATIN SMALL LETTER E WITH OGONEK
