Location Code,Channel Code,Instrument,Flags,Sample Rate,Dip,Azimuth,Depth
20,HNZ,EST-S,TG,200.00,-90.00,0.00,0.00
20,HN1,EST-S,TG,200.00,0.00,0.00,0.00
20,HN2,EST-S,TG,200.00,0.00,90.00,0.00
00,LH1,STS2-I,CG,1.00,0.00,0.00,0.00
00,LH2,STS2-I,CG,1.00,0.00,90.00,0.00
20,LN1,EST-S,CG,1.00,0.00,0.00,0.00
20,LN2,EST-S,CG,1.00,0.00,90.00,0.00
00,BHZ,STS2-I,CG,40.00,-90.00,0.00,0.00
00,BH1,STS2-I,CG,40.00,0.00,0.00,0.00
00,BH2,STS2-I,CG,40.00,0.00,90.00,0.00
00,LHZ,STS2-I,CG,1.00,-90.00,0.00,0.00
20,LNZ,EST-S,CG,1.00,-90.00,0.00,0.00
00,VH1,STS2-I,CG,0.10,0.00,0.00,0.00
00,VH2,STS2-I,CG,0.10,0.00,90.00,0.00
00,VHZ,STS2-I,CG,0.10,-90.00,0.00,0.00
