Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),2.993
Shell Resolution(Low),3.0703
Number of Reflections(R-Free),755
Number of Reflections(R-Work),15143
R-Factor(R-Work),0.361
R-Factor(R-Free),0.391
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),3.07
Shell Resolution(Low),3.1539
Number of Reflections(R-Free),856
Number of Reflections(R-Work),16313
R-Factor(R-Work),0.342
R-Factor(R-Free),0.357
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),3.154
Shell Resolution(Low),3.2448
Number of Reflections(R-Free),908
Number of Reflections(R-Work),15904
R-Factor(R-Work),0.324
R-Factor(R-Free),0.333
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),3.245
Shell Resolution(Low),3.344
Number of Reflections(R-Free),788
Number of Reflections(R-Work),15642
R-Factor(R-Work),0.313
R-Factor(R-Free),0.342
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),3.344
Shell Resolution(Low),3.4528
Number of Reflections(R-Free),782
Number of Reflections(R-Work),15216
R-Factor(R-Work),0.299
R-Factor(R-Free),0.339
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),3.453
Shell Resolution(Low),3.5731
Number of Reflections(R-Free),748
Number of Reflections(R-Work),14722
R-Factor(R-Work),0.28
R-Factor(R-Free),0.295
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),3.573
Shell Resolution(Low),3.7068
Number of Reflections(R-Free),769
Number of Reflections(R-Work),14250
R-Factor(R-Work),0.27
R-Factor(R-Free),0.276
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),3.707
Shell Resolution(Low),3.8568
Number of Reflections(R-Free),733
Number of Reflections(R-Work),13683
R-Factor(R-Work),0.264
R-Factor(R-Free),0.274
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),3.857
Shell Resolution(Low),4.0266
Number of Reflections(R-Free),687
Number of Reflections(R-Work),13124
R-Factor(R-Work),0.259
R-Factor(R-Free),0.28
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),4.027
Shell Resolution(Low),4.2211
Number of Reflections(R-Free),653
Number of Reflections(R-Work),12566
R-Factor(R-Work),0.241
R-Factor(R-Free),0.265
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),4.221
Shell Resolution(Low),4.4467
Number of Reflections(R-Free),626
Number of Reflections(R-Work),11954
R-Factor(R-Work),0.236
R-Factor(R-Free),0.263
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),4.447
Shell Resolution(Low),4.7128
Number of Reflections(R-Free),598
Number of Reflections(R-Work),11277
R-Factor(R-Work),0.236
R-Factor(R-Free),0.255
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),4.713
Shell Resolution(Low),5.0332
Number of Reflections(R-Free),550
Number of Reflections(R-Work),10680
R-Factor(R-Work),0.245
R-Factor(R-Free),0.264
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),5.033
Shell Resolution(Low),5.4294
Number of Reflections(R-Free),514
Number of Reflections(R-Work),10069
R-Factor(R-Work),0.27
R-Factor(R-Free),0.28
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),5.429
Shell Resolution(Low),5.9368
Number of Reflections(R-Free),528
Number of Reflections(R-Work),9273
R-Factor(R-Work),0.302
R-Factor(R-Free),0.331
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),5.937
Shell Resolution(Low),6.6195
Number of Reflections(R-Free),446
Number of Reflections(R-Work),8461
R-Factor(R-Work),0.288
R-Factor(R-Free),0.299
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),6.619
Shell Resolution(Low),7.6091
Number of Reflections(R-Free),382
Number of Reflections(R-Work),7564
R-Factor(R-Work),0.236
R-Factor(R-Free),0.239
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),7.609
Shell Resolution(Low),9.2367
Number of Reflections(R-Free),334
Number of Reflections(R-Work),6458
R-Factor(R-Work),0.19
R-Factor(R-Free),0.21
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),9.237
Shell Resolution(Low),12.7303
Number of Reflections(R-Free),266
Number of Reflections(R-Work),5119
R-Factor(R-Work),0.188
R-Factor(R-Free),0.207
Refinement method,X-RAY DIFFRACTION
Shell Resolution(High),12.73
Shell Resolution(Low),40.161
Number of Reflections(R-Free),158
Number of Reflections(R-Work),3145
R-Factor(R-Work),0.39
R-Factor(R-Free),0.387
