,Title,Author,Date
,Baseball's Seven Wonders: Rickey Henderson's OBP,Sam Miller,2015-05-19
,Transaction Analysis: A Chance In Counsell,R.J. Anderson,2015-05-07
,Transaction Analysis: Lind Blows Out of Toronto,R.J. Anderson,2014-11-05
,Transaction Analysis: Lind Blows Out of Toronto,Mike Gianella,2014-11-05
,Transaction Analysis: Maddon Leaves the Rays Where the Sun Don't Shine,R.J. Anderson,2014-10-27
,Pebble Hunting: How Pitchers React to Home Runs,Sam Miller,2012-07-11
,The Stats Go Marching In: The Hidden Helpers of the Pitching Staff,Max Marchi,2012-03-09
,"Western Front: Scrappy Rain, Scrappy Rain",Geoff Young,2012-02-06
,Prospectus Hit and Run: Leyland's Cooperstown Case,Jay Jaffe,2011-10-13
,The BP Wayback Machine: Blowing It,Nate Silver,2011-08-25
,The BP Broadside: While Scioscia Slept,Steven Goldman,2011-08-18
,"Divide and Conquer, NL East: Just How Bad Have the Marlins Been This Month?",Michael Jong,2011-06-21
,The BP Broadside: Those Who Refuse to Learn From the Past are Condemned to Become Joe Girardi,Steven Goldman,2011-06-01
,"Prospectus Hit and Run: Duke Snider, 1926-2011",Jay Jaffe,2011-02-28
,The BP Broadside: Miguel Cabrera's Grapes of Folly,Steven Goldman,2011-02-21
,Purpose Pitches: A Dozen New Skippers,Christina Kahrl,2011-02-09
,"Prospectus Q&A: Bill Monbouquette, Part One",David Laurila,2011-01-31
,Another Look: Baseball Digest,Bob Hertzel,2010-09-28
,Prospectus Perspective: A Wrigley Rebuild?,Christina Kahrl,2010-08-31
,You Can Blog It Up: The Shockingly Non-Bunty Gene Mauch All-Stars,Steven Goldman,2010-08-14
,Prospectus Hit and Run: Don't Call it the Veterans' Committee,Jay Jaffe,2010-07-28
,Transaction Action: ALtruisms,Christina Kahrl,2010-07-21
,BP Unfiltered: Lou Piniella: Hall of Fame Manager,John Perrotto,2010-07-20
,You Could Look It Up: The Dusty Discontents (or You Must be a Cubs Fan),Steven Goldman,2010-06-28
,Another Look: Remembering Chico Ruiz,Bob Hertzel,2010-04-20
,Prospectus Q&A: Terry Francona,David Laurila,2010-03-19
,Prospectus Q&A: Johnny Goryl,David Laurila,2010-02-05
,Prospectus Hit and Run: From One to the Other,Jay Jaffe,2009-10-29
,"It Ain't Over 'Til It's Over: Oops, They Did it Again?",Christina Kahrl,2009-10-04
,"Game Story: Twins versus Sox, May 19",Christina Kahrl,2009-05-20
,You Could Look It Up: Spit and Polish,Steven Goldman,2008-11-14
,Prospectus Hit and Run: The Comeback Kings,Jay Jaffe,2008-10-15
,Prospectus Q&A: Butch Wynegar,David Laurila,2008-09-21
,"You Could Look It Up: Love in the Temperate Zone, Part One",Steven Goldman,2008-09-09
,"Prospectus Hit and Run: The Life and Times of Buzzie Bavasi, Part Two",Jay Jaffe,2008-05-14
,Prospectus Q&A: Mike Scioscia,David Laurila,2008-04-27
,You Could Look It Up: Scapegoats,Steven Goldman,2007-10-01
,"Lies, Damned Lies: Blowing It",Nate Silver,2007-09-27
,Prospectus Q&A: Greg Gross,David Laurila,2007-06-24
,Schrodinger's Bat: The Price of Contentment,Dan Fox,2007-03-29
,Schrodinger's Bat: Double Steals And More,Dan Fox,2007-03-22
,You Could Look It Up: The Definition of Insanity,Steven Goldman,2006-09-29
,"""This is Our Fault"": The McClatchy Ownership as Team Builder, Part IV",Steven Goldman,2003-09-02
