7:00AM,,$100M gift names Bloomberg Center at Cornell Tech
10:00AM,,Ann Druyan: Pale Blue Dot and Beyond
11:00AM,,$100M gift names Bloomberg Center at Cornell Tech
12:00PM,,Lightweight varsity eight wins 2015 IRA Championship
1:00PM,,$100M gift names Bloomberg Center at Cornell Tech
3:00PM,,Kidney Exchange: A Chain of Love that Saves Lives
5:00PM,,Presidential Panel: The Future of Higher Education
6:00PM,,Lightweight varsity eight wins 2015 IRA Championship
7:00PM,,$100M gift names Bloomberg Center at Cornell Tech
9:00PM,,Inside Medicine - Meeting in the Middle
11:00PM,,Cornell orchards rely on wild bees
1:00AM,,Big Red Marching Band plays 'Crazy in Love'
