Number,Category,Type,Date,Notes
1103200,Distributors,None,1976,"350, Corvette L82, California gm chevy sbc bbc dizzy"
1103203,Distributors,None,1976,"400, Pass, Chevelle, Monte Carlo gm chevy sbc bbc dizzy"
1103209,Distributors,None,1976,"262, Monza California gm chevy sbc bbc dizzy"
1103239,Distributors,None,1977,"305, Cars gm chevy sbc bbc dizzy"
1103244,Distributors,None,1977,"305, Cars California gm chevy sbc bbc dizzy"
1103246,Distributors,None,1977,"350, Cars, Corvette gm chevy sbc bbc dizzy"
1103248,Distributors,None,1977,"350, Cars, Corvette California gm chevy sbc bbc dizzy"
1103252,Distributors,None,1977,"305, Cars high altitude gm chevy sbc bbc dizzy"
1103256,Distributors,None,1977,"350, Corvette L-82 gm chevy sbc bbc dizzy"
1103257,Distributors,None,1977,"350, Corvette L-82 California gm chevy sbc bbc dizzy"
1103258,Distributors,None,1977,"350, Corvette L-82 high altitude gm chevy sbc bbc dizzy"
1103281,Distributors,None,1979,"305, Cars gm chevy sbc bbc dizzy"
1103282,Distributors,None,1979,"305, Cars California gm chevy sbc bbc dizzy"
1103284,Distributors,None,1980,"350, Z-28 Camaro gm chevy sbc bbc dizzy"
1103285,Distributors,None,1978,"350, Corvette California gm chevy sbc bbc dizzy"
1103286,Distributors,None,1978,"350, Camaro Nova high altitude gm chevy sbc bbc dizzy"
1103287,Distributors,None,1980,"350, Corvette L-48 Manual transmission gm chevy sbc bbc dizzy"
1103291,Distributors,None,1978-1979,"350, Corvette L-82 gm chevy sbc bbc dizzy"
1103337,Distributors,None,1978-1980,"350, All gm chevy sbc bbc dizzy"
1103353,Distributors,None,1978,"350, All Std., high altitude gm chevy sbc bbc dizzy"
1103368,Distributors,None,1979-1980,"305, All gm chevy sbc bbc dizzy"
1103370,Distributors,None,1979,"267, Malibu, Monte Carlo Auto trans gm chevy sbc bbc dizzy"
1103371,Distributors,None,1979,"267, Malibu, Monte Carlo Auto trans gm chevy sbc bbc dizzy"
1103379,Distributors,None,1979,"305, All gm chevy sbc bbc dizzy"
1103382,Distributors,None,1980,"267J, Malibu, Monte Carlo gm chevy sbc bbc dizzy"
