Reel 166,1782-1850
Reel 483,1851-1870
Reel 605,1871
Reel 618,1872
Reel 631,1873
Reel 642,1874
Reel 657,1875
Reel 670,1876
Reel 683,1877
Reel 696,1878
Reel 709,1879
Reel 723,1880
Reel 736,1881
Reel 752,1882
Reel 768,1883
Reel 782,1884
Reel 802,1885
Reel 822,1886
Reel 838,1887
Reel 854,1888
Reel 871,1889
Reel 891,1890
Reel 912,1891
Reel 935,1892
Reel 961,1893
Reel 988,1894
Reel 1014,1895
Reel 1040,1896
Reel 1069,1897
Reel 1097,1898
Reel 1128,1899
Reel 1160,1900
Reel 1278,1901
Reel 1303,1902
Reel 1329,1903
Reel 1354,1904
Reel 1385,1905
Reel 1413,1906
Reel 1442,1907
Reel 1472,1908
Reel 1501,1909
Reel 1531,1910
Reel 1564,1911
Reel 1599,1912
