Date,Opponent,Score,comp,att,pct,yds,y/a,td,int,sac
Aug 27,Ky. Christian,"L, 20-6",-,-,-,-,-,-,-,-
Sep 3,at Pikeville,"L, 63-18",-,-,-,-,-,-,-,-
Sep 10,Lindsey Wilson,"L, 33-25",-,-,-,-,-,-,-,-
Sep 17,Radford,"W, 63-6",-,-,-,-,-,-,-,-
Oct 8,at Guilford,"W, 55-24",-,-,-,-,-,-,-,-
Oct 15,Brevard,"L, 41-21",-,-,-,-,-,-,-,-
Oct 22,at Apprentice,"L, 23-21",-,-,-,-,-,-,-,-
Oct 29,at George Mason,"W, 48-26",-,-,-,-,-,-,-,-
Nov 5,at Webber Int'l,"L, 63-6",-,-,-,-,-,-,-,-
Nov 12,Edward Waters,"L, 38-15",-,-,-,-,-,-,-,-
Nov 19,Ave Maria,"W, 27-24",-,-,-,-,-,-,-,-
