Release date,Release
"December 18, 2013",Mille Lacs Indian Museum and Trading Post Hosts Crafts for Kids and Adults in January and February
"December 18, 2013",Free History Film Series at Charles A. Lindbergh Historic Site
"December 18, 2013",Winter Frolic and Queen Charlotte's Ball Bring Winter Fun to North West Company Fur Post
"December 18, 2013",Details are Focus of Family History Classes at Minnesota Historical Society Library Jan. 18
"December 18, 2013","Civil War, Art and Artists and Architecture Tours at the Minnesota State Capitol in January and February"
"December 18, 2013","Celebrate Winter on the Hill at James J. Hill House, Two Weekends Only"
"December 18, 2013",History Theatre RAW Stages Comes to the Minnesota History Center in January
"December 18, 2013","History of Hip Tackles Booze, Bootlegging and Beer in 2014"
"December 11, 2013",Meet Veterans of the Eastern Front at Historic Fort Snelling's WWII History Roundtable Jan. 9
"December 11, 2013",Scratch vs. Mix Brownies and White vs. Whole Wheat at Mill City Museum in January
"December 4, 2013","Alexander Ramsey House January Programs Include Time Capsule, Ramsey After Dark and History Happy Hour"
"December 4, 2013","History of Hip, History Forum, History Lounge and A Toast to Prohibition at History Center in January"
"December 4, 2013",The 'Original Gangsters' Topic of Free History Lounge Program at Minnesota History Center Jan. 28
