Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
10/26/2014,SJ @ CHV,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/22/2014,CHV @ RSL,L 0-2,Started,56,0,0,0,0,0,0,0,1
10/11/2014,COL @ CHV,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/5/2014,RSL @ CHV,W 0-1,Subbed On,2,0,0,0,0,0,0,0,0
9/27/2014,CHV @ SEA,L 2-4,Subbed On,18,0,0,0,0,0,1,0,0
9/21/2014,CHV @ TOR,L 0-3,Started,82,0,0,0,0,3,1,0,0
9/12/2014,KC @ CHV,L 4-0,Started,61,0,0,1,0,2,3,1,0
9/7/2014,CHV @ CLB,L 0-3,Subbed On,37,0,0,1,0,1,0,0,0
9/3/2014,SEA @ CHV,L 4-2,Subbed On,21,0,0,0,0,2,2,0,0
8/31/2014,LA @ CHV,L 3-0,Subbed On,21,0,0,0,0,1,0,0,0
8/23/2014,CHV @ NE,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/16/2014,VAN @ CHV,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/9/2014,CHV @ POR,L 0-2,Started,45,0,0,0,0,1,3,0,0
8/3/2014,DAL @ CHV,L 1-0,Started,69,0,0,2,0,1,2,0,0
7/25/2014,CHV @ COL,L 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/20/2014,CHV @ DC,L 1-3,Started,80,0,0,1,0,3,3,0,0
7/12/2014,CHV @ VAN,W 3-1,Started,90,0,0,1,0,1,0,0,0
7/5/2014,MTL @ CHV,W 0-1,Started,88,0,0,1,0,0,1,0,0
7/2/2014,CHV @ SJ,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/28/2014,RSL @ CHV,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
6/8/2014,CHV @ LA,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/31/2014,PHI @ CHV,L 3-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/28/2014,POR @ CHV,L 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/17/2014,CHV @ DAL,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/11/2014,CHV @ COL,W 3-1,Subbed On,33,2,0,2,2,2,0,1,0
5/7/2014,COL @ SJ,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/3/2014,LA @ COL,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/26/2014,COL @ SEA,L 1-4,Unused Sub,0,0,0,0,0,0,0,0,0
4/19/2014,SJ @ COL,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/12/2014,COL @ TOR,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/5/2014,COL @ VAN,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/29/2014,KC @ COL,L 3-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/22/2014,POR @ COL,W 0-2,Subbed On,10,0,0,1,1,0,0,0,0
3/15/2014,COL @ NY,T 1-1,Subbed On,29,0,0,1,0,1,1,0,0
10/26/2013,DAL @ SJ,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/20/2013,SJ @ LA,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/9/2013,COL @ SJ,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/29/2013,SJ @ CHV,W 1-0,Subbed On,20,0,0,0,0,1,0,0,0
9/21/2013,SJ @ RSL,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/14/2013,VAN @ SJ,T 0-0,Subbed On,31,0,0,2,0,1,1,0,0
9/8/2013,PHI @ SJ,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/31/2013,SJ @ LA,L 0-3,Started,72,0,0,0,0,0,1,0,0
8/24/2013,SJ @ DAL,T 2-2,Started,66,0,0,1,0,1,0,0,0
