Level,Type,,Slot,Name
1,Junk,,,Crate of Dust
1,Junk,,,Crate of Leather
1,Junk,,,Crate of Ore
1,Junk,,,Ancient Mogu Treasure
1,Junk,,,Ancient Mogu Treasure
1,Junk,,,Desecrated Herb
1,Junk,,,Crate of Herbs
1,Pet,,,Chi-ji Kite
1,Pet,,,Yu'lon Kite
20,Pet,,,Jade Tentacle
20,Pet,,,Porcupette
1,Other,,,Bag of Kafa Beans
1,Other,,,Feverbite Egg Sack
1,Other,,,Oddly-Shaped Horn
90,Other,,,Scotty's Lucky Coin
90,Mount,,,Reins of the White Riding Goat
60,Mount,,,Disc of the Red Flying Cloud
90,Mount,,,Reins of the Black Riding Goat
90,Mount,,,Reins of the Brown Riding Goat
384,Miscellaneous,,Trinket,Quilen Statuette
1,Miscellaneous,,Tabard,Anglers Tabard
450,Miscellaneous,Tank,Neck,Gorget of Usurped Kings
450,Miscellaneous,Tank,Finger,Thunderstone Ring
450,Miscellaneous,Melee,Neck,Triumphant Conqueror's Chain
450,Miscellaneous,Melee,Finger,Signet of the Slumbering Emperor
450,Miscellaneous,Spell Spirit,Neck,Pendant of Endless Inquisition
450,Miscellaneous,Spell Spirit,Finger,Sorcerer-King's Seal
509,Miscellaneous,Spell Spirit,Held In Off-hand,Fan of Fiery Winds
483,Miscellaneous,Spell Spirit,Held In Off-hand,Fan of Fiery Winds
496,Miscellaneous,Spell Spirit,Held In Off-hand,Fan of Fiery Winds
450,Miscellaneous,Physical DPS,Neck,Amulet of Swirling Mists
450,Miscellaneous,Physical DPS,Finger,Mark of the Dancing Crane
450,Miscellaneous,Spell DPS,Neck,Necklace of Jade Pearls
450,Miscellaneous,Spell DPS,Finger,Etched Golden Loop
463,Miscellaneous,Spell DPS,Held In Off-hand,Umbrella of Chi-Ji
450,Cloth,Tank,Back,Cloak of the Silent Mountain
450,Cloth,Melee,Back,Ribcracker's Cloak
489,Cloth,Spell Spirit,Chest,Robe of the Five Sisters
450,Cloth,Spell Spirit,Legs,Subversive Leggings
450,Cloth,Spell Spirit,Wrists,Bracers of Eternal Resolve
450,Cloth,Spell Spirit,Hands,Emperor's Riding Gloves
450,Cloth,Spell Spirit,Back,Pressed Flower Cloak
450,Cloth,Physical DPS,Back,Bladesong Cloak
489,Cloth,Spell DPS,Chest,Vestments of Thundering Skies
450,Cloth,Spell DPS,Chest,Robe of Eternal Dynasty
450,Cloth,Spell DPS,Chest,Robe of Quiet Meditation
450,Cloth,Spell DPS,Legs,Leggings of Unfinished Conquest
450,Cloth,Spell DPS,Wrists,Tranquility Bindings
450,Cloth,Spell DPS,Hands,Krompf's Fine-Tuning Gloves
450,Cloth,Spell DPS,Back,Cloak of Ancient Curses
50,Leather,Tank,Head,Headband of the Stampeding Ox
50,Leather,Spell Spirit,Head,Headband of the Coiled Serpent
450,Leather,Spell Spirit,Chest,Vestment of the Ascendant Tribe
450,Leather,Spell Spirit,Hands,Wandering Friar's Gloves
