Item,Current Price,New Price,Change
Super Elmar-S 24mm f/3.5 ASPH,"$8,950","$9,250",$300
Elmarit-S 30mm f/2.8 ASPH,"$7,495","$7,650",$155
Elmarit-S 30mm f/2.8 ASPH CS,"$8,350","$8,750",$400
Summarit-S 35mm f/2.5 ASPH,"$6,950","$7,250",$300
Summarit-S 35mm f/2.5 ASPH CS,"$7,950","$8,450",$500
Elmarit-S 45mm f/2.8 ASPH,"$6,350","$6,750",$400
Elmarit-S 45mm f/2.8 ASPH CS,"$7,450","$7,950",$500
Summarit-S 70mm f/2.5 ASPH CS,"$5,995","$6,250",$255
APO-Macro-Summarit-S 120mm f/2.5,"$6,995","$7,250",$255
TS-APO-Elmar-S 120mm f/5.6 ASPH,"$7,350","$7,550",$200
APO-Tele-Elmar-S 180mm f/3.5,"$6,995","$7,250",$255
Vario Elmar-S 30-90mm f/3.5-56 ASPH,"$11,400","$11,750",$350
APO-Summicron-M 50mm ASPH,"$7,350","$8,250",$900
Silverline 8x20,$899,$949,$50
Silverline 8x42,"$1,799","$1,899",$100
Silverline 10x42,"$1,899","$1,999",$100
