Academic Year,No
Appointment Ruling,Open Scheduling
Calendar Format,Weekly
Calendar Reference Blocks,Two Past Months; Current Month; Two Future Months
Calendar Term,12-Month (Jan.-Dec.)
Dated/Undated,Dated
Edition Year,2016
For Use In,Flip-A-Week Base
Global Product Type,Calendars and Planners-Desk Calendar Refill
Julian Dates,Yes
Page Color/Theme,White
Page Format,One Week per Page
Post-Consumer Recycled Content Percent,0%
Pre-Consumer Recycled Content Percent,0%
Punching,Top Slot
Refill Type,Flip-A-Week Refill
Refillable,Nonrefillable
Reversible,No
Seasonal Availability,Yes
Size,5 5/8 x 7
Total Recycled Content Percent,0%
