Date,Race,Track,Miles,Type,Winner
4/13/80,Datsun Twin 200,Ontario,200,PO,Johnny Rutherford
5/26/80,Indianapolis 500-Mile Race,Indianapolis,500,PO,Johnny Rutherford
6/8/80,Gould Rex Mays Classic,Milwaukee,150,PO,Bobby Unser
6/22/80,True Value 500,Pocono,500,PO,Bobby Unser
7/13/80,Red Roof Inns 150,Mid-Ohio,156,RC,Johnny Rutherford
7/20/80,Norton 200,MIS,200,PO,Johnny Rutherford
8/3/80,Kent Oil 150,Watkins Glen,150.536,RC,Bobby Unser
8/10/80,Tony Bettenhausen 200,Milwaukee,200,PO,Johnny Rutherford
8/31/80,California 500,Ontario,500,PO,Bobby Unser
9/20/80,Gould Grand Prix,MIS,150,PO,Mario Andretti
10/26/80,Primera Copa MГ©xico 150,Mexico City,148.8,RC,Rick Mears
11/8/80,Miller High Life 150,Phoenix,150,PO,Tom Sneva
