Date,Event
11/11/14-11/6,Somers Congregational Church Annual Christmas Bazaar
11/11/14-11/6,Somers Congregational Church Annual Christmas Bazaar
6/1-8/5,Rockville High School Class of 1972 Reunion
6/24-10/10,LHS 1975 Class Reunion
7/10-8/16,Glazed & Diffused
7/29-9/13,Gudrun Mertes-Frady Exhibition
8/3,"Free Adult Education, Career Pathways, and English Classes"
8/3,Wilbraham Men's Glee Club
8/3,Beginner Line & Partner Dancing
8/4,"Free Adult Education, Career Pathways, and English Classes"
8/4,Northampton Poetry
8/4,Crafters Wanted!
8/4,Wiggles & Giggles ( Mommy and Me Class)
8/4,Bereavement Support Group
8/4,Free Program for Veterans
