,Race Name,Category,Team Name,Place,Racers,Points,Upg Pts*
,Ontario Series GP,Men Pro/Cat 1/2 Senior,,13,68,215.2,
,UCSB Poor College Kids Road Race,Men Pro/Cat 1/2 Senior,,57,65,275.57,
,Oak Hills Time Trial Series,Men Pro/Cat 1/2 Senior,,3,3,,
,Boulevard Road Race p/b Nautilus Advisors LLC,Men Cat 2 Senior,,21,21,311.51,
,SPy Red Trolley Classic Criterium,Men Pro/Cat 1/2 Senior,,14,79,176.7,
,Valley of the Sun Stage Race - TT,Men Junior 17-18,SKLZ-Swami's Development Elite Team,5,49,269.6,
,Valley of the Sun Stage Race - RR,Men Junior 17-18,SKLZ-Swami's Development Elite Team,2,41,269.01,6
1,Valley of the Sun Stage Race - Crit,Men Junior 17-18,SKLZ-Swami's Development Elite Team,4,39,263.76,2
,Valley of the Sun Stage Race GC,Men Junior 17-18,SKLZ-Swami's Development Elite Team,4,39,263.89,5
,Valley of Fire Stage Race - TT,Men Pro/Cat 1/2/3,SKLZ-Swamis Development Elite,17,45,237.74,
5,Valley of Fire Stage Race - Crit,Men Pro/Cat 1/2/3,SKLZ-Swamis Development Elite,5,42,236.72,1
,Valley of Fire Stage Race - RR,Men Pro/Cat 1/2/3,SKLZ-Swamis Development Elite,27,42,276.95,
,Valley of Fire Stage Race - GC,Men Pro/Cat 1/2/3,SKLZ-Swamis Development Elite,27,41,277.59,
,Tour de Murrieta - TT,Men Pro/Cat 1/2,SKLZ-Swamis Development Elite,26,55,190.49,
34,Tour de Murrieta - Crit,Men Pro/Cat 1/2,SKLZ-Swamis Development Elite,40,67,222.3,
23,Tour de Murrieta - RR,Men Pro/Cat 1/2,SKLZ-Swamis Development Elite,25,73,209.15,
,Tour de Murrieta - Omnium,Men Pro/Cat 1/2,SKLZ-Swamis Development Elite,37,118,254.39,
,Tucson Bicycle Classic - Stage 1,cat 2,SKLZ-Swami's Development Elite Team/Swami's Cyclin,22,42,268.88,
,Tucson Bicycle Classic - Stage 2,Men cat 2,SKLZ-Swami's Development Elite Team/Swami's Cyclin,21,40,282.6,
,Tucson Bicycle Classic - Stage 3,Men cat 2,SKLZ-Swami's Development Elite Team/Swami's Cyclin,2,34,243.93,6
,Tucson Bicycle Classic - GC,Men cat 2,SKLZ-Swami's Development Elite Team/Swami's Cyclin,17,34,271.29,
,San Dimas Stage Race - TT,Men Junior 17-18,SKLZ-Swamis Developm,2,56,275.33,
14,San Dimas Stage Race - RR,Men Junior 17-18,SKLZ-Swamis Developm,14,44,312.27,
7,San Dimas Stage Race - Crot,Men Junior 17-18,SKLZ-Swamis Developm,7,40,288.3,
,San Dimas Stage Race - GC,Men Junior 17-18,SKLZ-Swamis Developm,2,40,238.57,8
,Redlands Bicycle Classic Criteriums,Men Pro/Cat 1/2 Senior,SKLZ-Swami's Development Elite Team,21,86,194.79,
5,2013 Sea Otter Classic - Circuit Race,Men OPEN JUNIOR 17-18,SKLZ-Swami's Development Elite Team,6,46,261.87,2
,2013 Sea Otter Classic - Road Race,Men Junior 17-18,SKLZ-Swami's Development Elite Team,8,60,269.28,
,LA Circuit Race,Men Cat 1/2/3/4/5 Junior 17-18,SKLZ-Swami's Development Elite Team,1,14,310.61,7
,San Luis Rey Road Race,Men Pro/Cat 1/2 Senior,SKLZ-Swami's Development Elite Team,32,53,249.8,
,5th Annual Pounding Idiots Criterium,Men Pro/Cat 1/2 Senior,SKLZ-Swami's Development Elite Team,15,105,198.63,
,Barrio Logan Grand Prix,Men Cat 1/2/3/4/5 Junior 17-18,SKLZ-Swami's Development Elite Team,4,29,278.71,2
13,Dana Point Grand Prix of Cycling,Men Cat 2,SKLZ-Swami's Development Elite,13,57,237.6,
,Devil's Punchbowl Road Race,Men P/1/2 Open,SKLZ-Swami's Development Elite Team,26,26,306.64,
,Devil's Punchbowl Road Race,Men 3 Open,SKLZ-Swami's Development Elite Team,5,25,215.19,3
,Rosena Ranch III,Men Cat 1/2/3/4/5 Junior 17-18,Swami's Cycling Club,1,19,254.97,4
,Amateur Road Nationals Day 2,Men Junior 17--18,Swami's Cycling Club,15,116,226.13,
,Amateur Road Nationals Day 3,Men Cat 1/2/3 Junior 17--18,Swami's Cycling Club,91,148,379.52,
,Temecula Valley Grand Prix,Men Pro/Cat 1/2 Senior,Swami's Cycling Club,18,34,252.43,
,Carlsbad Grand Prix,Men Pro/Cat 1/2 Senior,Swami's Cycling Club,47,48,324.98,
