Line,
1,
2,
3,
4,>
5,>
6,>
7,>Test.HUnit.Text
8,>
9,
10,/* -------- Global things --------- */
11,
12,BODY {
13,background-color: #ffffff;
14,color: #000000;
15,font-family: sans-serif;
16,}
17,
18,A:link { color: #0000e0; text-decoration: none }
19,A:visited { color: #0000a0; text-decoration: none }
20,A:hover { background-color: #e0e0ff; text-decoration: none }
21,
22,TABLE.vanilla {
23,width: 100%;
24,border-width: 0px;
25,/* I can't seem to specify cellspacing or cellpadding properly using CSS... */
26,}
27,
28,TABLE.vanilla2 {
29,border-width: 0px;
30,}
31,
32,/* font is a little too small in MSIE */
33,TT { font-size: 100%; }
34,PRE { font-size: 100%; }
35,
36,LI P { margin: 0pt }
37,
38,TD {
39,border-width: 0px;
40,}
41,
42,TABLE.narrow {
43,border-width: 0px;
44,}
45,
46,TD.s8 { height: 8px; }
47,TD.s15 { height: 15px; }
48,
49,SPAN.keyword { text-decoration: underline; }
50,
51,/* Resize the buttom image to match the text size */
52,IMG.coll { width : 0.75em; height: 0.75em; margin-bottom: 0; margin-right: 0.5em }
53,
54,/* --------- Contents page ---------- */
55,
56,DIV.node {
57,padding-left: 3em;
58,}
59,
60,DIV.cnode {
61,padding-left: 1.75em;
62,}
63,
64,SPAN.pkg {
65,position: absolute;
66,left: 50em;
67,}
68,
69,/* --------- Documentation elements ---------- */
70,
71,TD.children {
72,padding-left: 25px;
73,}
74,
75,TD.synopsis {
76,padding: 2px;
77,background-color: #f0f0f0;
78,font-family: monospace
79,}
80,
81,TD.decl {
82,padding: 2px;
83,background-color: #f0f0f0;
84,font-family: monospace;
85,vertical-align: top;
86,}
87,
88,TD.topdecl {
89,padding: 2px;
90,background-color: #f0f0f0;
91,font-family: monospace;
92,vertical-align: top;
93,}
94,
95,TABLE.declbar {
96,border-spacing: 0px;
97,}
98,
99,TD.declname {
100,width: 100%;
101,}
102,
103,TD.declbut {
104,padding-left: 5px;
105,padding-right: 5px;
106,border-left-width: 1px;
107,border-left-color: #000099;
108,border-left-style: solid;
109,white-space: nowrap;
110,font-size: small;
111,}
112,
113,/*
114,"arg is just like decl, except that wrapping is not allowed. It is"
115,used for function and constructor arguments which have a text box
116,"to the right, where if wrapping is allowed the text box squashes up"
117,the declaration by wrapping it.
118,*/
119,TD.arg {
120,padding: 2px;
121,background-color: #f0f0f0;
122,font-family: monospace;
123,vertical-align: top;
124,white-space: nowrap;
125,}
126,
127,TD.recfield { padding-left: 20px }
128,
129,TD.doc {
130,padding-top: 2px;
131,padding-left: 10px;
132,}
133,
134,TD.ndoc {
135,padding: 2px;
136,}
137,
138,TD.rdoc {
139,padding: 2px;
140,padding-left: 10px;
141,width: 100%;
142,}
143,
144,TD.body {
145,padding-left: 10px
146,}
147,
148,TD.pkg {
149,width: 100%;
150,padding-left: 10px
151,}
152,
153,TD.indexentry {
154,vertical-align: top;
155,padding-right: 10px
156,}
157,
158,TD.indexannot {
159,vertical-align: top;
160,padding-left: 20px;
161,white-space: nowrap
162,}
163,
164,TD.indexlinks {
165,width: 100%
166,}
167,
168,/* ------- Section Headings ------- */
169,
170,TD.section1 {
171,padding-top: 15px;
172,font-weight: bold;
173,font-size: 150%
174,}
175,
176,TD.section2 {
177,padding-top: 10px;
178,font-weight: bold;
179,font-size: 130%
180,}
181,
182,TD.section3 {
183,padding-top: 5px;
184,font-weight: bold;
185,font-size: 110%
186,}
187,
188,TD.section4 {
189,font-weight: bold;
190,font-size: 100%
191,}
192,
193,/* -------------- The title bar at the top of the page */
