,_____ humidity is a bad indicator of the actual amount of water vapor in the air.,Relative
,"If a bubble of air is forced to rise, and if the bubble is warmer than the surrounding air, the bubble in considered _____",Unstable
,An instrument that measures humidity is called a(n)____,Psychrometer and Hygrometer
,"On a clear sunny day, when the wind is light, the stability of the air will most likely be ____",Stable
,A desert can be found on the _____ side of a mountain.,Leeward
,The clouds that are made up of ice crystal and are very high in the sky are called ____,Cirrus
,The precipitation forming process that gives us most of our precipitation throughout the year is ________.,Warm cloud precess and Bergeron process
,Which stable/unstable process is often associate with thunder snows?,Conditionally unstable
,The actual lapse rate of the air is called the _____ lapse rate,Enviromental
,The type of precipitation that falls and freezes on contact with the ground is called.,Freezing rain
,When warm air moves over a cold snow surface the resulting weather is usually_____,Fog
,"The type of precipitation that occurs during the growing season, and is most damaging to crops is _____",Hail
,The prefix for a middle height cloud is called _____,Alto
,A desert found on the downwind side of mountains is called a ______,Rainshadow desert
,Vapor pressure is:,The part of atmospheric pressure due to water vapor
,The effect of humidity and high temperatures is expressed as a ____,Heat index
,A process in which no energy is added or removed form the system is called _____,Adiabatic
,Water vapor forms onto solid particles in the air. These solid particles are called:,Condensation Nuclei
,The major source of humidity and precipitation in the eastern half of the US is ______,The Gulf of Mexico
,The type of fog caused by your breath on a cold day would be considered:,Steam fog
,Which lifting mechanism is caused by air running into a mountain?,Orographic
,An instrument that uses lasers to measure cloud coverage at different heights is called:,Ceilometer
,"Which cloud is associated with severe updrafts and downdrafts and is often called a ""thunderhead""?",Cumulonimbus
,A situation in which the temperature increases with altitude is called ____,Inversion
,An air parcel ______ when it is warmer than the surrounding air and it _____ when it is cooler than the surrounding air.,Rises; Sinks
,"When the ELR is greater than both the dry and wet adiabatic lapse rates for a rising air parcel, then the air is considered:",Absolutely unstable
,At what time of day does an inversion usually begin in the lower levels of the atmosphere?,Sunset
,"When droplets combine to form a single, larger droplet, the process is called _____",Coalescence
,Which precipitation process is responsible for producing rain in tropical regions?,Collision coalescence
,Which form of precipitation is associated with black ice?,Freezing rain
,The terminal velocity of an object depends primarily upon the object's:,Size
,Cloud droplets fall slowly because they are:,Samll
,The process by which supercooled water droplets freeze onto falling ice crystals is called:,Riming
,When a lifted air parcel neither sinks nor rises is it:,Neutral
,____ air can result in tornadoes and hail,Unstable
