Project Click for user page,Total credit,Average credit,Since
SETI@home,"9,007,423","2,394",18 May 1999
SETI@home Beta,"333,839",583,13 Jan 2006
POEM@HOME,374,0,21 Apr 2009
Enigma@Home,195,0,9 Sep 2009
Cosmology@Home,"5,150",0,26 Aug 2007
ABC@home,"1,567",0,9 Jan 2007
QMC@HOME,556,0,2 Mar 2006
yoyo@home,860,0,6 Oct 2007
MilkyWay@home,691,0,7 Sep 2007
EDGeS@Home,8,0,16 Jan 2011
WUProp@Home,25,0,16 Jan 2011
IBERCIVIS,24,0,4 Sep 2008
MindModeling@Home,5,0,27 Jun 2008
RALPH@Home,57,0,18 Feb 2006
Leiden Classical,7,0,23 Feb 2006
PrimeGrid,374,0,20 Jan 2006
BURP,1,0,25 Mar 2005
Rosetta@home,"35,680",0,12 Jan 2006
LHC@home,439,0,12 Jan 2006
SZTAKI Desktop Grid,658,0,20 Jan 2006
World Community Grid,808,0,21 Jan 2006
Einstein@Home,"123,776",0,25 Feb 2005
Pirates@Home,5,0,17 Jan 2006
Lattice Project,813,0,27 Jan 2006
malariacontrol.net,119,0,7 Mar 2006
climateprediction.net,"3,711",0,19 Sep 2004
