Period,Abstracts,Downloads,
2015 Jul,1,1,
2015 Jun,1,2,
2015 May,0,2,
2015 Apr,1,2,
2015 Mar,0,2,
2015 Feb,0,3,
2015 Jan,3,2,
2014 Dec,0,1,
2014 Nov,0,0,
2014 Oct,0,4,
2014 Sep,0,1,
2014 Aug,0,1,
2014 Jul,1,4,
2014 Jun,0,1,
2014 May,1,2,
2014 Apr,2,7,
2014 Mar,0,1,
2014 Feb,0,0,
2014 Jan,0,0,
2013 Dec,2,5,
2013 Nov,1,1,
2013 Oct,1,1,
2013 Sep,0,0,
2013 Aug,0,2,
2013 Jul,0,1,
2013 Jun,0,2,
2013 May,1,2,
2013 Apr,0,0,
2013 Mar,0,2,
2013 Feb,3,5,
2013 Jan,0,4,
2012 Dec,0,4,
2012 Nov,0,4,
2012 Oct,0,5,
2012 Sep,0,0,
2012 Aug,4,2,
2012 Jul,1,0,
2012 Jun,2,0,
2012 May,1,1,
2012 Apr,0,0,
2012 Mar,1,2,
2012 Feb,1,1,
2012 Jan,1,3,
2011 Dec,0,3,
2011 Nov,0,0,
2011 Oct,2,1,
2011 Sep,0,0,
2011 Aug,0,2,
2011 Jul,0,2,
2011 Jun,1,1,
2011 May,3,4,
2011 Apr,1,2,
2011 Mar,0,2,
2011 Feb,0,0,
2011 Jan,0,1,
2010 Dec,1,3,
2010 Nov,1,2,
2010 Oct,0,0,
2010 Sep,3,2,
2010 Aug,0,1,
2010 Jul,1,1,
2010 Jun,1,1,
2010 May,3,0,
2010 Apr,0,0,
2010 Mar,2,2,
2010 Feb,1,0,
2010 Jan,0,0,
2009 Dec,0,2,
2009 Nov,2,0,
2009 Oct,0,0,
2009 Sep,1,1,
2009 Aug,0,1,
2009 Jul,0,1,
2009 Jun,1,1,
2009 May,1,1,
2009 Apr,1,1,
2009 Mar,1,2,
2009 Feb,0,1,
2009 Jan,0,1,
2008 Dec,0,1,
2008 Nov,1,1,
2008 Oct,2,0,
2008 Sep,4,8,
2008 Aug,0,1,
2008 Jul,2,3,
2008 Jun,6,3,
2008 May,3,7,
2008 Apr,2,2,
2008 Mar,2,6,
2008 Feb,0,4,
2008 Jan,0,0,
2007 Dec,3,4,
2007 Nov,2,0,
2007 Oct,2,1,
2007 Sep,1,2,
2007 Aug,2,4,
2007 Jul,3,2,
2007 Jun,5,17,
2007 May,3,1,
2007 Apr,2,8,
2007 Mar,3,3,
2007 Feb,2,2,
2007 Jan,4,3,
2006 Dec,1,1,
2006 Nov,0,2,
2006 Oct,4,4,
