Editor's Pick,Caption,Author,Date,Fan's Choice
2,"C3P0: Holy Sarlacc, who's this? Boba: I'm Boba Fett, tinnie. C3P0: That is highly unlikely seeing as how Boba has green armor. Boba: Yeah well it's at the wash.",Bn Moss,137594520008/08/2013,0 Currently 0.00/1
1,I don't see why I don't get my own series.,Frank,121964760008/25/2008,0 Currently 0.00/1
2,"C-3PO: Boba, I'd like you to meet your real father. Boba:... What?",Fett II,121956120008/24/2008,0 Currently 0.00/1
1,"C3P0:I heard you got the results back from the clinic. BOBBA FETT:Yep...not good..not good at all...phew,yep.",Darran Fett,121956120008/24/2008,0 Currently 0.00/1
1,Boba: Hmm. Han Solo is taking a long time in that shower. C-3PO: Oh i understand Sir.,Bobafett,121912920008/19/2008,0 Currently 0.00/1
1,"""Take a holo, it'll last longer, Goldie.""",virulent_messiah,121887000008/16/2008,0 Currently 0.00/1
1,"C-3PO: Is he awake? I can't tell. R2-D2: *Beep* C-3PO: You want me to do what to him? Boba fett: Yeah, want do you want him to do to me?",The_Fett,121878360008/15/2008,0 Currently 0.00/1
1,"Boba:I swear to God, If you don't stop starring at me I'll blow your freaking head off. C-3PO:Somebody forgot their coffee this morning... Boba:(Muffled agreement)",Clone Commander Tyler,121878360008/15/2008,0 Currently 0.00/1
1,"I cross my arms every change I get, it makes me look more baaaaaad",Jeremy Schultz,121861080008/13/2008,0 Currently 0.00/1
2,"Fett: Okay, which one of you flatfoots stole my candybar?",Merf,121809240008/07/2008,0 Currently 0.00/1
1,c3po-oh my goodness i cant believe we are in the presence of THE BOBA FETT r2d2-(in human voice cuzz we cant understand robot)be quite c3po im trying to get my recording system to work so i can video tape this amazing moment Boba Fett-would you tou stop talking maybe youll be easier too fool then i thought stupid droids no wheres luke? my flamethrowers getting cold ha ha haaa,vinny,121791960008/05/2008,0 Currently 0.00/1
1,Boba: Does this out outfit make my butt look big?,ittwooyoyuknow,121791960008/05/2008,0 Currently 0.00/1
1,"Boba: I'm a barbie girl, in a barbie world, life in plastic, it's fantastic! 3PO: I prefer life in metal myself.",Ittwooyouknow,121791960008/05/2008,0 Currently 0.00/1
2,"Hmph. My first impression on the world of Star Wars, and I look like I've been colored in with the last five crayons that nobody wanted to use.",Jeezus,121774680008/03/2008,1 Currently 1.00/1 1 vote
1,"3PO: please daddy, can i keep him please? I promise to take care of him this time! Fett: Son raising a Wookie is a big responsibility and i just don't know if your ready.",Luc,121766040008/02/2008,0 Currently 0.00/1
1,jeeesh! and I thought football uniforms were bad...,Tohmia,121731480007/29/2008,0 Currently 0.00/1
2,"Boba: Face it, guys. I'm the only good thing that's coming out of this Holiday Special.",Bryan Thompson,121705560007/26/2008,0 Currently 0.00/1
2,"Boba: I ordered these Wookie braids three months ago! I'm glad they're finally here! C-3PO: Actually, Sir. That is Chewbacca.",Woton,121679640007/23/2008,0 Currently 0.00/1
1,Boba:What are you stareing at metalhead? C-3PO:A grown man wearing his underwear on the outside of his pants.,Clone Commander Tyler,121645080007/19/2008,0 Currently 0.00/1
1,"CPO: Oops? R2-D2: beeps Fett: Oops is right, I told you to always Walk the wookie after every meal!",Tshanna Fett,121610520007/15/2008,0 Currently 0.00/1
2,"C3PO: No Boba, the sign clearly says ""please don't feed the animals""",Gustavo_Perez (Ova Frett),121575960007/11/2008,0 Currently 0.00/1
2,Boba: *sigh* I'm Boba Fett and I have a gambling problem. Everyone: Hi Boba.,GearFett,121567320007/10/2008,0 Currently 0.00/1
2,"C3PO: Chewbacca, I don't believe this starring contest is going to work.",fairyblood,121567320007/10/2008,0 Currently 0.00/1
1,"C3PO: I suggest a new strategy, Master Fett. Let the Wookiee win. Boba Fett: *Incoherent mumbling*",Slovok,121567320007/10/2008,0 Currently 0.00/1
2,"After finally apprehending the one responsible for releasing his private dance video-gone-wrong all over the HoloNet, Boba contemplates how a couple new Wookiee-hair braids would complement his armor.",FettFan,121550040007/08/2008,0 Currently 0.00/1
2,"C-3PO: Boba, I'm sorry, I just dont see how your still single. Boba: Just go away...",adam,121472280006/29/2008,0 Currently 0.00/1
1,"3PO: Sir, I can't help but notice that your balls are on your hip? Boba: Zip it 3PO, have you ever been dry humped by a wookie?",Wass,121472280006/29/2008,0 Currently 0.00/1
1,"Fett: I hate fans. They always draw me so CRAPPY! Look at the the details I'm missing! I'm not even coloured right! C3PO: I look like a cheap bendy-toy thats unauthorized.... R2D2: Beep bloop (Hey, at least you guys don't only have the top of your head in this!)",Cecilia,121463640006/28/2008,0 Currently 0.00/1
2,Boba Fett resents the implication that he is a two-dimensional character.,samyania,121446360006/26/2008,0 Currently 0.00/1
1,Boba:I hate this 70'S look. C3P0:Quit whining Fett! Boba:Shut up Goldylocks!!!,GLOPINO,121446360006/26/2008,0 Currently 0.00/1
1,"""Turn, turn...*tsk* No, that fur and bandolier combo is just not working for me.""",FettFan,121394520006/20/2008,0 Currently 0.00/1
