Date,Title/Location,Event type
24 Jun. 2015 - 25 Jun. 2015,Meetings of NATO Ministers of Defence Brussels (Belgium),Defence Ministers Meeting
20 May. 2015 - 21 May. 2015,"173rd Military Committee in Chiefs of Defence Session NATO HQ, Brussels, (Belgium)",conference
13 May. 2015 - 14 May. 2015,Foreign Ministers Meetings Antalya (Turkey),Foreign Ministers Meeting
5 Feb. 2015,"Defence Ministers Meetings - Brussels NATO HQ, (Brussels)",Defence Ministers Meeting
21 Jan. 2015 - 22 Jan. 2015,"172nd Military Committee in Chiefs of Defence Session NATO HQ, Brussels (Belgium)",conference
2 Dec. 2014,"Foreign Ministers Meetings - Brussels NATO HQ, (Brussels)",Foreign Ministers Meeting
19 Sep. 2014 - 21 Sep. 2014,"NATO Military Committee Conference - Vilnius, Lithuania Vilnius, (Lithuania)",conference
4 Sep. 2014 - 5 Sep. 2014,"NATO Wales Summit 2014 Wales, (United Kingdom)",Summit
24 Jun. 2014 - 25 Jun. 2014,"Meeting of NATO Ministers of Foreign Affairs NATO HQ, Brussels (Belgium)",Foreign Ministers Meeting
3 Jun. 2014 - 4 Jun. 2014,"Meetings of NATO Ministers of Defence NATO Headquarters , Brussels (Belgium)",Defence Ministers Meeting
