2012 Average Monthly Low Temperature,"Hialeah, FL",Florida,United States
Avg. Annual Low Temperature,69.0 В°F,61.0 В°F,N/A
Avg. January Low Temperature,58.1 В°F,47.4 В°F,N/A
Avg. February Low Temperature,59.0 В°F,49.1 В°F,N/A
Avg. March Low Temperature,62.4 В°F,53.8 В°F,N/A
Avg. April Low Temperature,66.0 В°F,58.2 В°F,N/A
Avg. May Low Temperature,69.8 В°F,64.2 В°F,N/A
Avg. June Low Temperature,73.2 В°F,70.0 В°F,N/A
Avg. July Low Temperature,74.5 В°F,71.7 В°F,N/A
Avg. August Low Temperature,74.9 В°F,71.9 В°F,N/A
Avg. September Low Temperature,74.2 В°F,70.3 В°F,N/A
Avg. October Low Temperature,70.6 В°F,63.1 В°F,N/A
Avg. November Low Temperature,65.0 В°F,54.7 В°F,N/A
Avg. December Low Temperature,59.8 В°F,48.8 В°F,N/A
