File name,Amd64_1fe809856dfba4714a49f884116e7838_31bf3856ad364e35_6.0.6000.16710_none_21ca5d4a23925f64.manifest
File version,Not Applicable
File size,"1,068"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Amd64_4c15219cfe9b8ab31d28f2bf52b5e330_31bf3856ad364e35_6.0.6000.20867_none_d06df99267b5a91a.manifest
File version,Not Applicable
File size,"1,068"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Amd64_8513c1e9f7a69e0bbffb720df48a4a46_31bf3856ad364e35_6.0.6001.22211_none_fd0ee4c912304d7c.manifest
File version,Not Applicable
File size,"1,068"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Amd64_9cef0879f37d2ad93962176bbc11a082_31bf3856ad364e35_6.0.6001.18098_none_b6c72eb7ce836ad3.manifest
File version,Not Applicable
File size,"1,068"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
File name,Amd64_microsoft-windows-mediaplayer-wmpeffects_31bf3856ad364e35_6.0.6000.16710_none_537b761f4ab0ac85.manifest
File version,Not Applicable
File size,"11,260"
Date (UTC),26-Jun-2008
Time (UTC),04:44
Platform,Not Applicable
,
File name,Amd64_microsoft-windows-mediaplayer-wmpeffects_31bf3856ad364e35_6.0.6000.20867_none_53d6055463f08965.manifest
File version,Not Applicable
File size,"11,260"
Date (UTC),26-Jun-2008
Time (UTC),04:14
Platform,Not Applicable
,
File name,Amd64_microsoft-windows-mediaplayer-wmpeffects_31bf3856ad364e35_6.0.6001.18098_none_551335cf4810ea8f.manifest
File version,Not Applicable
File size,"11,260"
Date (UTC),26-Jun-2008
Time (UTC),05:31
Platform,Not Applicable
,
File name,Amd64_microsoft-windows-mediaplayer-wmpeffects_31bf3856ad364e35_6.0.6001.22211_none_55ec51da60f3f697.manifest
File version,Not Applicable
File size,"11,260"
Date (UTC),26-Jun-2008
Time (UTC),05:34
Platform,Not Applicable
,
File name,Package_1_for_kb954154_bf~31bf3856ad364e35~amd64~~6.0.1.0.mum
File version,Not Applicable
File size,"2,133"
Date (UTC),26-Jun-2008
Time (UTC),21:23
Platform,Not Applicable
,
File name,Package_1_for_kb954154~31bf3856ad364e35~amd64~~6.0.1.0.mum
File version,Not Applicable
File size,"3,091"
Date (UTC),26-Jun-2008
Time (UTC),21:22
Platform,Not Applicable
,
