Date,Time,Location
"November 2, 2013",9:00 AM - 9:50 AM,Halenbeck Hall Pool
"November 2, 2013",10:00 AM - 10:50 AM,Halenbeck Hall Pool
"November 2, 2013",11:00 AM - 11:50 AM,Halenbeck Hall Pool
"November 9, 2013",9:00 AM - 9:50 AM,Halenbeck Hall Pool
"November 9, 2013",10:00 AM - 10:50 AM,Halenbeck Hall Pool
"November 9, 2013",11:00 AM - 11:50 AM,Halenbeck Hall Pool
"November 16, 2013",9:00 AM - 9:50 AM,Halenbeck Hall Pool
"November 16, 2013",10:00 AM - 10:50 AM,Halenbeck Hall Pool
"November 16, 2013",11:00 AM - 11:50 AM,Halenbeck Hall Pool
"November 23, 2013",9:00 AM - 9:50 AM,Halenbeck Hall Pool
"November 23, 2013",10:00 AM - 10:50 AM,Halenbeck Hall Pool
"November 23, 2013",11:00 AM - 11:50 AM,Halenbeck Hall Pool
