Original Title,English Title (or Literal Meaning),Year,Country of Origin,Original Language,Summary
Blague Г  Part[5][6][7],"(lit. Joke Aside), meaning all kidding aside.[8]",1998-2003,France,French,"A sitcom depicting the daily lives of Psychiatrist Isabelle and Comedian Nicolas, a married couple and their friends."
CamГ©ra CafГ©,(lit. Coffee Camera),2001-2004,France,French,Series consisting of seven minute episodes taking place in an office. All action is shot from the point of view of the coffee machine.
Des soucis et des hommes[9][10][11],"Partners, Fathers, Lovers (lit. Worries and men)",2012,France,French,"Also known in English as Partners, Fathers and Lovers."
"Fais pas ci, Fais pas Г§a[12][13][14]","Desparate Parents (lit. Don't do this, Don't do that)",2007вЂ“present,France,French,"Two couples, the free spirited Bouleys and the conservative-authoritarian Lepics, agree to star in a reality program along with their children. The focus is mainly on the differences between how both sets of parents raise their children and how the children differ from their parents expectations. The first season is a mockumentary/pretend reality show. From the second season on all documentary aspects are discarded and the two families have become next-door neighbors."
H,N/A,1998вЂ“2002,France,French,A surrealistic comedy series about the daily lives of the wacky staff and interns at a hospital in a Paris suburb.
Kaamelott,"N/A (Intentional misspelling of Camelot, which is spelt the same in both French and English.)",2004-2009,France,French,"Medieval fantasy, comedy about the legendary King Arthur and his quest for the Holy Grail. The episodes range in duration from three and a half minutes to forty-four minutes, getting longer as the series progresses."
La Famille GuГ©rin,(lit. The GuГ©rin Family),2002,France,French,
Le BГ©bГЄte Show,,1982-1995,France,French,
Les Filles d'Г  cГґtГ©[15][16][17],(lit. The Girls next door),1993-1995,France,French,
Les Guignols de l'info,(lit. The Puppets of info),1988вЂ“present,France,French,Satirical news show with puppets.
Les Nouvelles Filles d'Г  cГґtГ©[18][19][20],(lit. The New Girls next door),1995-1996,France,French,
Mes pires potes[21][22][23],(lit. My worst buddies),2000-2001,France,French,"Simon inherited a house in a Parisian suburb and now lives there with his three friends who crash his car, use his money to buy bad sculptures, have many sexual partners over and so on."
Samantha oups!,(lit. Samantha oops!),2004-2007,France,French,"The daily lives of two young women, Samantha Lo and Chantal Matieu, played by two young male actors, David Strajmayster and Guillaume Carcaud."
SAV des Г©missions,,2005-2012,France,French,"Also known as Le Service aprГЁs-vente des Г©missions. Each episode is approximately two minutes, fifteen seconds long."
ScГЁnes de mГ©nages[24][25][26],,2009вЂ“present,France,French,
Soda,,2011вЂ“present,France,French,
Une famille formidable,A Wonderful Family,1992вЂ“present,France,French,
Vive la colo !,(lit. Live the colony !),2012-2013,France,French,35 year-old Morgane has just broken up with her significant other and her father has been hospitalized. She goes to fill in for her father as director of a summer camp for 10 to 14 year-olds.
Vous les femmes,WOMEN! (lit. You the women),2007-2011,France,French,Sketch comedy series written by and starring Judith Siboni and Olivia CГґte. The two play various women from all walks of life in ordinary circumstances that often turn absurd.
WorkinGirls[27][28][29],N/A,2012вЂ“present,France,French,"The daily lives of six off-beat women who work in an office. Karine is the sadistic tyrant of a boss who hates disabled people and gay people, her employees suspect she is gay. DГ©borah is a sex addict who has had complaints made against her for sexual harassment. HГ©lГЁne is a recluse who often lies to try to get friends. Nathalie has many children. The two receptionists, Sophie and Sophie are lazy, rude to the clients and very critical of their coworkers."
