Name,Gender,Age,Place of Birth,Notes
"Allen, Marnie",F,21,Midwest,Random character of GTA IV.
"Ancelotti, Gracie",F,31,"Alderney City, Alderney",Daughter of Giovanni Ancelotti.
"Ancelotti, Giovanni",M,78,"Naples, Italy",
"Andrews, Jermaine",M,33,"Broker, Liberty City",Customer of Express Car Service. Works for Pay 'n' Spray.
"Arnold, Lester",M,46,San Fierro,
"Asaltacunas, Ernesto",M,27,"Santa Clara, Cuba",
"Austin, Luther",M,46,Midwest,
Name,Gender,Age,Place of Birth,Notes
"Barbosa, Johnny ""Spaz""",M,25,"Alderney City, Alderney",Killed by Niko Bellic for Ray Boccino.
"Bardas, Mallorie",F,29,Puerto Rico,Roman's girlfriend/fiancГ©/wife.
"Bell, Phil",M,41,"Alderney City, Alderney",Mission character of GTA IV.
"Bellic, Roman",M,31,Unknown,Cousin of Niko Bellic.
"Bellic, Niko",M,30,Unknown,Protagonist of GTA IV.
"Benavidez, Teddy",M,28,Dominican Republic,"Drug dealer, killed by Niko Bellic for Ray Boccino."
"Boccino, Ray",M,32,"Westdyke, Alderney",Mission character of GTA IV and The Lost and Damned.
"Botino, Sammy",M,43,"Little Italy, Algonquin",
"Bridges, Marlon",M,21,"Northwood, Algonquin",Killed by Niko Bellic for Playboy X.
"Bulgarin, Ray",M,50,Unknown,Antagonist of GTA IV & TBOGT.
"Butler, Ashley",F,27,"Acter, Alderney",Johnny Klebitz's ex-girlfriend.
"Bytchkov, Ivan",M,42,Russia,Killed (or spared) by Niko Bellic for Vladimir Glebov.
Name,Gender,Age,Place of Birth,Notes
"Chilton, Alexandra ""Alex""",F,29,"Middle Park East, Algonquin",(Possible) girlfriend for Niko Bellic.
"Cleethorpes, Lyle",M,31,"Algonquin, Liberty City",
"Corrado, Anthony",M,28,"Westdyke, Alderney",Member of the Pegorino family and police informer. Killed by Niko Bellic for Jimmy Pegorino.
"Corrola, Joe",M,33,"Algonquin, Liberty City",
