Character,Affiliation,Description,Appeared in
Amal Nagchaudhuri,RMN,"Lieutenant Commander; Hexapuma's communications officer. Desc.- ""tall, almost albino-pale""","Storm from the Shadows, Ch. 5"
Nazari,-,skipper on RMMS Chantilly,War of Honor
Nelson,SKM,Treecat in Nimitz's Grayson immigrant clan,"In Enemy Hands, Echoes of Honor, Ashes of Victory"
Jean-Claude Nesbitt,RH,"Security Chief to Sec. of State Giancola, cousin of Tony Nesbitt. (Alleged to be a Mesan Agent; citation needed!)","War of Honor?, At All Costs"
Tony Nesbitt,RH,Secretary of Commerce,"War of Honor, At All Costs"
Sir Hakon Nessler,RMN/SKM,"Ensign (Resigned), Royal Manticoran Navy. Fourteenth Earl of Greatgap. Undertook an expedition, along with his mentor Edith Mincio, to Hope (fmr. Salamis) in the outskirts of the Solarian League to study the Alphane Worlds. While there he took command of the Melungeon light-cruiser Colonel Araby, rechristened the HMS Ajax and crewed by the thirty-seven survivors of the destroyer HMS L'Imperieuse. He and ""his"" crew and tracked down and destroyed the heavy-cruiser the PNS Rienzi which was attacking RMN ships in Sollie space.",More Than Honor
Willard Neufsteiler,SKM,Honor Harrington's chief financial manager,"Field of Dishonor, Honor Among Enemies through At All Costs"
Francis 'Frank' Ney,SKM,"personal bodyguard of Prime Minister Allen Summervale, died in the assassination at Grayson.",Ashes of Victory
Nico,SKM,"A servant in White Haven, likely a footman or possibly the junior butler","War of Honor, At All Costs"
Nimitz (Laughs Brightly),SKM,"Treecat. Adopted Honor Harrington at the age of 13 (14??), attended RMN Naval Academy on Saganami Island with her, and has been with her ever since, save while imprisoned aboard Tepes with Cordelia Ransom. His injuries in connection with that episode have prevented him from telepathically speaking to other treecats. Mate of Samantha and father of Jason, Achilles, Andromeda, and Cassandra, who were taken to Grayson to grow up, along with a party from Nimitz' Bright Water Clan.",
Agnes Nordbrandt,TC,"Leader of the Kornati National Redemption Party (NRP) and as such was a close ally of current President Vuk Rajkovic; organizer and leader of the Freedom Alliance of Kornati (FAK), a terrorist group backed unknowingly by Mesa through a contact named ""Firebrand"".",The Shadow of Saganami
Eugene Nordbrandt,RMN,"Lieutenant, Bad PennyвЂЌ 'вЂ‹s com officer",Ashes of Victory
