Compare Compare All,Product Name,Status,Embedded Options Available,TDP,Recommended Customer Price
Compare,IntelВ® Z77 Express Chipset (IntelВ® BD82Z77 PCH),Launched,No,6.7 W,T&R : $48.00
Compare,IntelВ® Q77 Express Chipset (IntelВ® BD82Q77 PCH),Launched,Yes,6.7 W,T&R : $44.00
Compare,IntelВ® H77 Express Chipset (IntelВ® BD82H77 PCH),Launched,No,6.7 W,T&R : $43.00
Compare,IntelВ® Q75 Express Chipset (IntelВ® BD82Q75 PCH),Launched,No,6.7 W,T&R : $40.00
Compare,IntelВ® B75 Express Chipset (IntelВ® BD82B75 PCH),Launched,Yes,6.7 W,T&R : $37.00
Compare,IntelВ® Z75 Express Chipset (IntelВ® BD82Z75 PCH),Launched,No,6.7 W,T&R : $40.00
Compare,IntelВ® Z68 Express Chipset (IntelВ® BD82Z68 PCH),Launched,No,6.1 W,T&R : $48.00
Compare,IntelВ® Q67 Express Chipset (IntelВ® BD82Q67 PCH),Launched,Yes,6.1 W,T&R : $44.00
Compare,IntelВ® Q65 Express Chipset (IntelВ® BD82Q65 PCH),Launched,No,6.1 W,T&R : $40.00
Compare,IntelВ® P67 Express Chipset (IntelВ® BD82P67 PCH),Launched,No,6.1 W,N/A
Compare,IntelВ® H67 Express Chipset (IntelВ® BD82H67 PCH),Launched,No,6.1 W,T&R : $43.00
Compare,IntelВ® H61 Express Chipset (IntelВ® BD82H61 PCH),Launched,Yes,6.1 W,T&R : $23.00
Compare,IntelВ® B65 Express Chipset (IntelВ® BD82B65 PCH),Launched,Yes,6.1 W,T&R : $37.00
