,Topic / Topic starter,Replies,Last post
Normal topic,"BBC 3/CBBC HD now testing by daveh75 В» Mon, 2013-11-18 13:59",6,"by daveh75 Mon, 2013-11-18 20:18"
Normal topic,"Netflix on virgin tivo by 3937edwards В» Sun, 2013-11-17 12:45",7,"by Joe Cox Mon, 2013-11-18 11:01"
Normal topic,"BBC 4/Cbeebies HD now testing (on dsat) by daveh75 В» Sun, 2013-11-17 23:55",0,"by daveh75 Mon, 2013-11-18 00:08"
Normal topic,"Humax HDR-1010S/1TB Clicks and Pops by Theo В» Fri, 2013-11-15 09:14",1,"by daveh75 Fri, 2013-11-15 10:32"
Hot topic,"BT Sport wins Champions League rights by John Duncan В» Sat, 2013-11-09 14:43",15,"by Son_of_SJ Wed, 2013-11-13 16:53"
Normal topic,"Letter / email from Sky - HD Box issue by psurquhart В» Tue, 2013-11-12 10:33",4,"by The_Lhc Tue, 2013-11-12 11:09"
Normal topic,"BT Sport now available to Plusnet Subscribers (with a Sky box) by daveh75 В» Thu, 2013-10-10 16:23",2,"by shooter Mon, 2013-11-11 18:43"
Normal topic,"samsung pvr bd-dt 7800 by alljacque В» Wed, 2013-11-06 21:44",1,"by trj007 Thu, 2013-11-07 01:10"
Normal topic,"SAMSUNG AWARD WINNER by swiftmick В» Sun, 2013-11-03 16:12",5,"by bigboss Tue, 2013-11-05 17:35"
Hot topic,"LG Freesat TV doesn't receive any channels. (Page: 1, 2) by The_Lhc В» Fri, 2013-05-31 22:35",17,"by The_Lhc Mon, 2013-11-04 15:05"
Hot topic,"Leaving Sky, Now need new PVR box (Page: 1, 2) by landzw В» Fri, 2013-10-04 16:35",18,"by landzw Fri, 2013-10-25 16:20"
Normal topic,"Sky Sports 1HD sound issues by blackflash52 В» Mon, 2013-10-21 19:51",2,"by blackflash52 Wed, 2013-10-23 17:33"
Normal topic,"Sky & Freeview tuning by rs6mra В» Thu, 2013-10-17 12:44",6,"by scatmanben Fri, 2013-10-18 16:58"
Normal topic,"Sky HD box in a different location to the TV it feeds... by MrW В» Sat, 2013-09-28 16:23",3,"by MrW Wed, 2013-10-16 20:24"
Normal topic,"BBC1 DD sound issue by RobinKidderminster В» Sun, 2013-09-29 08:44",1,"by rocketrazor Fri, 2013-10-04 17:02"
Normal topic,"bt sport coming to virgin anytime soon ?? by axel1970 В» Thu, 2013-07-18 16:51",8,"by Alantiggger Wed, 2013-10-02 12:33"
Normal topic,"Sky Now TV box without Sky? by roger06 В» Sat, 2013-09-07 10:53",5,"by roger06 Fri, 2013-09-27 14:45"
Normal topic,"What are you looking forward to on TV? by chebby В» Sun, 2013-08-25 18:13",8,"by simonlewis Wed, 2013-09-25 10:58"
Normal topic,"How do I record from Samsung smart TV with freesat HD? by Triggy В» Sun, 2013-09-22 08:01",5,"by Triggy Sun, 2013-09-22 20:04"
Normal topic,"4 on Demand & Netflix via laptop, and Freesat by Big Aura В» Mon, 2013-09-16 16:24",0,"by Big Aura Mon, 2013-09-16 16:24"
Normal topic,"Sky 2TB box reliability by jog3004 В» Sat, 2013-09-14 14:49",8,"by psurquhart Sun, 2013-09-15 13:40"
Normal topic,"HUMAX HDR FOX-T2 dissappointed. by SiUK В» Wed, 2013-09-11 16:50",2,"by chebby Fri, 2013-09-13 09:24"
Normal topic,"Film4 HD Now on sky by sonycentre В» Mon, 2013-09-02 20:38",4,"by BIGBERNARDBRESSLAW Thu, 2013-09-12 21:20"
Normal topic,"Connecting Sky Multiroom HD box to amplifierHi by rothlee В» Fri, 2013-09-06 22:56",1,"by daveh75 Fri, 2013-09-06 23:17"
Normal topic,"Please could someone explain this picture problem? by Key_to_the_universe В» Sun, 2013-09-01 11:31",8,"by abacus Sun, 2013-09-01 18:46"
