,Title,Author,Date
,Some Projection Left: Frankie Say Re...liever?,Christopher Crawford,2015-05-20
,Transaction Analysis: Philly Games Franco,R.J. Anderson,2015-05-18
,Daisy Cutter: Shark Tank,Sahadev Sharma,2015-05-15
,Raising Aces: Debut Ante: Carlos Rodon,Doug Thorburn,2015-05-14
,Raising Aces: Postmortem: Chris Sale vs. the Minnesota Twins,Doug Thorburn,2015-05-04
,What You Need to Know: Sold!,Chris Mosch,2015-05-01
,What You Need to Know: Silence!,Daniel Rathman,2015-04-30
,Rubbing Mud: The Worst Holes On Contenders,Matthew Trueblood,2015-04-27
,"The BP Wayback Machine: Retaliation, and Pitchers Hitting Pitchers",Sam Miller,2015-04-27
,Daisy Cutter: Carlos Rodon and the White Sox' Ace Development Program,Sahadev Sharma,2015-04-24
