Passenger Capacity,6,5,7
Passenger Volume (cu. ft.),146.9,139.7,141.8
Front Head Room (in),39.8,39.0,39.2
Front Leg Room (in),39.8,43.1,41.2
Front Shoulder Room (in),60.3,57.9,61.6
Front Hip Room (in),- TBD -,55.5,59.0
Second Head Room (in),40.4,37.7,38.6
Second Leg Room (in),36.2,37.1,38.7
Second Shoulder Room (in),59.6,57.5,61.5
Second Hip Room (in),- TBD -,54.5,59.1
Third Leg Room (in),32.4,,28.7
Cargo Volume to Seat 1 (cu. ft.),85.0,80.3,83.5
Cargo Volume to Seat 2 (cu. ft.),42.2,40.0,42.9
Cargo Volume to Seat 3 (cu. ft.),15.2,,15.0
