Coupe Most Popular Styles,MPG,Engine,MSRP
Coupe Manual,18/26,Premium Unleaded V-6 3.7 L,"$30,815"
Coupe Automatic,19/26,Premium Unleaded V-6 3.7 L,"$32,115"
Coupe Manual Sport,18/26,Premium Unleaded V-6 3.7 L,"$34,395"
Coupe Automatic Sport,19/26,Premium Unleaded V-6 3.7 L,"$35,695"
Coupe Manual Sport Tech,18/26,Premium Unleaded V-6 3.7 L,"$37,895"
Coupe Manual Touring,18/26,Premium Unleaded V-6 3.7 L,"$38,795"
Coupe Automatic Sport Tech,19/26,Premium Unleaded V-6 3.7 L,"$39,195"
Coupe Automatic Touring,19/26,Premium Unleaded V-6 3.7 L,"$40,095"
Coupe Manual NISMO,18/26,Premium Unleaded V-6 3.7 L,"$42,815"
Coupe Automatic NISMO,19/26,Premium Unleaded V-6 3.7 L,"$44,115"
Coupe Manual NISMO Tech,18/26,Premium Unleaded V-6 3.7 L,"$46,315"
Coupe Automatic NISMO Tech,19/26,Premium Unleaded V-6 3.7 L,"$47,615"
