Stock of Quasi Money By Country,Stock of quasi money,Updated,Rank
The stock of quasi money of The United States is,"$10,990,000,000,000",31-Dec-08,#1
The stock of quasi money of Japan is,"$6,160,000,000,000",31-Dec-08,#2
The stock of quasi money of European Union is,"$5,631,000,000,000",31-Dec-08,#3
The stock of quasi money of China is,"$4,523,000,000,000",31-Dec-08,#4
The stock of quasi money of Canada is,"$1,299,000,000,000",31-Dec-08,#5
The stock of quasi money of India is,"$853,400,000,000",31-Dec-08,#6
The stock of quasi money of Hong Kong is,"$757,600,000,000",31-Dec-08,#7
The stock of quasi money of Brazil is,"$645,000,000,000",31-Dec-08,#8
The stock of quasi money of Taiwan is,"$618,000,000,000",31-Dec-08,#9
The stock of quasi money of South Korea is,"$478,000,000,000",31-Dec-08,#10
The stock of quasi money of Switzerland is,"$477,600,000,000",31-Dec-08,#11
The stock of quasi money of Russia is,"$318,400,000,000",31-Dec-08,#12
The stock of quasi money of Turkey is,"$313,500,000,000",31-Dec-08,#13
The stock of quasi money of Thailand is,"$283,600,000,000",31-Dec-08,#14
The stock of quasi money of Malaysia is,"$200,900,000,000",31-Dec-08,#15
The stock of quasi money of Singapore is,"$179,000,000,000",31-Dec-08,#16
The stock of quasi money of Israel is,"$171,600,000,000",31-Dec-08,#17
The stock of quasi money of Mexico is,"$146,800,000,000",31-Dec-08,#18
The stock of quasi money of Saudi Arabia is,"$134,300,000,000",31-Dec-08,#19
The stock of quasi money of Indonesia is,"$131,500,000,000",31-Dec-08,#20
The stock of quasi money of South Africa is,"$124,100,000,000",31-Dec-08,#21
The stock of quasi money of Egypt is,"$112,200,000,000",31-Dec-08,#22
The stock of quasi money of Poland is,"$109,000,000,000",31-Dec-08,#23
The stock of quasi money of New Zealand is,"$99,910,000,000",31-Dec-08,#24
The stock of quasi money of Denmark is,"$95,820,000,000",31-Dec-08,#25
The stock of quasi money of Lebanon is,"$77,800,000,000",31-Dec-08,#26
The stock of quasi money of Syria is,"$73,930,000,000",31-Dec-08,#27
The stock of quasi money of Chile is,"$73,660,000,000",31-Dec-08,#28
The stock of quasi money of Kuwait is,"$71,790,000,000",31-Dec-08,#29
The stock of quasi money of The Czech Republic is,"$58,600,000,000",31-Dec-08,#30
The stock of quasi money of The Philippines is,"$55,710,000,000",31-Dec-08,#31
The stock of quasi money of Sweden is,"$54,550,000,000",31-Dec-08,#32
The stock of quasi money of Bangladesh is,"$45,230,000,000",31-Dec-08,#33
The stock of quasi money of Qatar is,"$44,500,000,000",31-Dec-08,#34
The stock of quasi money of Ukraine is,"$41,500,000,000",31-Dec-08,#35
The stock of quasi money of Hungary is,"$40,700,000,000",31-Dec-08,#36
The stock of quasi money of Romania is,"$36,090,000,000",31-Dec-08,#37
The stock of quasi money of Kazakhstan is,"$35,760,000,000",31-Dec-08,#38
The stock of quasi money of Croatia is,"$34,570,000,000",31-Dec-08,#39
The stock of quasi money of Nigeria is,"$32,040,000,000",31-Dec-08,#40
The stock of quasi money of Algeria is,"$30,360,000,000",31-Dec-08,#41
The stock of quasi money of Colombia is,"$26,570,000,000",31-Dec-08,#42
The stock of quasi money of Peru is,"$25,320,000,000",31-Dec-08,#43
The stock of quasi money of Slovakia is,"$23,150,000,000",31-Dec-08,#44
The stock of quasi money of Macau is,"$22,680,000,000",31-Dec-08,#45
The stock of quasi money of Bulgaria is,"$20,610,000,000",31-Dec-08,#46
The stock of quasi money of Morocco is,"$19,840,000,000",31-Dec-08,#47
The stock of quasi money of Jordan is,"$17,980,000,000",31-Dec-08,#48
The stock of quasi money of Tunisia is,"$16,550,000,000",31-Dec-08,#49
