Series Title (Click for series info),,Genre,Year
Chu Shichatta!?... Tomodachi to!,,"Romance, Shoujo",2013
Cosplay Danshi Zukan,,"Romance, Shoujo",2010
Defense Bakari no Koi ja dame!,,"Comedy, Romance, School Life, Shoujo",2012
Gyuu!! - Kare no Koto ga Suki Sugite Komacchau!,,,2013
Hatsukoi no Itazura,,"Romance, School Life, Shoujo",2011
"Houkago, Kimi to Koi o Shite.",,"Romance, School Life, Shoujo",2010
How to Get a Guy Sorted by Blood Type,,"Comedy, Romance, School Life, Shoujo",2009
Inu Jikan,,"Romance, School Life, Shoujo",2008
"Joshi Kousei de, Hanayome de.",,"Romance, Shoujo",2012
"Kaichou, Suki tte Itte mo Ii desu ka?",,"Romance, School Life, Shoujo",2013
Kedamono - Kemono Danshi no Amai Wana,,"Romance, Shoujo",2012
Koakuma Lion,,"Comedy, Romance, School Life, Shoujo",2010
"Koi, Binkan.",,,2014
Koibito wa Doukyonin,,"Harem, Romance, School Life, Shoujo",2010
Lingerie Logic,,"Romance, School Life, Shoujo",2011
Ongaku no Jikan,,"Drama, Romance, School Life, Shoujo",2013
Ouchi e Kaerou,,"Comedy, Drama, Romance, School Life, Shoujo",2007
Papa to Mama Hajimemashita.,,"Comedy, Romance, Shoujo",2011
Sorairo Koiiro,,"Comedy, Harem, Romance, School Life, Shoujo",2008
Taro-kun wa Kou Miete Igai to xxx Desu.,,Shoujo,2014
