System Name:,HTPC||Lenovo IBM ThinkPad
Processor:,AMD Phenom II x4 965 stock 3.4GHz||Intel C2D T9300 @ 2.5GHz
Motherboard:,Zotac 890GX-ITX WiFi||Lenovo 8918CTO
Cooling:,Stock 3x 120's||Stock stuff
Memory:,8GB (2x4GB) DDR3 6-6-6-15||3GB DDR2
Video Card(s):,Asus 3870x2||nVidia Quadro NVS 140M
Hard Disk(s):,"1TB Seagate Barracuda, 1x 2TB WD EARX ||Hitachi 160GB 7200RPM"
Optical Drive:,Lite-on||Basic DVD-ROM
LCD/CRT Model:,Samsung T260HD||
Case:,SilverStone Grandia GD05||
Sound Card:,on-board||on-board
Power Supply:,Cooler Master 450W||6-cell
Software:,Windows 7 Pro x64||Windows 7 Pro x64/Linux Mint x64
