Restaurant Name,Rating,Price,Reviews
1'wichcraft1 Rockefeller Plz | Btwn 5th & 6th Ave Order From This Restaurant,,$$,8
2Beer Authority300 W 40th St | At 8th Ave Order From This Restaurant,,$$$,2
3Beny's Delice1196 6th Ave | At 47th St Order From This Restaurant,,$,0
4City Sandwich649 9th Ave | Btwn 45th & 46th St Order From This Restaurant,,$$,16
5FIKA114 W 41st St | Btwn Broadway & 6th Ave Order From This Restaurant,,$$,1
6Havana Social688 10th Ave | Btwn 48th & 49th St Order From This Restaurant,,$$$,0
7OBAO647 9th Ave | Btwn 45th & 46th St Order From This Restaurant,,$$$,2
8Pergola Des Artistes252 W 46th St | Btwn Broadway & 8th Ave Order From This Restaurant,,$$$$$,16
9Piccolo Cafe274 W 40th St | Btwn 7th & 8th Ave Order From This Restaurant,,$$,4
10Point Break12 W 45th St | Btwn 5th & 6th Ave Order From This Restaurant,,$$$,5
11Potbelly Sandwich Shop30 Rockefeller Center | Btwn 49th & 50th St Order From This Restaurant,,$,1
12Quinn's NYC Bar and Grill356 W 44th St | Btwn 8th & 9th Ave Order From This Restaurant,,$$$,2
13Ta Cocina714 9th Ave | Btwn 48th & 49th St,,$$,37
14The Jolly Monk701 9th Ave | At 48th St Order From This Restaurant,,$$$$,0
