IMG.,DATASHEET,MANUFACTURER,PART #,PRODUCT NAME,QUANTITY,PRICE,SCORE
,,MOLEX,51005-0500,Wire-To-Wire Connector,Available,PRICE?,5.2
,,IDEAL,L-5217,Wire Stripper Accessory - Wire gripper,Available,PRICE?,4.9
,,MEGGER,DET4TD DEMO,"DIGITAL GROUND TESTER, 2/3/4 WIRE, 2KOHM",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90077MHE/NOPB,"IC, ADC, 16BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90099MHE/NOPB,"IC, ADC, 24BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90099MHE/NOPB,"IC, ADC, 24BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90097MHE/NOPB,"IC, ADC, 24BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90077MHE/NOPB,"IC, ADC, 16BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90098MHE/NOPB,"IC, ADC, 24BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90078MHE/NOPB,"IC, ADC, 16BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90098MHE/NOPB,"IC, ADC, 24BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90078MHE/NOPB,"IC, ADC, 16BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90079MHE/NOPB,"IC, ADC, 16BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90080MHE/NOPB,"IC, ADC, 16BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90097MHE/NOPB,"IC, ADC, 24BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90079MHE/NOPB,"IC, ADC, 16BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,NATIONAL SEMICONDUCTOR,LMP90080MHE/NOPB,"IC, ADC, 16BIT, 214.6SPS, 3-Wire, 4-Wire, Serial, TSSOP-28",Available,PRICE?,4.7
,,ALPHA WIRE,HUKIT30 NC032,Hook-Up Wire Kit,Available,PRICE?,4.6
,,ALPHA WIRE,HUKIT40 NC032,Hook-Up Wire Kit,Available,PRICE?,4.6
,,TE CONNECTIVITY / AMP,828904-2,Wire Seal,Available,PRICE?,4.6
,,IDEAL,L5270,Wire Stripper Accessory - Wire stop,Available,PRICE?,4.5
,,TE CONNECTIVITY / AMP,172211-4,"WIRE-BOARD CONN, RECEPTACLE, 4POS, 2.5MM",Available,PRICE?,4.5
,,OK INDUSTRIES,PTX-KIT1,Wire-Wrapping & Unwrapping Tool Kit,Available,PRICE?,4.4
,,OK INDUSTRIES,WD-30-Y,Wire Dispenser,Available,PRICE?,4.4
,,n/a,100248,,31,PRICE?,
,,TAIWAN SEMICONDUCTOR,100248,,29700,PRICE?,
,,U/K,100248,,6,PRICE?,
,,ACE TLD CORP DBA ACE,1002480,,3,PRICE?,
,,,1002480619,,5,PRICE?,
,,ST MICRO,100248158,,8016,PRICE?,
,,STM,100248158,,8016,PRICE?,
,,BUSLOGIC,1002483-01,,2,PRICE?,
,,ULTRAPRINT,10024834001,,513,PRICE?,
,,RELIANCE LABEL SOLUTIONS,10024898,,173719,PRICE?,
