,Title,Commenter,Date,Thread
,Turkey in NATO [152 words],Stas,"Jul 1, 2012 22:57",196872
6,Turkey does not belong [47 words],drake,"Jan 13, 2012 17:21",192564
3,Turkey should be removed removed from NATO [141 words],Darrell Cramer,"Oct 7, 2014 11:15",192564
8,Turkey's Membership in NATO [31 words],Rick Fuller,"Feb 27, 2011 17:23",183021
3,nato membership [118 words],Ferforge,"Sep 26, 2011 15:35",183021
7,Turkey has alternatives [145 words],Mike,"Nov 20, 2011 22:21",183021
5,Why do we keep training and arming potential enemies? Because our power elite loves their cash more than its own country ! [31 words],Ianus,"Mar 1, 2012 15:22",183021
1,what? [42 words],john,"Jun 8, 2012 14:33",183021
,haha [25 words],john,"Jun 8, 2012 14:39",183021
7,turkey the bridge between west and east [131 words],someone from turkey,"Jun 16, 2010 18:14",174469
12,TURKEY SHOULD NO LONGER BE A NATO MEMBER [272 words],Ilene Richman,"Jun 8, 2010 09:38",174044
13,Turkey shall resign and get out of NATO [52 words],Michael,"Jun 28, 2010 13:17",174044
8,read the academic articles. [143 words],Timucin,"Jul 2, 2010 09:26",174044
10,REMOVE TURKEY FROM NATO [232 words],Ilene Richman,"Jul 2, 2010 19:16",174044
5,I shall join you [32 words],the4yoghurts,"Aug 7, 2010 16:10",174044
1,"if you leave the stereotypes and biases aside, you'll see the truth [125 words]",truth,"Jan 25, 2012 00:54",174044
3,turkey is NOT democratic [38 words],john,"Jun 8, 2012 14:49",174044
,Turkey and Nato [53 words],Edward Demiraiakian,"Aug 22, 2014 00:34",174044
1,cry wolf is an old story no one takes seriously anymore! [289 words],zisan,"Mar 4, 2010 05:11",169670
,the people of turkey can do what they want but....... [9 words],john,"Jun 8, 2012 14:52",169670
1,No they do not [37 words],Straight_Talk_Luigi,"Mar 3, 2010 22:44",169653
16,turks are the the loneliest people of earth [207 words],havas,"Oct 15, 2009 02:01",163105
1,We support peaceful Muslims [121 words],S. Ranjan,"Nov 30, 2009 08:23",163105
1,About Turkey [160 words],Deniz Candas,"Dec 6, 2009 00:52",163105
9,Turks are the loneliest people [421 words],Edward Demian,"Feb 4, 2011 23:56",163105
3,There is no Turk in Turkey talltale... [644 words],RAGE,"Aug 17, 2014 09:59",163105
3,DNA results of Anatolian Turks. [145 words],Edward Demiraiakian,"Aug 21, 2014 16:01",163105
2,Discrepancies [354 words],Tom,"Jun 7, 2009 16:01",156966
1,easy accusations [154 words],berk akk,"Mar 3, 2010 10:08",156966
2,Who needs NATO? [4 words],TurkishPower,"May 19, 2009 06:42",155760
3,Turkey [26 words],Jeff,"Jun 5, 2010 20:29",155760
3,NATO sucks [34 words],Hakan,"May 18, 2009 19:20",155735
8,Russians aren't stupid [57 words],the Grand Infidel of Kaffiristan,"May 21, 2009 05:57",155735
8,There is no armenian genocide [43 words],Turk,"May 7, 2009 20:40",155095
6,Turk [65 words],Young MC,"May 8, 2009 20:27",155095
5,Turkish Genocide Denier [33 words],Young MC,"May 9, 2009 08:40",155095
8,Our dear Turk: We are all Armenians and infidels and get used to it [299 words],dhimmi no more,"May 9, 2009 15:55",155095
5,Happy barbarians [333 words],Ianus,"May 10, 2009 07:41",155095
4,"""Alleged"" Armenian Genocide is a CROAK!!! [260 words]",Truthful,"May 12, 2009 15:25",155095
3,Truth vs Turkish Lies [44 words],Young MC,"May 13, 2009 12:33",155095
7,Our dear Truthful and the truth Turkish style and the Armenian Genocide [1105 words],dhimmi no more,"May 13, 2009 13:54",155095
3,Truthful [1306 words],Ianus,"May 13, 2009 16:26",155095
2,"Ah the truth of ""Truthful""!! [140 words]",Jaladhi,"May 15, 2009 15:32",155095
4,no screaming..here is the evidence [176 words],Gonca,"Sep 8, 2009 10:05",155095
4,"Gonca and the making of ""evidence"" [35 words]",Young MC,"Sep 9, 2009 04:33",155095
11,There was no Armenian Genocide [455 words],I am a Turk and I am against Turkey's EU membership,"Sep 25, 2009 18:09",155095
5,Another victim of the Turks and those that deny the Armenian Genocide [1040 words],dhimmi no more,"Sep 27, 2009 09:53",155095
