reqs,Gbytes,%bytes,%reqs,browser
57308,1.72,16.97%,7.24%,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
57263,0.60,5.89%,7.24%,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en) AppleWebKit/418.9.1 (KHTML, like Gecko) Safari/419.3"
13927,0.28,2.75%,1.76%,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
49763,0.49,4.83%,6.29%,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418.9.1 (KHTML, like Gecko) Safari/419.3"
12139,0.24,2.39%,1.53%,msnbot/1.0 (+http://search.msn.com/msnbot.htm)
7617,0.12,1.14%,0.96%,FAST Enterprise Crawler 6 / Scirus scirus-crawler@fast.no; http://www.scirus.com/srsapp/contactus/
9161,0.16,1.55%,1.16%,msnbot-media/1.0 (+http://search.msn.com/msnbot.htm)
16435,0.17,1.67%,2.08%,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en) AppleWebKit/418.8 (KHTML, like Gecko) Safari/419.3"
4620,0.06,0.63%,0.58%,ConveraCrawler/0.9e (+http://www.authoritativeweb.com/crawl)
12383,0.14,1.42%,1.57%,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en) AppleWebKit/418.9 (KHTML, like Gecko) Safari/419.3"
3834,0.06,0.57%,0.48%,Java/1.5.0_07
37582,0.41,4.06%,4.75%,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)
17604,0.18,1.74%,2.22%,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8.1 (KHTML, like Gecko) Safari/312.6"
3182,0.05,0.47%,0.40%,WebVac (webmaster@pita.stanford.edu WebVac.org )
12310,0.13,1.33%,1.56%,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418.9 (KHTML, like Gecko) Safari/419.3"
15112,0.15,1.49%,1.91%,Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.8.0.9) Gecko/20061206 Firefox/1.5.0.9
24296,0.24,2.39%,3.07%,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)
22719,0.25,2.42%,2.87%,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.1) Gecko/20061204 Firefox/2.0.0.1
1643,0.03,0.25%,0.21%,Jyxobot/1
21644,0.26,2.53%,2.74%,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322)
1822,0.06,0.63%,0.23%,"Mozilla/5.0 (arianna.libero.it,ariannaadm@pisa.iol.it)"
1823,0.00,0.02%,0.23%,Bloglines/3.1 (http://www.bloglines.com; 1 subscriber)
20205,0.24,2.33%,2.55%,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.0.9) Gecko/20061206 Firefox/1.5.0.9
16617,0.16,1.56%,2.10%,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)
1346,0.03,0.26%,0.17%,Mozilla/2.0 (compatible; Ask Jeeves/Teoma; +http://about.ask.com/en/docs/about/webmasters.shtml)
1345,0.00,0.03%,0.17%,Feedfetcher-Google; (+http://www.google.com/feedfetcher.html)
10557,0.11,1.11%,1.33%,Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.8.1.1) Gecko/20061204 Firefox/2.0.0.1
1523,0.02,0.17%,0.19%,User-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
7176,0.08,0.78%,0.91%,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
4037,0.04,0.43%,0.51%,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-us) AppleWebKit/418.9.1 (KHTML, like Gecko) Safari/419.3"
3387,0.03,0.32%,0.43%,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
1237,0.02,0.18%,0.16%,Java/1.4.1_04
796,0.01,0.14%,0.10%,FAST Enterprise Crawler 6 used by ENSCO (chenail.brett@ensco.com)
8051,0.04,0.37%,1.02%,Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en; rv:1.8.0.7) Gecko/20060911 Camino/1.0.3
8722,0.11,1.04%,1.10%,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)
4621,0.05,0.50%,0.58%,Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.0.9) Gecko/20061206 Firefox/1.5.0.9
2497,0.02,0.17%,0.32%,Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.2) Gecko/20040804 Netscape/7.2
2714,0.01,0.15%,0.34%,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/412.6.2 (KHTML, like Gecko) Safari/412.2.2"
5858,0.05,0.51%,0.74%,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; InfoPath.1)
2002,0.02,0.21%,0.25%,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/417.9 (KHTML, like Gecko) Safari/417.8"
284345,3.31,32.59%,35.94%,"[not listed: 3,741 browsers]"
