Batch,No of bugs,IRC Nickname,Status,Query
1,5,Jtamate,done except 214765,Query
2,5,Lemma,done,Query
3,5,stephdg,"3 left, 225280 & 225682 done",Query
4,5,Lemma,done,Query
5,5,Lemma,done,Query
6,5,FiNeX,done,Query
7,5,FiNeX,done,Query
8,5,Lemma,done,Query
9,5,FiNeX,done,Query
10,5,Jtamate,done,Query
11,5,FiNeX,done,Query
12,5,FiNeX,done,Query
13,5,FiNeX,done,Query
14,5,FiNeX,done,Query
15,5,FiNeX,done,Query
16,5,FiNeX,done,Query
17,5,FiNeX,done,Query
18,5,FiNeX,done,Query
19,5,FiNeX,done,Query
20,5,Jtamate,done,Query
21,5,grundleborg,done,Query
22,5,FiNeX,done,Query
23,5,anselmolsm,done,Query
24,5,FiNeX,done,Query
25,5,FiNeX,done,Query
26,5,FiNeX,done,Query
27,5,FiNeX,done,Query
28,5,FiNeX,done,Query
29,5,anselmolsm,done,Query
30,2,FiNeX,batch is empty,Query
