Citing Patent,Filing date,Publication date,Applicant,Title
US4877167 *,"Jun 10, 1988","Oct 31, 1989",Mcnemar Glenn A,Retention system for diver accessories
US4913589 *,"Aug 17, 1988","Apr 3, 1990","U.S. Divers Company, Inc.",Diver's buoyancy compensator and backpack with independent suspension
US4952095 *,"Dec 14, 1988","Aug 28, 1990",Walters William D,Soft backpack for scuba diver air tanks
US4990115 *,"Jun 22, 1989","Feb 5, 1991","Soniform, Inc.",Buoyancy compensator with expandable cummerbund and auxiliary harness
US5011334 *,"Jun 22, 1989","Apr 30, 1991","Soniform, Inc.",Buoyancy compensator with interchangeable accessories
US5046894 *,"Jul 12, 1990","Sep 10, 1991","Soniform, Inc.",Buoyancy compensator with interchangeable backpack and commerbund
US5057046 *,"Mar 30, 1990","Oct 15, 1991",Scannell Jr Robert F,Flotation device peripheral system
US5249890 *,"Jan 31, 1992","Oct 5, 1993","Soniform, Inc.",Modular backpack assembly and buoyancy compensator
US5378084 *,"Mar 24, 1994","Jan 3, 1995",Walters; William D.,Backpack systems
US5385496 *,"Apr 7, 1993","Jan 31, 1995","Sea Quest, Inc.",Buoyancy compensator with lateral expansion and method therefor
US5403123 *,"Jul 29, 1992","Apr 4, 1995",Walters; William D.,"Gas impermeable, elastically deformable laminate and inflatable articles formed therefrom"
US5497922 *,"May 25, 1994","Mar 12, 1996",The Natural Balance Design Co.,Counter balance pockets with frame for backpacks
US5522679 *,"Jun 2, 1994","Jun 4, 1996",Dacor Corporation,Buoyancy compensator having attached backpack
US5542446 *,"Aug 8, 1995","Aug 6, 1996",Rose; Richard H.,Scuba buoyancy control valve
US5693412 *,"Jul 7, 1994","Dec 2, 1997",Walters; William D.,"Gas impermeable, elastically deformable laminate and inflatable articles formed therefrom"
US5746542 *,"Nov 17, 1995","May 5, 1998",Carmichael; Robert M.,Drop weight dive belt
US5855497 *,"Mar 19, 1998","Jan 5, 1999",French; Cynthia M.,Life jacket with flexible life line
US5902073 *,"Jan 8, 1997","May 11, 1999",Johnson Worldwide Associates,Equipment support garment for divers
US6427697,"Dec 8, 1998","Aug 6, 2002",Mary Annette Pearcey,Belt and method for increasing comfort and reducing back pain while lying down
US6527480 *,"Jul 26, 2001","Mar 4, 2003",Johnson Outdoors Inc.,Buoyancy compensator weight system
US6881011 *,"Jan 23, 2002","Apr 19, 2005",Robert Manuel Carmichael,"Buoyancy compensator, utility backpack, transport harness or like garment with adjustable one size component for use by a wide range of individuals"
US6923177 *,"Feb 16, 2001","Aug 2, 2005",Robert Patrick Hart,Underwater breathing device
US6966726 *,"Oct 1, 2004","Nov 22, 2005","Tabata Co., Ltd.",Buoyancy compensator
US7014520,"Nov 14, 2003","Mar 21, 2006","Steams, Inc.",Internal body encircling belt for personal floatation devices
US7458751,"Dec 5, 2000","Dec 2, 2008","Trebor Industries, Inc.",Active control releasable ballast system for use with dive equipment
US7465125 *,"Apr 18, 2005","Dec 16, 2008",Robert Manuel Carmichael,"Buoyancy compensator, utility backpack, transport harness or like garment with adjustable one size component for use by a wide range of individuals"
US20050074295 *,"Oct 1, 2004","Apr 7, 2005",Haruo Kawashima,Buoyancy compensator
US20050106962 *,"Nov 14, 2003","May 19, 2005",Johnson Jean E.,Internal body encircling belt for personal floation devices
EP0526377A1 *,"Jul 20, 1992","Feb 3, 1993",Moon Y. Choi,Vest for diving with a snorkel
WO2002010012A1 *,"Jul 27, 2001","Feb 7, 2002",Carmichael Robert M,Active control releasable ballast system for use with dive equipment
