Rank,Name,Score
1,eloise111,00:00:03
2,knitunder,00:00:09
3,stingray0104,00:00:09
4,turtleoo,00:00:10
5,bigblue40,00:00:10
6,zendi,00:00:10
7,boodaddy2324,00:00:10
8,GreenEyedMtnGal,00:00:11
9,bjperkins,00:00:11
10,bjperkins,00:00:11
11,BecFabu,00:00:11
12,zendi,00:00:11
13,boodaddy2324,00:00:11
14,zendi,00:00:11
15,westcoaster,00:00:11
16,stingray0104,00:00:11
17,JustM72083,00:00:11
18,hg270,00:00:11
19,zendi,00:00:11
20,bassomatic4ever,00:00:11
21,bjperkins,00:00:12
22,boompsie50,00:00:12
23,skippylou,00:00:12
24,trakkad,00:00:12
25,Daphnee20,00:00:12
26,vlad13,00:00:12
27,CDance,00:00:12
28,BecFabu,00:00:12
29,BecFabu,00:00:12
30,beesevencro,00:00:12
31,wowfie,00:00:12
32,shantwin,00:00:12
33,gewle,00:00:12
34,kcasse,00:00:12
35,vlad13,00:00:12
36,beesevencro,00:00:12
37,CDance,00:00:12
38,stingray0104,00:00:12
39,splurges,00:00:12
40,westcoaster,00:00:12
41,splurges,00:00:12
42,WickedWalter,00:00:12
43,CDance,00:00:12
44,boblenez,00:00:12
45,zendi,00:00:12
46,flackvillecup,00:00:12
47,Pyperdragon,00:00:12
48,pika2nd,00:00:12
49,CHRISTYBABE,00:00:12
50,Junkmeat2,00:00:12
51,zendi,00:00:12
52,Chris1492,00:00:12
53,Chris1492,00:00:12
54,dholland74,00:00:13
55,WMJoelfan5,00:00:13
56,dholland74,00:00:13
57,GreenEyedMtnGal,00:00:13
58,bigblue40,00:00:13
59,bjperkins,00:00:13
60,plumberries,00:00:13
61,OzSomeOne,00:00:13
62,dynz10,00:00:13
63,trakkad,00:00:13
64,bjperkins,00:00:13
65,foxymama41,00:00:13
66,1huskies,00:00:13
67,slickdamien,00:00:13
68,slw1022,00:00:13
69,montybear,00:00:13
70,skippylou,00:00:13
71,mrfeek,00:00:13
72,bjperkins,00:00:13
73,nitelite1208,00:00:13
74,westcoaster,00:00:13
75,vlad13,00:00:13
76,westcoaster,00:00:13
77,chinapandagirl,00:00:13
78,ronacame,00:00:13
79,SpacemanSpiffVA,00:00:13
80,splurges,00:00:13
81,akssr,00:00:13
82,amanda872,00:00:13
83,giselle81613,00:00:13
84,Chris1492,00:00:13
85,stingray0104,00:00:13
86,M998,00:00:13
87,Chris1492,00:00:13
88,joyce14,00:00:14
89,bigblue40,00:00:14
90,dholland74,00:00:14
91,jendea,00:00:14
92,Yablinga,00:00:14
93,misskitty74,00:00:14
94,uglymug1961,00:00:14
95,PennyQ,00:00:14
96,GalFriday,00:00:14
97,turtleoo,00:00:14
98,flackvillecup,00:00:14
99,musicmama1715,00:00:14
100,RandeeM12,00:00:14
101,shajul2,00:00:14
102,momthreeb,00:00:14
103,ams715,00:00:14
104,WickedWalter,00:00:14
105,bulldawglady,00:00:14
106,leegoren,00:00:14
107,secantt,00:00:14
108,turtleoo,00:00:14
109,BecFabu,00:00:14
110,knitunder,00:00:14
111,BecFabu,00:00:14
112,bjperkins,00:00:14
113,stingray0104,00:00:14
114,ttjazzy1821,00:00:14
115,Marcy1011,00:00:14
116,MacsPoland,00:00:14
117,Pyperdragon,00:00:14
118,k2005osu,00:00:14
119,PennyQ,00:00:14
120,bjperkins,00:00:14
121,stingray0104,00:00:14
122,zendi,00:00:14
123,archcherub,00:00:14
124,kcwhat,00:00:14
125,wowfie,00:00:14
126,Juliaussie,00:00:14
127,Reisie,00:00:14
128,momthreeb,00:00:14
129,shantwin,00:00:14
130,rpetsrcool,00:00:14
131,Theropod,00:00:14
132,tholic99,00:00:14
133,Fethit,00:00:14
134,terisgames,00:00:14
135,kmlewis1,00:00:14
136,kcasse,00:00:14
137,whatsername85,00:00:14
138,VacillationStat...,00:00:14
139,MacsPoland,00:00:14
140,stargazer159,00:00:14
141,kabaker11,00:00:14
142,kcasse,00:00:14
143,bjperkins,00:00:15
144,bjperkins,00:00:15
145,trakkad,00:00:15
146,powercleanmom,00:00:15
147,GreenEyedMtnGal,00:00:15
148,bjperkins,00:00:15
149,bpaddington,00:00:15
150,Bander2,00:00:15
151,jurb,00:00:15
152,LTCProf,00:00:15
153,joyce14,00:00:15
154,090400sw,00:00:15
155,paolo45uk,00:00:15
156,PennyQ,00:00:15
157,boxergirl70,00:00:15
158,sopranogloria,00:00:15
159,montybear,00:00:15
160,48884,00:00:15
161,Gandalf52,00:00:15
162,lancearmitage,00:00:15
163,gewle,00:00:15
164,wowfie,00:00:15
165,Kemist77,00:00:15
166,bjperkins,00:00:15
167,CDance,00:00:15
168,BecFabu,00:00:15
169,plumberries,00:00:15
170,vr4girl,00:00:15
171,trakkad,00:00:15
172,seatrailer,00:00:15
173,montybear,00:00:15
174,shajul2,00:00:15
175,bjperkins,00:00:15
176,GalFriday,00:00:15
177,beesevencro,00:00:15
178,bjperkins,00:00:15
179,BecFabu,00:00:15
180,trakkad,00:00:15
181,Tbow,00:00:15
182,sclsclsclscl,00:00:15
183,Mezoe,00:00:15
184,nanaimo11,00:00:15
185,Yablinga,00:00:15
186,edeforge,00:00:15
187,emliving,00:00:15
188,Tialena,00:00:15
189,lily1895,00:00:15
190,nceagle,00:00:15
191,joyce14,00:00:15
192,PennyQ,00:00:15
193,misskitty74,00:00:15
194,pattin,00:00:15
195,loriliv,00:00:15
196,boxergirl70,00:00:15
197,sopranogloria,00:00:15
198,SnFlwr,00:00:15
199,LTCProf,00:00:15
200,pokeypokey69,00:00:15
201,Kemist77,00:00:15
202,qbzman,00:00:15
203,Ruthies3,00:00:15
204,uglymug1961,00:00:15
205,pattyduket,00:00:15
206,CDance,00:00:15
207,M998,00:00:15
208,teenagelexophil...,00:00:15
209,CHRISTYBABE,00:00:15
210,CDance,00:00:15
211,momthreeb,00:00:15
212,splurges,00:00:15
213,jendea,00:00:15
214,WickedWalter,00:00:15
215,boodaddy2324,00:00:15
216,maskeddog,00:00:15
217,jengt123,00:00:15
218,SpacemanSpiffVA,00:00:15
219,allforgames,00:00:15
220,leegoren,00:00:15
221,zendi,00:00:15
222,Pyperdragon,00:00:15
223,BecFabu,00:00:15
224,vr4girl,00:00:15
225,bjperkins,00:00:15
226,CDance,00:00:15
227,WickedWalter,00:00:15
228,stingray0104,00:00:15
229,swissvalian,00:00:15
230,jengt123,00:00:15
231,BecFabu,00:00:15
232,WickedWalter,00:00:15
233,RubyRex,00:00:15
234,swissvalian,00:00:15
235,AnthonyR1183,00:00:15
236,stingray0104,00:00:15
237,sclsclsclscl,00:00:15
238,dynz10,00:00:15
239,MicheleMB,00:00:15
240,swissvalian,00:00:15
241,flackvillecup,00:00:15
242,rockart,00:00:15
243,figenk,00:00:15
244,gewle,00:00:15
245,shantwin,00:00:15
246,Theropod,00:00:15
