Title,Advocacy Issues
"Income and Net Worth of Veteran Business Owners over the Business Cycle, 1989вЂ“2010",Veterans
"5/8/15 - Comments to EPA on Convening of Panel on Federal Plan Requirements for Greenhouse Gas Emissions from Electric Utility Generating Units Constructed on or Before January 8, 2014",Environmental
Small Business Lending in the United States 2013,"Banking Studies, Finance, Capital & Taxes"
"The Small Business Advocate, May 2015","Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits"
Small Business Lending in the United States 2013,"Banking Studies, Finance, Capital & Taxes"
"The Small Business Advocate, May 2015","Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits"
EPA proposes air emission standards for Brick Production,Environmental
"The Small Business Advocate, May 2015","Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits"
EPA proposes revisions to the Ozone NAAQS,Environmental
"The Small Business Advocate, May 2015","Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits"
Small Business Tax Roundtable,"Finance, Capital & Taxes"
"The Small Business Advocate, May 2015","Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits"
Small Business Roundtable on Employee Benefits,Wages & Benefits
"The Small Business Advocate, May 2015","Environmental, Food, Drug & Health, Regulation, Safety & Transportation, Veterans, Wages & Benefits"
"Small Innovative Company GrowthвЂ”Barriers, Best Practices and Big Ideas: Lessons from the 3D Printing Industry",Technology & Innovation
The Leahy-Smith America Invents Act: A Preliminary Examination of Its Impact on Small Businesses,Technology & Innovation
EPA requests comment to improve EPA Regulations,Environmental
SEC Issues Proposal to Amend Investment Adviser Registration,Banking & Finance
The National Credit Union Administration Proposes Increase in Asset Threshold for Small Entities,"Finance, Capital & Taxes"
"Regional Roundtable- Louisville, KY",Employment & Training
"6/24/2014 - Establishing a Minimum Wage for Contractors, Notice of Proposed Rulemaking",Wages & Benefits
Small Business Labor Safety (OSHA/MSHA) Roundtable,Safety & Transportation
"Comments to Department of Labor Re: Definition of the Term ""Fiduciary""; Conflict of Interest Rule, Retirement Investment Advice",Wages & Benefits
DOJ Releases Rule Requiring ADA Captioning for Movie Theaters,Regulation
Small Business Labor Safety (OSHA/MSHA) Roundtable,Employment & Training
EPA Proposes Emission Requirements for New Medium- and Heavy-Duty Vehicles,Environmental
The Small Business Advocate - August 2014,"General Small Business, Regulation"
Small Business Aviation Safety Roundtable on FAAвЂ™s Proposed Small Unmanned Aircraft Systems (UAS) Rule,Safety & Transportation
The Small Business Advocate - August 2014,"General Small Business, Regulation"
SBA Environmental Roundtable Meeting,Environmental
