Rank,Title,Year,Director(s),Overall Rank
1,Singin' in the Rain,1952,Stanley Donen and Gene Kelly,6
2,Some Like It Hot,1959,Billy Wilder,10
3,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,12
4,Annie Hall,1977,Woody Allen,25
5,The Graduate,1967,Mike Nichols,39
6,The General,1926,Clyde Bruckman and Buster Keaton,45
7,Bringing Up Baby,1938,Howard Hawks,52
8,Duck Soup,1933,Leo McCarey,56
9,Toy Story,1995,John Lasseter,64
10,City Lights,1931,Charles Chaplin,68
11,It Happened One Night,1934,Frank Capra,69
12,The Rules of the Game,1939,Jean Renoir,70
13,His Girl Friday,1940,Howard Hawks,72
14,This Is Spinal Tap,1984,Rob Reiner,78
15,Forrest Gump,1994,Robert Zemeckis,93
16,The Gold Rush,1925,Charles Chaplin,97
17,Modern Times,1936,Charles Chaplin,108
18,The Philadelphia Story,1940,George Cukor,109
19,Sullivan's Travels,1941,Preston Sturges,125
20,The Apartment,1960,Billy Wilder,127
21,M*A*S*H,1970,Robert Altman,128
22,Groundhog Day,1993,Harold Ramis,130
23,The Princess Bride,1987,Rob Reiner,132
24,Monty Python and the Holy Grail,1975,Terry Gilliam and Terry Jones,133
25,La Dolce Vita,1960,Federico Fellini,134
26,Manhattan,1979,Woody Allen,135
27,The Lady Eve,1941,Preston Sturges,138
28,Life of Brian,1979,Terry Jones,147
29,A Hard Day's Night,1964,Richard Lester,157
30,When Harry Met Sally?,1989,Rob Reiner,167
31,Kind Hearts and Coronets,1949,Robert Hamer,170
32,Top Hat,1935,Mark Sandrich,172
33,The Big Lebowski,1998,Joel Coen,173
34,Airplane!,1980,"Jerry Zucker, Jim Abrahams, and David Zucker",175
35,Am?lie,2001,Jean-Pierre Jeunet,182
36,Withnail & I,1987,Bruce Robinson,183
37,The Producers,1968,Mel Brooks,184
38,Cinema Paradiso,1988,Giuseppe Tornatore,192
39,Tootsie,1982,Sydney Pollack,197
40,American Graffiti,1973,George Lucas,198
41,Breakfast at Tiffany's,1961,Blake Edwards,203
42,Blazing Saddles,1974,Mel Brooks,224
43,Ninotchka,1939,Ernst Lubitsch,229
44,Shakespeare in Love,1998,John Madden,244
45,To Be or Not to Be,1942,Ernst Lubitsch,248
46,Mary Poppins,1964,Robert Stevenson,252
47,A Night at the Opera,1935,Sam Wood,253
48,Harold and Maude,1971,Hal Ashby,256
49,Young Frankenstein,1974,Mel Brooks,260
50,"Sherlock, Jr.",1924,Buster Keaton,261
51,Four Weddings and a Funeral,1994,Mike Newell,267
52,Toy Story 2,1999,John Lasseter,268
53,The Lion King,1994,Roger Allers and Rob Minkoff,270
54,The Sting,1973,George Roy Hill,281
55,Shrek,2001,Andrew Adamson and Vicky Jenson,284
56,Rushmore,1998,Wes Anderson,286
57,The Blues Brothers,1980,John Landis,293
58,Ferris Bueller's Day Off,1986,John Hughes,295
59,Pretty Woman,1990,Garry Marshall,298
60,Animal House,1978,John Landis,299
61,Roman Holiday,1953,William Wyler,300
62,The Rocky Horror Picture Show,1975,Jim Sharman,301
63,Jerry Maguire,1996,Cameron Crowe,304
64,Trouble in Paradise,1932,Ernst Lubitsch,305
65,Mr. Hulot's Holiday,1953,Jacques Tati,311
66,The Discreet Charm of the Bourgeoisie,1972,Luis Bu?uel,312
67,Being John Malkovich,1999,Spike Jonze,319
68,Clerks.,1994,Kevin Smith,322
69,Terms of Endearment,1983,James L. Brooks,330
70,The Ladykillers,1955,Alexander Mackendrick,333
71,A Fish Called Wanda,1988,Charles Crichton,334
72,Bull Durham,1988,Ron Shelton,344
73,The Breakfast Club,1985,John Hughes,346
74,Hannah and Her Sisters,1986,Woody Allen,354
75,Adam's Rib,1949,George Cukor,358
76,Evil Dead II,1987,Sam Raimi,359
77,Amarcord,1973,Federico Fellini,365
78,The Full Monty,1997,Peter Cattaneo,366
79,Who Framed Roger Rabbit,1988,Robert Zemeckis,367
80,The Great Dictator,1940,Charles Chaplin,369
81,Babe,1995,Chris Noonan,372
82,Finding Nemo,2003,Andrew Stanton,374
83,The Lady Vanishes,1938,Alfred Hitchcock,376
84,Playtime,1967,Jacques Tati,378
85,The Band Wagon,1953,Vincente Minnelli,381
86,Secrets & Lies,1996,Mike Leigh,389
87,Swing Time,1936,George Stevens,392
88,42nd Street,1933,Lloyd Bacon,393
89,Shaun of the Dead,2004,Edgar Wright,394
90,Austin Powers: International Man of Mystery,1997,Jay Roach,401
91,The Thin Man,1934,W.S. Van Dyke,409
92,Breaking Away,1979,Peter Yates,413
93,Day for Night,1973,Fran?ois Truffaut,414
94,There's Something about Mary,1998,Bobby and Peter Farrelly,420
95,Fast Times at Ridgemont High,1982,Amy Heckerling,424
96,L'?ge d'or,1930,Luis Bu?uel,428
97,The Bank Dick,1940,Edward F. Cline,429
98,Dazed and Confused,1993,Richard Linklater,433
99,Tom Jones,1963,Tony Richardson,435
100,The Palm Beach Story,1942,Preston Sturges,437
