Animal,Title,Class,Phylum
,,,
African Grey Parrot,If You Were a Parrot,Bird,Chordata-vertebrata
Alligator,ABC Safari,Reptile,Chordata-vertebrata
American Oyster Catcher,Turtle Summer,Bird,Chordata-vertebrata
Antelopes,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Asian Short-Clawed Otter,River Beds,,
Bald Eagle,Whistling Wings,,
Bandicoot,Kersplatypus,Mammal-Land,Chordata-vertebrata
Bat,"Rainforest Grew All Around, The?",Mammal-Land,Chordata-vertebrata
Beaver,ABC Safari,Mammal-Land,Chordata-vertebrata
Beaver,River Beds,,
Beluga Whale,In Arctic Waters,Mammal-Marine,Chordata-vertebrata
Beluga Whale,Water Beds: Sleeping in the Ocean,Mammal-Marine,Chordata-vertebrata
Birds,Animals are Sleeping,Bird,Chordata-vertebrata
Black Bear,Blackberry Banquet,,
Black bears,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Black Skimmers,Turtle Summer,Bird,Chordata-vertebrata
Blue and Gold Macaw,If You Were a Parrot,Bird,Chordata-vertebrata
Blue Crab,"Day in the Salt Marsh, A?",Crustacean,Arthropod
Blue Whale,Happy Birthday to Whooo?,Mammal-Marine,Chordata-vertebrata
Bluebird,Blackberry Banquet,,
Blue-tongued Skink,Kersplatypus,Mammal-Land,Chordata-vertebrata
Bobcat,Burro's Tortillas,Mammal-Land,Chordata-vertebrata
Boto Dolphin,River Beds,,
Bottlenose Dolphin,"Day in the Salt Marsh, A?",Mammal-Marine,Chordata-vertebrata
Bottlenose Dolphin,If a Dolphin Were a Fish,Mammal-Marine,Chordata-vertebrata
Brewer’s Blackbird,The Best Nest,Bird,Chordata-vertebrata
Brushtail Possum,Kersplatypus,Mammal-Land,Chordata-vertebrata
Burro,Burro's Tortillas,Mammal-Land,Chordata-vertebrata
Camel,Happy Birthday to Whooo?,Mammal-Land,Chordata-vertebrata
Capybara,River Beds,,
Cardinal,Christmas Eve Blizzard,Bird,Chordata-vertebrata
Cat,Saturn for My Birthday,,
Cheetah,ABC Safari,Mammal-Land,Chordata-vertebrata
Chick,Animals are Sleeping,Bird,Chordata-vertebrata
Clam,Turtle Summer,Bi-valve,Mollusk
Clown Fish,Octavia and Her Purple Ink Cloud,Fish-bony,Chordata-vertebrata
Clownfish,Animals are Sleeping,Fish-bony,Chordata-vertebrata
Common grackle,The Best Nest,Bird,Chordata-vertebrata
Cormorant,Ocean Seasons,Bird,Chordata-vertebrata
Cottontail Rabbit,Little Skink's Tail?,Mammal-Land,Chordata-vertebrata
Coyote,Burro's Tortillas,Mammal-Land,Chordata-vertebrata
Crab,Ocean Seasons,Crustacean,Arthropod
Crocodile,Giraffe Who Was Afraid of Heights,Reptile,Chordata-vertebrata
Crow,Little Skink's Tail?,Bird,Chordata-vertebrata
Deer,In My Backyard,Mammal-Land,Chordata-vertebrata
Deer,Pieces of Another World,Mammal-Land,Chordata-vertebrata
Deer,Blackberry Banquet,,
Diamondback Terrapin,"Day in the Salt Marsh, A?",Reptile,Chordata-vertebrata
Dog,One Odd Day,Mammal-Land,Chordata-vertebrata
Dog,Saturn for My Birthday,,
Dog - Springer Spaniel,Loon Chase,Mammal-Land,Chordata-vertebrata
Dolphin,ABC Safari,Mammal-Marine,Chordata-vertebrata
Dolphin,Water Beds: Sleeping in the Ocean,Mammal-Marine,Chordata-vertebrata
Dolphin,"Day in the Salt Marsh, A?",Mammal-Marine,Chordata-vertebrata
Dolphin or Mahi Mahi,If a Dolphin Were a Fish,Fish-bony,Chordata-vertebrata
Eagle,Happy Birthday to Whooo?,Bird,Chordata-vertebrata
Elephant,ABC Safari,Mammal-Land,Chordata-vertebrata
Elephant,Happy Birthday to Whooo?,Mammal-Land,Chordata-vertebrata
Elephant,Animals are Sleeping,Mammal-Land,Chordata-vertebrata
Elephant Seal,Water Beds: Sleeping in the Ocean,Mammal-Marine,Chordata-vertebrata
Elephants,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Emerald Tree Boa,"Rainforest Grew All Around, The?",Reptile,Chordata-vertebrata
Fiddler Crab,"Day in the Salt Marsh, A?",Crustacean,Arthropod
Firefly,Tudley Didn't Know,Insect,Arthropod
Flamingo,Happy Birthday to Whooo?,Bird,Chordata-vertebrata
Flamingo,Animals are Sleeping,Bird,Chordata-vertebrata
Flamingos,Twas the Day Before Zoo Day,Bird,Chordata-vertebrata
Flounder,"Day in the Salt Marsh, A?",Fish-bony,Chordata-vertebrata
Flounder,Octavia and Her Purple Ink Cloud,Fish-bony,Chordata-vertebrata
Fox,In My Backyard,Mammal-Land,Chordata-vertebrata
Fox,Pieces of Another World,Mammal-Land,Chordata-vertebrata
Fox,Blackberry Banquet,,
Frog,ABC Safari,Amphibian,Chordata-vertebrata
Geckos,Twas the Day Before Zoo Day,Reptile,Chordata-vertebrata
Giraffe,Giraffe Who Was Afraid of Heights,Mammal-Land,Chordata-vertebrata
Giraffe,Happy Birthday to Whooo?,Mammal-Land,Chordata-vertebrata
Giraffe,Animals are Sleeping,Mammal-Land,Chordata-vertebrata
Giraffes,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Goldfish,Water Beds: Sleeping in the Ocean,Fish-bony,Chordata-vertebrata
Gorilla,ABC Safari,Mammal-Land,Chordata-vertebrata
Gorillas,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Grasshopper,In My Backyard,Insect,Arthropod
Great Blue Heron,"Day in the Salt Marsh, A?",Bird,Chordata-vertebrata
Great Blue Heron,Henry the Impatient Heron?,Bird,Chordata-vertebrata
Great Horned Owl,Baby Owl's Rescue,Bird,Chordata-vertebrata
Great Horned Owl,Happy Birthday to Whooo?,Bird,Chordata-vertebrata
Green Sea Turtle,Octavia and Her Purple Ink Cloud,Reptile,Chordata-vertebrata
Groundhog,Animals are Sleeping,Mammal-Land,Chordata-vertebrata
Harbor Seal,Ocean Seasons,Mammal-Marine,Chordata-vertebrata
Harbor Seal,Water Beds,Mammal-Marine,Chordata-vertebrata
Hippopotamus,ABC Safari,Mammal-Land,Chordata-vertebrata
Hippopotamus,Giraffe Who Was Afraid,Mammal-Land,Chordata-vertebrata
Hippopotamus,River Beds,,
Horseshoe Crab,Day in the Salt Marsh?,Merostomata,Arthropod
Human Child,Animals are Sleeping,Mammal-Land,Chordata-vertebrata
Hummingbird,Tudley Didn't Know,Bird,Chordata-vertebrata
Humpback Whale,Ocean Seasons,Mammal-Marine,Chordata-vertebrata
Humpback Whale,Water Beds,Mammal-Marine,Chordata-vertebrata
Iguana,ABC Safari,Reptile,Chordata-vertebrata
Indus River Dolphin,River Beds,,
Jack Knife Clam,Turtle Summer,Bi-valve,Mollusk
Jackrabbit,ABC Safari,Mammal-Land,Chordata-vertebrata
Jackrabbit,Burro's Tortillas,Mammal-Land,Chordata-vertebrata
Jaguar,Rainforest Grew All Around,Mammal-Land,Chordata-vertebrata
Kangaroo,Happy Birthday to Whooo?,Mammal-Land,Chordata-vertebrata
Katydid,Tudley Didn't Know,Insect,Arthropod
Killdeer,The Best Nest,Bird,Chordata-vertebrata
Knobbed Whelk,Turtle Summer,Uni-valve,Mollusk
Koala,ABC Safari,Mammal-Land,Chordata-vertebrata
Koala,Animals are Sleeping,Mammal-Land,Chordata-vertebrata
Kookaburra,Kersplatypus,Mammal-Land,Chordata-vertebrata
Leafcutter Ant,Rainforest Grew All Around,Insect,Arthropod
Leopard,Happy Birthday to Whooo?,Mammal-Land,Chordata-vertebrata
Leopard Frog,Tudley Didn't Know,Amphibian,Chordata-vertebrata
Lion,ABC Safari,Mammal-Land,Chordata-vertebrata
Lion,Happy Birthday to Whooo?,Mammal-Land,Chordata-vertebrata
