Empedocles,c.B.C. - c.430 B.C.,"Came up with four kinds of matter: air, earth, fire, water"
Johann Gutenberg,c.1397-c.1468,printing press
Georg Bauer (Agricola),1494-1555,mining and metallurgy book
Andreas Vesalius,1514-1603,Anatomist
William Gilbert,1540/4-1603,electricity and magnetism
Henri Poincare,1854-1912,
Arrhenius,,
Marie and Pierre Curie,,Shared 1903 Nobel prize
Laplace,,
Legendre,,
Edmund Halley,1656-1742,At 22 years old one of the most renowned astronomers
Jean Le Rond d?Alembert,11/1717-1783,French mathematician and philosopher. Figured out the precession of equinoxes
Marcello Malpighi,1628-1694,used the microscope to view capillaries and glands
Daniel Bernoulli,1700-1782,Bernoulli?s principle
Henry Cavendish,1731-1810,Measured Newton?s gravitational constant
Charles Augustin de Coulomb,1736-1806,elasticity
Joseph-Louis Lagrange,1736-1813,prof. of geometry at an artillery academy when he was 18. Analytic al mechanics
James Watt,1736-1819,steam engine
Claude Louis Berthollet,1748-1822,
Antoine Francois de Fourcroy,1755-1809,
James Smithson,1765-1829,English Chemist and mineralogist. Founded the Smithsonian Institution
Joseph Fourier,1768-1830,heat diffusion
Jean-Baptiste Biot,1774-1862,light polarization
Amadeo Avogadro,1776-1856,Avogadro?s number
David Brewster,1781-1868,Brewster?s Law of light
Augustin-Jean Fresnel,1788-1827,transverse nature of light
Georg Ohm,1789-1854,Ohm?s Law V = IR
Felix Savart,1791-1841,electromagnetism
Gabriel Lame,1795-1870,mathematical Lame?s functions
Sadi Carnot,1796-1832,thermodynamics
Joseph Henry,1797-1878,electromagnetics
Christian Doppler,1803-1853,sound waves
Wilhelm E. Weber,1804-1891,sensitive magnetometers
William Hamilton,1805-1865,Hamiltonian classical mechanics
Johann von Lamont,1805-1879,astronomer and magnetician
Karl Weierstrass,1815-1897,
Armand-Hippolyte-Louis Fizeau,1819-1896,First measured the speed of list
Jean-Bernard-Leon Foucault,1819-1868,accurately measured the speed of light
Hermann von Helmholtz,1821-1894,First Law of Thermodynamics: energy is conserved
Rudolf Clausius,1822-1888,Second Law of Thermo. entropy never decreases
Joseph Leidy,1823-1891,anatomy
Gustav Lirchhoff,1824-1887,Three laws of spectral analysis
Johann Balmer,1825-1898,Hydrogen spectrum
Bayer,,chemist
Enrico Fermi,1901-1954,atomic physics
Navier,,fluid dynamics
Lamarck,,Lamarckian example: giraffes constantly stretching their necks caused offspring to have longer necks
Sir Edward Frankland,1825-1899,"chemist, valence theory"
Percy Faraday Frankland,1858-1946,son of Edward
William Suddards Franklin,1863-1930,
Emile-Michel-Hyacinthe Lemoine,1840-1912,mathematician and engineer. Also a musician
