Fell Name,Height (m)??,Height (Ft)??,Appears In
Scafell Pike,978,3209,The Southern Fells
Scafell,964,3163,The Southern Fells
Helvellyn,950,3117,The Eastern Fells
Skiddaw,931,3054,The Northern Fells
Great End,910,2986,The Southern Fells
Bowfell,902,2959,The Southern Fells
Great Gable,899,2949,The Western Fells
Pillar,892,2927,The Western Fells
Nethermost Pike,891,2923,The Eastern Fells
Catstye Cam,890,2920,The Eastern Fells
Esk Pike,885,2904,The Southern Fells
Raise,883,2897,The Eastern Fells
Fairfield,873,2864,The Eastern Fells
Blencathra - Hallsfell Top,868,2848,The Northern Fells
Skiddaw Little Man,865,2838,The Northern Fells
White Side,863,2831,The Eastern Fells
Crinkle Crags - Long Top,859,2818,The Southern Fells
Dollywaggon Pike,858,2815,The Eastern Fells
Great Dodd,857,2812,The Eastern Fells
Grasmoor,852,2795,The North Western Fells
Stybarrow Dodd,843,2766,The Eastern Fells
St Sunday Crag,841,2759,The Eastern Fells
Scoat Fell,841,2759,The Western Fells
Crag Hill [Eel Crag],839,2753,The North Western Fells
High Street,828,2717,The Far Eastern Fells
Red Pike (Wasdale),826,2710,The Western Fells
Hart Crag,822,2697,The Eastern Fells
Steeple,819,2687,The Western Fells
Lingmell,807,2648,The Southern Fells
High Stile,806,2644,The Western Fells
The Old Man of Coniston,803,2635,The Southern Fells
High Raise (High Street),802,2631,The Far Eastern Fells
Swirl How,802,2631,The Southern Fells
Kirk Fell,802,2631,The Western Fells
Green Gable,801,2628,The Western Fells
Haycock,797,2615,The Western Fells
Brim Fell,796,2612,The Southern Fells
Dove Crag,792,2598,The Eastern Fells
Rampsgill Head,792,2598,The Far Eastern Fells
Grisedale Pike,791,2595,The North Western Fells
Watson's Dodd,789,2589,The Eastern Fells
Allen Crags,785,2575,The Southern Fells
Great Carrs,785,2575,The Southern Fells
Thornthwaite Crag,784,2572,The Far Eastern Fells
Glaramara,783,2569,The Southern Fells
Kidsty Pike,780,2559,The Far Eastern Fells
Harter Fell (Mardale),778,2552,The Far Eastern Fells
Dow Crag,778,2552,The Southern Fells
Red Screes,776,2546,The Eastern Fells
Sail,773,2536,The North Western Fells
Grey Friar,773,2536,The Southern Fells
Wandope,772,2533,The North Western Fells
Hopegill Head,770,2526,The North Western Fells
Great Rigg,766,2513,The Eastern Fells
Stony Cove Pike [Caudale Moor],763,2503,The Far Eastern Fells
Wetherlam,763,2503,The Southern Fells
High Raise,762,2500,The Central Fells
Slight Side,762,2500,The Southern Fells
Mardale Ill Bell,760,2493,The Far Eastern Fells
Ill Bell,757,2484,The Far Eastern Fells
