S. No.,Name of the Peaks,Altitude in Meter,Himal,Zone
01,Ama Dablam,6812,Khumbu,Sagrmatha
02,Annapurna I,8091,Annapurna,Gandaki
03,Annapurna II,7937,Anapurrna,Gandaki
04,Annapurna III,7555,Anapurrna,Gandaki
05,Annapurna IV,7525,Anapurrna,Gandaki
06,Annapurna,7219,Anapurrna,Gandaki South
07,Api,7132,Gurans,Mahakali
08,Api West,7100,Byas-Rikhi,Darchula
09,Barun Tse,7129,Barun,Koshi
10,Baudha,6672,Mansiri,Gandaki
11,Chamlang,7319,Mahalangur,Sagarmatha Barun
12,Cheo Himal,6820,Peri,Gandaki
13,Chobuje,6685,Rolwaling,Janakpur
14,Cholatse,6440*,Khumbu,Sagarmatha
15,Cho-oyu,8201,Khumbu,Sagarmatha
16,Cho polu,6711,Mahalangur,Sagarmatha
17,Churen,7371,Dhaulagiri,Dhaulagiri
18,Chhukungri,5550*,Khumbu,Sagarmatha
19,Drahmo,6855,Kanchenjunga,Mechi
20,Dhampus,6012*,Mukut,Dhaulagiri
21,Dhaulagiri I,8167,Dhaulagiri,Dhaulagiri
22,Dhaulagiri II,7751,Dhaulagiri,Dhaulagiri
23,Dhaulagiri III,7715,Dhaulagiri,Dhaulagiri
24,Dhaulagiri IV,7661,Dhaulagiri,Dhaulagiri
25,Dhaulagiri V,7618,Dhaulagiri,Dhaulagiri
26,Dhaulagiri VI,7668,Dhaulagiri,Dhaulagiri
27,Drangnag Ri,6801,Rolwaling,Japakpur
28,Fimkof,6697,Saipal,Bajhang Humla
29,Fimkof West,6645,Saipal,Bajhang
30,Ganesh II,7111,Ganesh,Bagmati
31,Ganesh III,7110,Ganesh,Bagmati (Salasungo)
32,Ganesh IV,7052,Ganesh,Bagmati Pabil
33,Ganesh V,6986,Ganesh,Bagmati
34,Gangapurna,7455,Annapurna,Gandaki
35,Gauri Shanker,7134,Rolwaling,Janakpur
36,Gimigela Chuli,7350,Kanchenjunga,Mechi
37,Gyajikang,7038,Nemjung/Peri Himlal,Gandaki
38,Gokyori,5450*,Khumbu,Sagarmatha
39,Himalchuli E,7893,Mansiri,Gandaki
40,Himalchuli N,7371,Mansiri,Gandaki
41,Himachuli West,7540,Mansiri,Gandaki
42,Himlung Himal,7126,Peri,Gandaki
43,Hongde,6556,Mukut,Karnali
44,Jagdula Peak,5764,Jagdula,Karnali
45,Kumbhakarna (Jannu),7710,Kanchenjunga,Mechi
46,Kangbachen,7903,Kanchenjunga,Mechi
47,Kagmara,5960*,Kanjiroba,Karnali
48,Kande Hiuchuli,6627,Patrasi,Karnali
