Year,Game,Genre,Platform(s),Developer(s)
2010,Red Dead Redemption,Open World: (Third-Person) Shooter,"PlayStation 3, Xbox 360",Rockstar San Diego
2009,Uncharted 2: Among Thieves,"Action-adventure, Third-person shooter",PlayStation 3,Naughty Dog
2008,Grand Theft Auto IV,"Open World, Action","Windows, PlayStation 3, Xbox 360",Rockstar North
2007,BioShock,Shooter,"Windows , Xbox 360, Mac OS X, PlayStation 3",2K Boston/2K Australia
2006,The Legend of Zelda: Twilight Princess,Action-adventure,"Wii, Nintendo GameCube",Nintendo
2005,Resident Evil 4,Survival Horror: (Third-Person) Shooter,"GameCube, PlayStation 2, Windows, Wii",Capcom
2004,Halo 2,Shooter,"Xbox, Windows,",Bungie
2003,Prince of Persia: Sands of Time,Action-adventure,"Xbox, GameCube, PlayStation 2, Windows",Ubisoft Montreal
2002,Metroid Prime,Action-adventure,Nintendo GameCube,Nintendo
2001,Halo Combat Evolved,Shooter,"Xbox, Windows, Macintosh",Bungie
2000,Tony Hawk's Pro Skater 2,Sports,"PC, Nintendo 64, PlayStation, Dreamcast",Activision
1999,Soul Calibur,Fighting,Sega Dreamcast,Namco
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo 64,Nintendo
1997,Goldeneye 007,Shooter,Nintendo 64,Rare
1996,Super Mario 64,Action-platformer,Nintendo 64,Nintendo
1995,Twisted Metal,Action-driving game,PlayStation,SingleTrac
1994,Donkey Kong Country,Action-platformer,Super Nintendo,Rare
1993,Samurai Shodown,Fighting,Neo-Geo MVS,SNK
1992,Street Fighter II,Fighting,Super Nintendo,Capcom
1991,Sonic the Hedgehog,Action-platformer,Sega Genesis,Sega
1990,Strider,Action-adventure,Sega Genesis,Capcom
1989,Ghouls 'n Ghosts,Action-adventure,Sega Genesis,Capcom
