Common Name,Scientific Name,Season
JEFFERSON SALAMANDER,Ambystoma jeffersonianum,all
SPOTTED SALAMANDER,Ambystoma maculatum,all
MARBLED SALAMANDER,Ambystoma opacum,all
MOLE SALAMANDER,Ambystoma talpoideum,all
SMALLMOUTH SALAMANDER,Ambystoma texanum,all
TIGER SALAMANDER,Ambystoma tigrinum,all
STREAMSIDE SALAMANDER,Ambystoma barbouri,all
THREE-TOED AMPHIUMA,Amphiuma tridactylum,all
HELLBENDER,Cryptobranchus alleganiensis,all
GREEN SALAMANDER,Aneides aeneus,all
DUSKY SALAMANDER,Desmognathus fuscus,all
SEAL SALAMANDER,Desmognathus monticola,all
ALLEGHENY MOUNTAIN DUSKY SALAMANDER,Desmognathus ochrophaeus,all
BLACK MOUNTAIN SALAMANDER,Desmognathus welteri,all
LONGTAIL SALAMANDER,Eurycea longicauda,all
CAVE SALAMANDER,Eurycea lucifuga,all
SOUTHERN TWO-LINED SALAMANDER,Eurycea cirrigera,all
THREE-LINED SALAMANDER,Eurycea guttolineata,all
SPRING SALAMANDER,Gyrinophilus porphyriticus,all
FOUR-TOED SALAMANDER,Hemidactylium scutatum,all
REDBACK SALAMANDER,Plethodon cinereus,all
NORTHERN ZIGZAG SALAMANDER,Plethodon dorsalis,all
SLIMY SALAMANDER,Plethodon glutinosus,all
MISSISSIPPI SLIMY SALAMANDER,Plethodon mississippi,all
RAVINE SALAMANDER,Plethodon richmondi,all
WEHRLE'S SALAMANDER,Plethodon wehrlei,all
CUMBERLAND PLATEAU SALAMANDER,Plethodon kentucki,all
MUD SALAMANDER,Pseudotriton montanus,all
RED SALAMANDER,Pseudotriton ruber,all
MUDPUPPY,Necturus maculosus,all
EASTERN NEWT,Notophthalmus viridescens,all
LESSER SIREN,Siren intermedia,all
AMERICAN TOAD,Bufo americanus,all
WOODHOUSE'S TOAD,Bufo woodhousii,all
NORTHERN CRICKET FROG,Acris crepitans,all
BIRD-VOICED TREEFROG,Hyla avivoca,all
COPE'S GRAY TREEFROG,Hyla chrysoscelis,all
GREEN TREEFROG,Hyla cinerea,all
BARKING TREEFROG,Hyla gratiosa,all
GRAY TREEFROG,Hyla versicolor,all
MOUNTAIN CHORUS FROG,Pseudacris brachyphona,all
UPLAND CHORUS FROG,Pseudacris feriarum,all
SPRING PEEPER,Pseudacris crucifer,all
EASTERN NARROWMOUTH TOAD,Gastrophryne carolinensis,all
EASTERN SPADEFOOT,Scaphiopus holbrookii,all
CRAWFISH FROG,Rana areolata,all
BULLFROG,Rana catesbeiana,all
GREEN FROG,Rana clamitans,all
PICKEREL FROG,Rana palustris,all
NORTHERN LEOPARD FROG,Rana pipiens,all
WOOD FROG,Rana sylvatica,all
SOUTHERN LEOPARD FROG,Rana sphenocephala,all
COMMON LOON,Gavia immer,w
PIED-BILLED GREBE,Podilymbus podiceps,b
PIED-BILLED GREBE,Podilymbus podiceps,w
HORNED GREBE,Podiceps auritus,w
DOUBLE-CRESTED CORMORANT,Phalacrocorax auritus,w
LEAST BITTERN,Ixobrychus exilis,b
GREAT BLUE HERON,Ardea herodias,b
GREAT BLUE HERON,Ardea herodias,w
GREAT EGRET,Ardea alba,b
LITTLE BLUE HERON,Egretta caerulea,b
CATTLE EGRET,Bubulcus ibis,w
CATTLE EGRET,Bubulcus ibis,b
GREEN HERON,Butorides virescens,b
BLACK-CROWNED NIGHT-HERON,Nycticorax nycticorax,b
YELLOW-CROWNED NIGHT-HERON,Nyctanassa violacea,b
TUNDRA SWAN,Cygnus columbianus,w
GREATER WHITE-FRONTED GOOSE,Anser albifrons,w
SNOW GOOSE,Chen caerulescens,w
CANADA GOOSE,Branta canadensis,b
CANADA GOOSE,Branta canadensis,w
WOOD DUCK,Aix sponsa,b
WOOD DUCK,Aix sponsa,w
GREEN-WINGED TEAL,Anas crecca,w
AMERICAN BLACK DUCK,Anas rubripes,w
MALLARD,Anas platyrhynchos,b
MALLARD,Anas platyrhynchos,w
NORTHERN PINTAIL,Anas acuta,w
BLUE-WINGED TEAL,Anas discors,b
NORTHERN SHOVELER,Anas clypeata,b
GADWALL,Anas strepera,w
AMERICAN WIGEON,Anas americana,w
CANVASBACK,Aythya valisineria,w
REDHEAD,Aythya americana,w
RING-NECKED DUCK,Aythya collaris,w
GREATER SCAUP,Aythya marila,w
LESSER SCAUP,Aythya affinis,w
OLDSQUAW,Clangula hyemalis,w
WHITE-WINGED SCOTER,Melanitta fusca,w
COMMON GOLDENEYE,Bucephala clangula,w
BUFFLEHEAD,Bucephala albeola,w
HOODED MERGANSER,Lophodytes cucullatus,b
HOODED MERGANSER,Lophodytes cucullatus,w
COMMON MERGANSER,Mergus merganser,w
RED-BREASTED MERGANSER,Mergus serrator,w
RUDDY DUCK,Oxyura jamaicensis,w
BLACK VULTURE,Coragyps atratus,w
BLACK VULTURE,Coragyps atratus,b
TURKEY VULTURE,Cathartes aura,b
TURKEY VULTURE,Cathartes aura,w
OSPREY,Pandion haliaetus,b
MISSISSIPPI KITE,Ictinia mississippiensis,b
BALD EAGLE,Haliaeetus leucocephalus,w
BALD EAGLE,Haliaeetus leucocephalus,b
NORTHERN HARRIER,Circus cyaneus,w
NORTHERN HARRIER,Circus cyaneus,b
SHARP-SHINNED HAWK,Accipiter striatus,b
SHARP-SHINNED HAWK,Accipiter striatus,w
