Everest,8.848,Nepal/Tibet,Asia
K-2,8.611,Pakistan,Asia
Kangchenjunga,8.586,Nepal/India,Asia
Lhotse,8.511,Nepal,Asia
Makalu,8.463,Nepal/Tibet,Asia
Cho Oyu,8.201,Nepal/Tibet,Asia
Dhaulagiri,8.167,Nepal,Asia
Manaslu,8.163,Nepal,Asia
Nanga Parbat,8.125,Pakistan,Asia
Annapurna,8.091,Nepal,Asia
Gasherbrum I,8.068,Pakistan,Asia
Broad Peak,8.047,Pakistan,Asia
Gasherbrum II,8.035,Pakistan,Asia
Xixabangma Feng (Gosainthan),8.012,China/Nepal,Asia
Distaghil Sar,7.885,Pakistan,Asia
Kunyang Chhist,7.852,Pakistan,Asia
Masherbrum,7.820,Pakistan,Asia
Nanda Devi,7.816,India,Asia
Aling Kangri,7.815,Tibet,Asia
Rakaposhi,7.788,Pakistan,Asia
Batura,7.785,Pakistan,Asia
Namjagbarwa Feng,7.756,Tibet,Asia
Kamet,7.756,India,Asia
Kamet,7.756,Tibet/India,Asia
Muztagh Ata,7.546,China,Asia
Saltoro Kangri,7.742,Pakistan,Asia
Muztag,7.723,China,Asia
Trivor,7.720,Pakistan,Asia
Konkur,7.719,China,Asia
Tirich Mir,7.690,Pakistan,Asia
Chogolisa,7.654,Pakistan,Asia
Shispar,7.619,Pakistan,Asia
Gongga (Minya Konka),7.555,China,Asia
Kula Kangri,7.553,Bhutan,Asia
Muztaghata,7.546,China,Asia
Qullai Ismaili Somoni/ Qullai Kommunizma,7.495,Tajikistan,Asia
Nowshak,7.485,Afghanistan,Asia
Jengish Chokusu/ Pik Pobeda,7.439,China/Kyrgyzstan,Asia
Haramosh,7.406,Pakistan,Asia
Ultar,7.398,Pakistan,Asia
Chomo Lhari,7.313,Bhutan/Tibet,Asia
Malubiting,7.291,Pakistan,Asia
Ogre (Baintha Brak),7.285,Pakistan,Asia
Minipin,7.273,Pakistan,Asia
Langtang Lirung,7.245,Nepal,Asia
Ganesh Himal,7.150,Nepal,Asia
Kampire Dior,7.142,Pakistan,Asia
Nun Kun,7.135,India,Asia
Pik Lenina,7.134,Tajikistan,Asia
Baruntse,7.129,Tibet,Asia
Pik Korzhenevskoj,7.105,Tajikistan,Asia
Jugal Himal,7.083,Nepal,Asia
Urgend II,7.060,Afghanistan,Asia
Kinjiroba,7.045,Nepal,Asia
Khan Tengri,6.995,Kyrgyzstan,Asia
Langtang Himal (Kyungka Ri),6.979,Nepal,Asia
Aconcagua,6.962,Argentina,South America
Yamit,6.940,Afghanistan,Asia
Ojos del Salado,6.880,Chile,South America
Koyo Zom,6.872,Pakistan,Asia
Bonete,6.872,Argentina,South America
Ama Dablam,6.856,Nepal,Asia
Tirgaran,6.843,Afghanistan,Asia
Mercedario,6.770,Argentina/Chile,South America
Huascaran,6.768,Peru,South America
Tirgaran,6.755,Afghanistan,Asia
Llullaillaco,6.723,Argentina/Chile,South America
El Libertador,6.720,Argentina,South America
Mt Kailash,6.714,Tibet,Asia
Ghul Laast,6.665,Pakistan,Asia
Jaonli,6.632,India,Asia
Koheandaras,6.628,Afghanistan,Asia
Yerupaja,6.617,Peru,South America
Gangotri - I,6.600,India,Asia
Bremeh,6.575,India,Asia
Tupungato,6.550,Argentina/Chile,South America
Sajama,6.542,Bolivia,South America
Lasht,6.504,Afghanistan,Asia
Illimani,6.439,Bolivia,South America
East Ridge of Hiunchuli,6.441,Nepal,Asia
Ancohuma,6.427,Bolivia,South America
Coropuna,6.400,Peru,South America
Huantsan,6.395,Peru,South America
Huandoy,6.395,Peru,South America
El Toro,6.380,Argentina/Chile,South America
Ausangate,6.372,Peru,South America
Illampu,6.362,Bolivia,South America
Ampato,6.360,Peru,South America
Cerro Palermo,6.350,Argentina,South America
Las Tortolas,6.332,Argentina/Chile,South America
Parinacota,6.330,Bolivia,South America
Chimborazo,6.310,Ecuador,South America
Chinchey (Rurichichay),6.309,Peru,South America
Juncal,6.300,Chile/Argentina,South America
Marmolejo,6.300,Chile/Argentina,South America
General Belgrano,6.300,Argentina,South America
Anyemaqen,6.282,China,Asia
Salcantay,6.271,Peru,South America
Olivares,6.252,Argentina/Chile,South America
Sigunaiang,6.250,China,Asia
Pomerape,6.240,Bolivia,South America
Chani,6.200,Argentina,South America
Aucanquilcha,6.200,Bolivia/Chile,South America
Huayna Potosi,6.194,Bolivia,South America
McKinley,6.194,Alaska,North America
Callaqui,6.164,Argentina/Chile,South America
Ranrapallca,6.162,Peru,South America
Stok Kangri,6.137,India,Asia
Queva,6.130,Argentina,South America
Chearoco,6.127,Bolivia,South America
Quemado,6.120,Argentina,South America
Chaupi Orco,6.100,Peru,South America
Chachacumani,6.094,Bolivia,South America
Solimani,6.093,Peru,South America
Copiapo,6.080,Argentina/Chile,South America
Pumasillo,6.070,Peru,South America
Guallatiri,6.060,Bolivia,South America
Chachani,6.057,Peru,South America
Acotango,6.050,Bolivia,South America
Cienaga,6.030,Argentina,South America
Nevado Acay,6.000,Argentina,South America
Tacora,5.988,Bolivia,South America
Sairecabur,5.971,Chile,South America
Kilimanjaro,5.895,Tanzania,Africa
Logan,5.951,Canada,North America
AlpaMayo,5.947,Peru,South America
Licancabur,5.921,Bolivia/Chile,South America
Ticlla,5.897,Peru,South America
Cotopaxi,5.896,Ecuador,South America
Hkakabo Razi,5.881,Burma,Asia
Mururata,5.868,Bolivia,South America
Volcan San Jose,5.850,Chile/Argentina,South America
Cayambe,5.840,Ecuador,South America
El Misti,5.822,Peru,South America
Champara,5.795,Peru,South America
Simon Bolivar,5.776,Colombia,South America
Cristobal Colon,5.776,Colombia,South America
Citlaltepetl (el Pico de Orizaba),5.754,Mexico,North America
Antisana,5.753,Ecuador,South America
Huaycay Huilque,5.750,Peru,South America
Gigante Grande,5.748,Bolivia,South America
Urusa,5.735,Peru,South America
Tunshu,5.730,Peru,South America
Cashan,5.723,Peru,South America
Cayesh,5.721,Peru,South America
Santa Rosa,5.706,Peru,South America
Murrorajo,5.688,Peru,South America
Machu Sochi Conchi,5.679,Bolivia,South America
Lascar,5.675,Chile,South America
Damavand,5.671,Iran,Asia
Raujunte,5.650,Peru,South America
Condoriri,5.648,Bolivia,South America
Elbrus,5.633,Russia,Europe
Soral Oeste,5.640,Bolivia,South America
Katantica,5.592,Bolivia,South America
Jallacata,5.557,Peru,South America
Surihuiri,5.556,Peru,South America
Yankho Huyo,5.512,Bolivia,South America
Ritacuba Blanco,5.493,Colombia,South America
Mt St Elias,5.490,Canada,North America
Castillo,5.485,Argentina/Chile,South America
Yana Cuchilla,5.472,Peru,South America
El Altar (Obispo),5.465,Ecuador,South America
Chinchina,5.463,Peru,South America
Popocatepetl,5.452,Mexico,North America
Cerro El Plomo,5.450,Chile,South America
Cerro Burro,5.450,Peru,South America
Bogda Shan,5.447,China,Asia
Cunurana,5.420,Peru,South America
Pico Mayor,5.365,Colombia,South America
Aricoma,5.350,Peru,South America
Nevado El Ruiz,5.335,Colombia,South America
Iliniza Sur,5.305,Ecuador,South America
Foraker,5.303,Alaska,North America
Cerro Quenamari,5.294,Peru,South America
Volcan Maipo,5.290,Argentina/Chile,South America
Ixaccihuatl,5.286,Mexico,North America
San Julian,5.275,Peru,South America
Sangay,5.230,Ecuador,South America
Lucania,5.228,Canada,North America
El Altar,5.222,Chile,South America
Tolima,5.215,Colombia,South America
Rustaveli,5.201,Georgia,Europe
Batian Peak (Mt Kenya),5.201,Kenya,Africa
San Francisco,5.200,Chile,South America
Morado,5.200,Chile,South America
Kirinyaga,5.200,Kenya,Africa
Dykh-Tau,5.198,Georgia,Europe
Nelion,5.190,Kenya,Africa
Sosneado,5.189,Argentina/Chile,South America
Mt Ararat (Buyukagri Dagi),5.165,Turkey,Asia
Shah Fuladi,5.143,Afganistan,Asia
Vinson Massif,5.140,Antarctica,The Poles
Margherita Peak,5.119,Zaire/Uganda,Africa
Iliniza Norte,5.116,Ecuador,South America
Stanley,5.110,Uganda/Zaire,Africa
Cerro Negro,5.100,Chile,South America
Cerro Guane Guane,5.097,Chile,South America
Tungurahua,5.087,Ecuador,South America
Steele,5.074,Canada,North America
Kazbek,5.047,Georgia,Europe
Mt Blackburn,5.037,Alaska,North America
Puncak Jaya,5.030,Indonesia/ New Guinea,Oceania
Pico Bolivar,5.007,Venezuela,South America
Mt Bona,5.006,Alaska,North America
La Paloma,5.000,Chile,South America
Mt Sanford,4.941,Alaska,North America
Mt Speke,4.890,Zaire/Uganda,Africa
Naga Pulu,4.862,Indonesia,Oceania
Mt Baker,4.844,Zaire/Uganda,Africa
Mt Wood,4.843,Canada,North America
Alum Kuh,4.840,Iran,Asia
Sabalon Kuh,4.821,Iran,Asia
Monte Bianco,4.807,France/Italy,Europe
Mt Emin,4.792,Zaire/Uganda,Africa
Mt Vancouver,4.786,Canada,North America
Pico Espejoe,4.765,Venezuela,South America
Volcan de Purace,4.756,Colombia,South America
Trikora,4.751,Indonesia/ New Guinea,Asia
Klyuchevskaya,4.750,Russia,Europe
Shakhak,4.750,Iran,Asia
Mt Gessi,4.717,Zaire/Uganda,Africa
Khersan,4.710,Iran,Asia
Ushba,4.710,Georgia,Europe
Mandala,4.701,Indonesia/ New Guinea,Asia
Mt Fairweather,4.671,Canada/Alaska,North America
Teyotl,4.660,Mexico,North America
Ras Dashen,4.620,Ethiopia,Africa
Takht-e-Solaiman,4.659,Iran,Asia
Monte Rosa,4.634,Italy/Switzerland,Europe
Mt Savoia,4.627,Zaire/Uganda,Africa
Siah Sang,4.600,Iran,Asia
Marjinkesh,4.580,Iran,Asia
Meru,4.565,Tanzania,Africa
Nevado de Toluca,4.564,Mexico,North America
Mt Hubbard,4.558,Canada,North America
Zardeh,4.548,Iran,Asia
Dom,4.545,Switzerland/Italy,Europe
Haftkhan,4.537,Iran,Asia
Kirkpatrick,4.528,Antarctica,The Poles
Mt Bear,4.527,Canada,North America
Chaloun,4.516,Iran,Asia
Mt Wilhelm,4.510,Papua New Guinea,Oceania
Karisimbi,4.507,Rwanda/Zaire,Africa
Mt Belukha,4.506,Russia,Asia
Mt Walsh,4.506,Canada,North America
Weisshorn,4.505,Switzerland,Europe
Siah Kamaan,4.504,Iran,Asia
Rostamnisht,4.500,Iran,Asia
Siahgug,4.500,Iran,Asia
Cervino (Matterhorn),4.478,Italy/Switzerland,Europe
Waynobar,4.472,Ethiopia,Africa
Shanehkouh,4.465,Iran,Asia
Dena,4.450,Iran,Asia
La Malinche,4.461,Mexico,North America
Tliltepetl,4.453,Mexico,North America
Tzapotepetl,4.450,Mexico,North America
Hunter,4.445,Alaska,North America
Mikeno,4.437,Rwanda/Zaire,Africa
Buahit,4.437,Ethiopia,Africa
Suphan Dagi,4.434,Turkey,Europe
Mt Alverstone,4.421,Canada,North America
Hazar,4.420,Iran,Asia
Mt Whitney,4.421,California,North America
Abba Yared,4.416,Ethiopia,Africa
Kalahoo,4.412,Iran,Asia
Mt Elbert,4.399,Colorado,North America
Mt Massive,4.396,Colorado,North America
Mt Harvard,4.395,Colorado,North America
Mt Rainier,4.393,Washington,North America
Portal Peaks,4.391,Zaire/Uganda,Africa
Williamson,4.384,California,North America
Menareh,4.378,Iran,Asia
Kholeno,4.375,Iran,Asia
Azadkuh,4.375,Iran,Asia
Paloun Gardan,4.375,Iran,Asia
Mt Blanca,4.373,Colorado,North America
La Plata,4.370,Colorado,North America
Giluwe,4.368,Papua New Guinea,Oceania
Uncompahgre,4.362,Colorado,North America
Crestone Peak,4.357,Colorado,North America
Dente Blanche,4.357,Switzerland/Italy,Europe
Mt Lincoln,4.355,Colorado,North America
Mischigu,4.352,Ethiopia,Africa
Grays Peak,4.351,Colorado,North America
Lalezaar,4.351,Iran,Asia
Gardounkouh,4.350,Iran,Asia
Torreys Peak,4.350,Colorado,North America
Mt Antero,4.350,Colorado,North America
Nazer,4.350,Iran,Asia
Mt Evans,4.349,Colorado,North America
Castle Peak,4.349,Colorado,North America
Longs Peak,4.345,Colorado,North America
Mt Quandary,4.345,Colorado,North America
Mt Wilson,4.343,Colorado,North America
White Mountain,4.342,California,North America
North Palisade,4.341,California,North America
Mt Shavano,4.338,Colorado,North America
Mt Princeton,4.328,Colorado,North America
Polemonium Peak,4.328,California,North America
Starlight,4.328,California,North America
Nadelhorn,4.327,Switzerland/Italy,Europe
Crestone Needle,4.326,Colorado,North America
Borj,4.325,Iran,Asia
Elgon,4.321,Kenya/Uganda,Africa
Mt Bross,4.320,Colorado,North America
Dokhaharaan,4.318,Iran,Asia
El Diente,4.317,Colorado,North America
Mt Shasta,4.317,California,North America
Mt Tabequache,4.316,Colorado,North America
Mt Sill,4.314,California,North America
Sneffels,4.314,Colorado,North America
Grand Combin,4.314,Switzerland/Italy,Europe
Mt Democrat,4.311,Colorado,North America
Pikes Peak,4.302,Colorado,North America
Tres Hermans,4.300,Chile,South America
Cerro Arenas,4.300,Chile,South America
Kit Carson Peak,4.299,Colorado,North America
Snowmass Mountain,4.296,Colorado,North America
Windom,4.295,Colorado,North America
Mt Eolus,4.294,Colorado,North America
Lenspitze,4.294,Switzerland/Italy,Europe
Mt Russell,4.293,California,North America
Mt Humbolt,4.291,Colorado,North America
Mt Sunlight,4.286,Colorado,North America
Split Mountain,4.286,California,North America
Handies,4.283,Colorado,North America
Culebra Peak,4.282,Colorado,North America
Mt Lindsey,4.281,Colorado,North America
Mt Sherman,4.279,Colorado,North America
