Museum,City,State,
Albright-Knox Art Gallery,Buffalo,New York,
Allen Memorial Art Museum,Oberlin,Ohio,
Amon Carter Museum,Fort Worth,Texas,
Andy Warhol Museum,Pittsburgh,Pennsylvania,
Arkansas Arts Center,Little Rock,Arkansas,
Art Institute of Chicago,Chicago,Illinois,
Artpace,San Antonio,Texas,
Asia Society,New York,New York,
Baltimore Museum of Art,Baltimore,Maryland,
Barnes Foundation,Lower Merion Township,Pennsylvania,
Bass Museum,Miami Beach,Florida,
Birmingham Museum of Art,Birmingham,Alabama,
Blue Star Contemporary Art Center,San Antonio,Texas,
Boston Museum of Fine Arts,Boston,Massachusetts,
Bowdoin College Museum of Art,Brunswick,Maine,
Brandywine River Museum,Chadds Ford,Pennsylvania,
Brooklyn Museum,New York,New York,
California Palace of the Legion of Honor,San Francisco,California,
Carnegie Museum of Art,Pittsburgh,Pennsylvania,
Chrysler Museum of Art,Norfolk,Virginia,
Cincinnati Art Museum,Cincinnati,Ohio,
Clark Art Institute,Williamston,Massachusetts,
Columbia Museum of Art,Columbia,South Carolina,
Columbus Museum of Art,Columbus,Ohio,
Cooper-Hewitt Museum,New York,New York,
Corcoran Gallery of Art,"Washington, D.C.",D.C.,
Cranbrook Art Museum,Detroit,Michigan,
Currier Museum of Art,Manchester,New Hampshire,
Dahesh Museum,New York,New York,
Dallas Museum of Art,Dallas,Texas,
Delaware Art Museum,Wilmington,Delaware,
Denver Art Museum,Denver,Colorado,
Des Moines Art Center,Des Moines,Iowa,
Dixon Gallery and Gardens,Memphis,Tennessee,
Dumbarton Oaks,"Washington, D.C.",D.C.,
Farnsworth Art Museum,Rockland,Maine,
Fenimore Art Museum,Cooperstown,New York,
Frick Museum,New York,New York,
Frost Art Museum,Miami,Florida,
Gibbes Museum of Art,Charleston,South Carolina,
Grand Rapids Art Museum,Grand Rapids,Michigan,
Guggenheim Museum,New York,New York,
Harvard Art Museum,Cambridge,Massachusetts,
Henry Francis DuPont Winterthur Museum,Greenville,Delaware,
High Museum of Art,Atlanta,Georgia,
Hirshhorn Museum and Sculpture Garden,"Washington, D.C.",D.C.,
Hispanic Society of America,New York,New York,
Honolulu Academy of Arts,Honolulu,Hawaii,
Hood Museum of Art,Hanover,New Hampshire,
Hudson River Museum,Yonkers,New York,
Hyde Collection,Glens Falls,New York,
Indianapolis Museum of Art,Indianapolis,Indiana,
Isabella Stewart Gardner Museum,Boston,Massachusetts,
J. Paul Getty Museum,Los Angeles,California,
Jacques Marchais Museum of Tibetan Art,New York,New York,
Joslyn Art Museum,Omaha,Nebraska,
Kemper Museum of Contemporary Art,Kansas City,Missouri,
Kimbell Art Museum,Fort Worth,Texas,
Los Angeles County Museum of Art,Los Angeles,California,
Lowe Art Museum,Miami,Florida,
M. H. de Young Memorial Museum,San Francisco,California,
Massachusetts Museum of Contemporary Art,North Adams,Massachusetts,
McNay Art Museum,San Antonio,Texas,
Meadows Museum,Dallas,Texas,
Memphis Brooks Museum of Art,Memphis,Tennessee,
Menil Collection,Houston,Texas,
Metropolitan Museum of Art,New York,New York,
Miami Art Museum,Miami,Florida,
Michael C. Carlos Museum,Atlanta,Georgia,
Milwaukee Art Museum,Milwaukee,Wisconsin,
Minneapolis Institute of Arts,Minneapolis,Minnesota,
Mint Museum of Art,Charlotte,North Carolina,
Montgomery Museum of Fine Arts,Montgomery,Alabama,
Museum of Contemporary Art,Chicago,Illinois,
Museum of Contemporary Art,Miami,Florida,
Museum of Contemporary Art Jacksonville,Jacksonville Beach,Florida,
"Museum of Fine Arts, Houston",Houston,Texas,
Museum of Modern Art (MoMA),New York,New York,
Museum of the City of New York,New York,New York,
National Gallery of Art,Washington,D.C.,
National Museum of Wildlife Art,Jackson Hole,Wyoming,
National Museum of Women in the Arts,Washington,D.C.,
National Portrait Gallery,Washington,D.C.,
Nelson-Atkins Museum of Art,Kansas City,Missouri,
Neue Galerie,New York,New York,
New Britain Museum of American Art,New Britain,Connecticut,
New Museum of Contemporary Art,New York,New York,
New Orleans Museum of Art,New Orleans,Louisiana,
North Carolina Museum of Art,Raleigh,North Carolina,
Norton Museum of Art,West Palm Beach,Florida,
Norton Simon Museum,Pasadena,California,
Ogden Museum of Southern Art,New Orleans,Louisiana,
Oriental Institute,Chicago,Illinois,
P.S. 1 Contemporary Art Center,New York,New York,
Peabody Essex Museum,Salem,Massachusetts,
Philadelphia Museum of Art,Philadelphia,Pennsylvania,
Phillips Collection,Washington D. C.,D.C.,
Phoenix Art Museum,Phoenix,Arizona,
Portland Art Museum,Portland,Oregon,
Princeton University Art Museum,Princeton,New Jersey,
