Number,IDF Host Hotels,Address,IDF 2011 Group Rate,Rewards Program,Approximate Distance from Moscone West
1.,Grand Hyatt San Francisco,"345 Stockton Street San Francisco, CA 94108",SOLD OUT,Hyatt Gold Passport,5.5 blocks
2.,Hilton San Francisco Union Square,"333 O'Farrell Street San Francisco, CA 94102",SOLD OUT,Hilton Honors,5 blocks
3.,Hotel Palomar,"12 Fourth Street San Francisco, CA 94103",SOLD OUT,Kimpton InTouch Membership,1.5 blocks
4.,InterContinental San Francisco,"888 Howard Street San Francisco, CA 94103",SOLD OUT,Priority Club,0.5 block
5.,Marriott Courtyard San Francisco Downtown,"299 Second Street San Francisco, CA 94105",SOLD OUT,Marriott Rewards,4 blocks
6.,Marriott Union Square,"480 Sutter Street San Francisco, CA 94108",SOLD OUT,Marriott Rewards,6.5 blocks
7.,Palace Hotel - A Starwood Luxury Sheraton Hotel,"2 New Montgomery Street San Francisco, CA 94105",SOLD OUT,Starwood Preferred Guest (SPG),2.5 blocks
8.,Parc 55 Wyndham - Union Square,"55 Cyril Magnin Street San Francisco, CA 94102",SOLD OUT,Wyndham Rewards,4 blocks
9.,San Francisco Marriott Marquis,"55 Fourth Street San Francisco, CA 94103",SOLD OUT,Marriott Rewards,1 block
10.,W Hotel,"181 Third Street San Francisco, CA 94103",SOLD OUT,Starwood Preferred Guest (SPG),1 block
11.,Westin San Francisco Market Street,"50 Third Street San Francisco, CA 94103",SOLD OUT,Starwood Preferred Guest (SPG),1.5 blocks
