World rank,City,Country,City population,Metro population,Mayor
131,Guayaquil,Ecuador,"2,196,000","2,686,000",Jaime Nebot
187,QUITO,Ecuador,"1,648,000","1,842,000",Augusto Barrera
21,CAIRO,Egypt,"7,764,000","15,546,000",Abdul Azim Wazir
52,Alexandria,Egypt,"4,110,000","4,350,000",Adel Labib
127,Giza,Egypt,"2,225,000","2,600,000",n/k
412,Subra al-Haymah,Egypt,"998,000",,n/k
n/r,SAN SALVADOR,El Salvador,"520,000","1,580,000",Norman Quijano
n/r,ASMARA,Eritrea,"392,000","881,000",n/k
n/r,TALLINN,Estonia,"407,000",,Edgar Savisaar
70,ADDIS ABABA,Ethiopia,"3,385,000","4,568,000",Kuma Demeksa
577,HELSINKI,Finland,"583,000","1,311,000",Jussi Pajunen
133,PARIS,France,"2,113,000","11,769,000",Bertrand Delanoë
464,Marseille,France,"852,000","1,605,000",Jean-Claude Gaudin
n/r,Lyon,France,"472,000","1,665,000",Gérard Collomb
n/r,Toulouse,France,"438,000","851,000",Pierre Cohen
n/r,Nice,France,"347,000","943,000",Christian Estrosi
n/r,Nantes,France,"283,000","804,000",Jean-Marc Ayrault
n/r,Strasbourg,France,"273,000","639,000",Roland Rie
n/r,Montpellier,France,"252,000",,Hélène Mandroux-Colas
n/r,Bordeaux,France,"250,000","1,010,000",Alain Juppé
n/r,Lille,France,"226,000","1,143,000",Martine Aubry
n/r,Rennes,France,"206,000",,Daniel Delaveau
221,TBILISI,Georgia,"1,490,000","1,550,000",Giorgi Ugulava
68,BERLIN,Germany,"3,432,000","3,943,000",Klaus Wowereit
166,Hamburg,Germany,"1,775,000","3,260,000",Olaf Scholz
271,Munich,Germany,"1,367,000","2,600,000",Christian Ude
414,Cologne,Germany,"995,000","11,297,000",Jürgen Roters
557,Frankfurt,Germany,"665,000","2,717,000",Petra Roth
570,Stuttgart,Germany,"600,000","2,330,000",Wolfgang Schuster
573,Dortmund,Germany,"584,000",,Ullrich Sierau
579,Essen,Germany,"580,000",,Reinhard Paß
590,Bremen,Germany,"547,000","1,009,000",Jens Böhrnsen
n/r,Hannover,Germany,"520,000","1,130,000",Stephan Weil
n/r,Leipzig,Germany,"515,000","1,417,000",Burkhard Jung
n/r,Dresden,Germany,"512,000","1,030,000",Helma Orosz
n/r,Nuremberg,Germany,"504,000","1,008,000",Ulrich Maly
n/r,Duisburg,Germany,"494,000",,Adolf Sauerland
n/r,Wuppertal,Germany,"353,000",,Peter Jung
n/r,Bielefeld,Germany,"324,000","1,420,000",Peter Clausen
n/r,Mannheim,Germany,"311,000","1,456,000",Peter Kurz
n/r,Karlsruhe,Germany,"291,000",,Heinz Fenrich
n/r,Wiesbaden,Germany,"277,000",,Helmut Müller
n/r,Münster,Germany,"274,000",,Markus Lewe
n/r,Augsburg,Germany,"263,000",,Kurt Gribl
n/r,Gelsenkirchen,Germany,"262,000",,Frank Baranowski
