Body of Water,Alternate Name,Location
Alder Pond,,Alder Brook Twp.
Attean Pond,,Attean Twp.
Austin Pond,,Bald Mountain Twp
Austin Pond,,T05 R17 WELS
Austin Pond (Little),,Bald Mountain Twp
Baker Lake,,T07 R17 WELS
Baker Pond,,Solon
Baker Pond,,Caratunk
Baker Pond,,Moxie Gore
Baker Pond,,T05 R06 BKP WKR
Baker Pond,,Solon
Bald Mountain Pond,,Bald Mountain Twp
Barker Pond,,Cornville
Barrett Pond,,Holeb Twp
Bartley Pond (Big),,Holeb Twp
Basin Pond,,Pierce Pond Twp
Beans Pond,Bean Pond,Pleasant Ridge Plt.
Beck Pond,,T03 R05 BKP WKR
Berry Pond (Little),,Johnson Mountain
Bill Morris Pond,,T03 R05 BKP WKR
Black Brook Pond,,Moxie Gore
Black Brook Pond,,Pierce Pond Twp
Black Hill Pond,,Embden
Blakeslee Lake,,T05 R06 BKP WKR
Bob's Pond,,T04 R17 WELS
Brassua Lake,,Rockwood Strip-East
Butler Pond,,King and Bartlett Twp.
Butler Pond,,Lexington Twp.
Cambridge Pond,,Cambridge
Canada Falls lake,,Pittston Academy Grant
Carry Pond (East),,Carrying Place Twp
Carry Pond (Middle),,Carrying Place Twp
Carry Pond (West),,Carrying Place Twp
Center Pond,,Soldiertown Twp
Chase Pond,,Solon
Chase Pond,,Moscow
Chase Stream Pond,,Misery Twp
Chase Stream Pond (Little),,Misery Twp
Cheney Pond,,Hammond Twp
Chub Pond,,Hobbstown Twp
Clear Pond,Mill Pond,Pleasant Ridge Plt.
Clearwater Pond,,Attean Twp
Clish Pond,,T05 R20 WELS
Cold Stream Pond,,Parlin Pond Twp
Crocker Pond,,Dennistown Plt
Cunningham Pond,,Pittston Academy Grant
Daymond Pond,,Moose River
Dead Stream Pond,,West Forks Plt
Deer Pond,,King and Bartlett Twp.
Demo Pond,,Rockwood Strip-West
Desolation Pond,,T08 R16 WELS
Dimmick Pond (Big),,Caratunk
Dimmick Pond (Little),,Caratunk
Dimmick Pond,Mountain Pond,Caratunk
Dingley Pond,,T04 R05 NBKP
Dingley Pond (Little),,T04 R05 NBKP
