Carlow,St Dympna,
Cavan,Cavan General Hospital,
Clare,Mid-Western Regional Hospital,Ennis
Cork,Bantry General Hospital,Bantry
,Bon Secours Hospital,Cork
,Cork Medical Centre,Cork
,Cork University Hospital,Cork
,Erinville Hospital,Cork
,Mallow General Hospital,Mallow
,Marymount Hospital,Cork
,Mercy Hospital,Cork
,Shanakiel Hospital,Cork
,South Infirmary Victoria University Hospital,Cork
,Bandon Community Hospital,Bandon
,St. Anthony's Hospital (Cork),Dunmanway
,St. Finbarr's Hospital,Cork
,St. Mary's Orthopaedic Hospital,Cork
,St. Patrick's Hospital,Fermoy
,Tabor Lodge,Tabor
County Donegal,Donegal Hospital,Donegal
,Killybegs Community Hospital,Killybegs
,Letterkenny General Hospital,Letterkenny
,St. Conal's Psychiatric Hospital,Letterkenny
County Dublin,Beaumont Hospital,Dublin
,Blackrock Clinic,Blackrock
,Bloomfield Care Centre,Rathfarnham
,Bon Secours Hospital,Dublin
,Cappagh National Orthopaedic Hospital,Finglas
,Central Mental Hospital,Dundrum
,Cherry Orchard Hospital,Ballyfermot
,Children's University Hospital,Temple Street
,Clonskeagh Hospital,Clonskeagh
,Coombe Women's Hospital,Dolphin's Barn
,Hermitage Medical Clinic,Lucan
,Highfield Hospital,Whitehall
,Incorporated Orthopaedic Hospital of Ireland,Clontarf
,Connolly Hospital,Blanchardstown
,Dublin Dental Hospital,Lincoln Place
,Leopardstown Park Hospital,Foxrock
,Mater Misericordiae University Hospital,Dublin
,,
,Mater Private Hospital,Eccles Street
,Mount Carmel Hospital,Churchtown
,National Maternity Hospital,Holles Street
,National Rehabilitation Hospital,Dun Laoghaire
,Our Lady's Hospital for Sick Children,Crumlin
,Peamount Hospital,Newcastle
,The Rotunda Maternity Hospital,
,Royal City of Dublin Hospital,Baggot Street
,The Royal Hospital,Donnybroo
,Royal Victoria Eye and Ear Hospital,Adelaide Road
,St. Brendan's Hospital,Dublin
,St. Bricin's Military Hospital,Arbour Hill
,St. Columcille's Hospital,Loughlinstown
,St. Edmundsbury Hospital,Lucan
,St. Ita's Psychiatric Hospital,Portrane
,St. James's Hospital,Rialto
,St. John of God Hospital,Stillorgan
,St. Joseph's Hospital,Dublin
,St. Loman's Hospital,Palmerstown
,St. Mary's Hospital (Baldoyle),Baldoyle
,,
,St. Mary's Hospital (Phoenix Park),Phoenix Park
,St. Michael's Hospital,Dun Laoghaire
,St. Patrick's Hospital,Dublin 8
,St. Paul's Hospital,Dublin
,St. Vincent's Psychiatric Hospital,Fairview
,St. Vincent's Private Hospital,Merrion Road
,St. Vincent's University Hospital,Elm Park
,Tallaght Hospital,Tallaght
,UPMC Beacon Hospital,Sandyford
County Galway,Bon Secours Hospital,Galway
,,
,Galway Clinic,Galway
,Merlin Park Regional Hospital,Galway
,Portiuncula Hospital,Ballinasloe
,University College Hospital Galway,Galway
County Kerry,Bon Secours Hospital,Tralee
,Cahersiveen Community Hospital (St. Anne's),Cahersiveen
,Dingle Community Hospital (St. Elizabeth's),Dingle
,Kenmare Community Hospital,Kenmare
,Killarney Community Hospital,Killarney
,Listowel Community Hospital,Listowel
,St. Finan's Hospital,Killarney
,Tralee General Hospital,Tralee
County Kildare,Clane Hospital,Clane
,Naas General Hospital,Naas
,St. Vincent's Hospital,Athy
County Kilkenny,Aut Even Hospital,Kilkenny
,Castlecomer District Hospital,Castlecomer
,Lourdes Regional Orthopaedic Hospital,Kilcreene
,St. Canice's Psychiatric Hospital,Kilkenny
,St. Luke's General Hospital,Kilkenny
County Laois,Midland Regional Hospital,Portlaoise
County Leitrim,Our Lady's Hospital,Manorhamilton
County Limerick,Barringtons Hospital,Limerick
,Mid-Western Regional Hospital,Limerick
,Mid-Western Regional Orthopaedic Hospital,Croom
,St. Camillus' Geriatric Hospital,Limerick
,St. John's Hospital (Limerick),
,St. Munchins Maternity Hospital,Limerick
County Louth,Louth County Hospital,Dundalk
,Our Lady of Lourdes Hospital,Drogheda
,St. Brigid's Psychiatric Hospital,Ardee
County Mayo,Mayo General Hospital,Castlebar
,Ballina District Hospital,Ballina
,Swinford District Hospital,Swinford
,Belmullet District Hospital,Belmullet
County Meath,Our Lady's Hospital,Navan
,St. Joseph's Hospital,Trim
County Monaghan,Monaghan Hospital,Monaghan
County Offaly,Birr District Hospital,Birr
,Midland Regional Hospital,Tullamore
County Roscommon,Roscommon County hospital Roscommon,
,Sacred Heart Hospital Roscommon,
County Sligo,Sligo General Hospital,Sligo
,St. John's Community Hospital,Sligo
,St. Joseph's Hospital,Sligo
County Tipperary,Mid-Western Regional Hospital,Nenagh
,South Tipperary General Hospital,Clonmel
,St. Brigid's District Hospital,Carrick on Suir
County Waterford,St. Joseph's Hospital,Dungarvan
,St. Otteran's Psychiatric Hospital,Waterford
,St. Vincent's District Hospital,Dungarvan
,Waterford Regional Hospital,Waterford
County Westmeath,Midland Regional Hospital,Mullingar
,St. Loman's Psychiatric Hospital,Mullingar
,St. Mary's Hospital (Mullingar),Mullingar
,Saint Francis Private Hospital,Mullingar
County Wexford,Ely Hospital,Wexford
,Gorey District Hospital,Gorey
,New Houghton Hospital,New Ross
,St John's Hospital,Enniscorthy
,St Senan's Psychiatric Hospital,Enniscorthy
,Wexford General Hospital,Wexford
County Wicklow,St. Vincent's Hospital,Wicklow
