Year,,Voted By,Inducted As,Votes,% of Ballots
2011,Roberto Alomar,BBWAA,Player,523.0,90.0%
2011,Bert Blyleven,BBWAA,Player,463.0,79.7%
2011,Pat Gillick,Veterans,Executive,,
2010,Andre Dawson,BBWAA,Player,420.0,77.9%
2010,Doug Harvey,Veterans,Umpire,,
2010,Whitey Herzog,Veterans,Manager,,
2009,Joe Gordon,Veterans,Player,,
2009,Rickey Henderson,BBWAA,Player,511.0,94.8%
2009,Jim Rice,BBWAA,Player,412.0,76.4%
2008,Barney Dreyfuss,Veterans,Pioneer/Executive,,
2008,Rich Gossage,BBWAA,Player,466.0,85.8%
2008,Bowie Kuhn,Veterans,Pioneer/Executive,,
2008,Walter O'Malley,Veterans,Pioneer/Executive,,
2008,Billy Southworth,Veterans,Manager,,
2008,Dick Williams,Veterans,Manager,,
2007,Tony Gwynn,BBWAA,Player,532.0,97.6%
2007,Cal Ripken,BBWAA,Player,537.0,98.5%
2006,Raymond Brown,Negro League,Player,,
2006,Willard Brown,Negro League,Player,,
2006,Andy Cooper,Negro League,Player,,
2006,Frank Grant,Negro League,Player,,
2006,Pete Hill,Negro League,Player,,
2006,Biz Mackey,Negro League,Player,,
2006,Effa Manley,Negro League,Pioneer/Executive,,
2006,Jose Mendez,Negro League,Player,,
2006,Alex Pompez,Negro League,Pioneer/Executive,,
2006,Cum Posey,Negro League,Pioneer/Executive,,
2006,Louis Santop,Negro League,Player,,
2006,Bruce Sutter,BBWAA,Player,400.0,76.9%
2006,Mule Suttles,Negro League,Player,,
2006,Ben Taylor,Negro League,Player,,
2006,Cristobal Torriente,Negro League,Player,,
2006,Sol White,Negro League,Pioneer/Executive,,
2006,J. L. Wilkinson,Negro League,Pioneer/Executive,,
2006,Jud Wilson,Negro League,Player,,
2005,Wade Boggs,BBWAA,Player,474.0,91.9%
2005,Ryne Sandberg,BBWAA,Player,393.0,76.2%
2004,Dennis Eckersley,BBWAA,Player,421.0,83.2%
2004,Paul Molitor,BBWAA,Player,431.0,85.2%
2003,Gary Carter,BBWAA,Player,387.0,78.0%
2003,Eddie Murray,BBWAA,Player,423.0,85.3%
2002,Ozzie Smith,BBWAA,Player,433.0,91.7%
2001,Bill Mazeroski,Veterans,Player,,
2001,Kirby Puckett,BBWAA,Player,423.0,82.1%
2001,Hilton Smith,Veterans,Player,,
2001,Dave Winfield,BBWAA,Player,435.0,84.5%
2000,Sparky Anderson,Veterans,Manager,,
2000,Carlton Fisk,BBWAA,Player,397.0,79.6%
2000,Bid McPhee,Veterans,Player,,
2000,Tony Perez,BBWAA,Player,385.0,77.2%
2000,Turkey Stearnes,Veterans,Player,,
1999,George Brett,BBWAA,Player,488.0,98.2%
1999,Orlando Cepeda,Veterans,Player,,
1999,Nestor Chylak,Veterans,Umpire,,
1999,Nolan Ryan,BBWAA,Player,491.0,98.8%
1999,Frank Selee,Veterans,Manager,,
1999,Smokey Joe Williams,Veterans,Player,,
1999,Robin Yount,BBWAA,Player,385.0,77.5%
1998,George Davis,Veterans,Player,,
1998,Larry Doby,Veterans,Player,,
1998,Lee MacPhail,Veterans,Pioneer/Executive,,
1998,Bullet Rogan,Veterans,Player,,
1998,Don Sutton,BBWAA,Player,386.0,81.6%
1997,Nellie Fox,Veterans,Player,,
1997,Tom Lasorda,Veterans,Manager,,
1997,Phil Niekro,BBWAA,Player,380.0,80.3%
1997,Willie Wells,Veterans,Player,,
1996,Jim Bunning,Veterans,Player,,
1996,Bill Foster,Veterans,Player,,
1996,Ned Hanlon,Veterans,Manager,,
1996,Earl Weaver,Veterans,Manager,,
1995,Richie Ashburn,Veterans,Player,,
1995,Leon Day,Veterans,Player,,
1995,William Hulbert,Veterans,Pioneer/Executive,,
1995,Mike Schmidt,BBWAA,Player,444.0,96.5%
1995,Vic Willis,Veterans,Player,,
1994,Steve Carlton,BBWAA,Player,436.0,95.6%
1994,Leo Durocher,Veterans,Manager,,
1994,Phil Rizzuto,Veterans,Player,,
1993,Reggie Jackson,BBWAA,Player,396.0,93.6%
1992,Rollie Fingers,BBWAA,Player,349.0,81.2%
1992,Bill McGowan,Veterans,Umpire,,
1992,Hal Newhouser,Veterans,Player,,
1992,Tom Seaver,BBWAA,Player,425.0,98.8%
1991,Rod Carew,BBWAA,Player,401.0,90.5%
1991,Fergie Jenkins,BBWAA,Player,334.0,75.4%
1991,Tony Lazzeri,Veterans,Player,,
1991,Gaylord Perry,BBWAA,Player,342.0,77.2%
1991,Bill Veeck,Veterans,Pioneer/Executive,,
1990,Joe Morgan,BBWAA,Player,363.0,81.8%
1990,Jim Palmer,BBWAA,Player,411.0,92.6%
1989,Al Barlick,Veterans,Umpire,,
1989,Johnny Bench,BBWAA,Player,431.0,96.4%
1989,Red Schoendienst,Veterans,Player,,
1989,Carl Yastrzemski,BBWAA,Player,423.0,94.6%
1988,Willie Stargell,BBWAA,Player,352.0,82.4%
1987,Ray Dandridge,Veterans,Player,,
1987,Catfish Hunter,BBWAA,Player,315.0,76.3%
1987,Billy Williams,BBWAA,Player,354.0,85.7%
1986,Bobby Doerr,Veterans,Player,,
1986,Ernie Lombardi,Veterans,Player,,
1986,Willie McCovey,BBWAA,Player,346.0,81.4%
1985,Lou Brock,BBWAA,Player,315.0,79.7%
1985,Enos Slaughter,Veterans,Player,,
1985,Arky Vaughan,Veterans,Player,,
1985,Hoyt Wilhelm,BBWAA,Player,331.0,83.8%
1984,Luis Aparicio,BBWAA,Player,341.0,84.6%
1984,Don Drysdale,BBWAA,Player,316.0,78.4%
1984,Rick Ferrell,Veterans,Player,,
1984,Harmon Killebrew,BBWAA,Player,335.0,83.1%
1984,Pee Wee Reese,Veterans,Player,,
1983,Walter Alston,Veterans,Manager,,
1983,George Kell,Veterans,Player,,
1983,Juan Marichal,BBWAA,Player,313.0,83.7%
1983,Brooks Robinson,BBWAA,Player,344.0,92.0%
1982,Hank Aaron,BBWAA,Player,406.0,97.8%
1982,Happy Chandler,Veterans,Pioneer/Executive,,
1982,Travis Jackson,Veterans,Player,,
1982,Frank Robinson,BBWAA,Player,370.0,89.2%
1981,Rube Foster,Veterans,Manager,,
1981,Bob Gibson,BBWAA,Player,337.0,84.0%
1981,Johnny Mize,Veterans,Player,,
1980,Al Kaline,BBWAA,Player,340.0,88.3%
1980,Chuck Klein,Veterans,Player,,
1980,Duke Snider,BBWAA,Player,333.0,86.5%
1980,Tom Yawkey,Veterans,Pioneer/Executive,,
1979,Warren Giles,Veterans,Pioneer/Executive,,
1979,Willie Mays,BBWAA,Player,409.0,94.7%
1979,Hack Wilson,Veterans,Player,,
1978,Addie Joss,Veterans,Player,,
1978,Larry MacPhail,Veterans,Pioneer/Executive,,
1978,Eddie Mathews,BBWAA,Player,301.0,79.4%
1977,Ernie Banks,BBWAA,Player,321.0,83.8%
1977,Martin Dihigo,Negro League,Player,,
1977,Pop Lloyd,Negro League,Player,,
1977,Al Lopez,Veterans,Manager,,
1977,Amos Rusie,Veterans,Player,,
1977,Joe Sewell,Veterans,Player,,
1976,Oscar Charleston,Negro League,Player,,
1976,Roger Connor,Veterans,Player,,
1976,Cal Hubbard,Veterans,Umpire,,
1976,Bob Lemon,BBWAA,Player,305.0,78.6%
1976,Freddie Lindstrom,Veterans,Player,,
1976,Robin Roberts,BBWAA,Player,337.0,86.9%
1975,Earl Averill,Veterans,Player,,
1975,Bucky Harris,Veterans,Manager,,
1975,Billy Herman,Veterans,Player,,
1975,Judy Johnson,Negro League,Player,,
1975,Ralph Kiner,BBWAA,Player,273.0,75.4%
1974,Cool Papa Bell,Negro League,Player,,
1974,Jim Bottomley,Veterans,Player,,
1974,Jocko Conlan,Veterans,Umpire,,
1974,Whitey Ford,BBWAA,Player,284.0,77.8%
1974,Mickey Mantle,BBWAA,Player,322.0,88.2%
1974,Sam Thompson,Veterans,Player,,
1973,Roberto Clemente,Special Election,Player,,
1973,Billy Evans,Veterans,Umpire,,
1973,Monte Irvin,Negro League,Player,,
1973,High Pockets Kelly,Veterans,Player,,
