Lake Name,Access,Acres,Class,Category
Bony Lake,Water,191,B,2
Buffalo Lake,Walk-in,179,B,1
Buskey Bay,Ramp,100,A1,2
Chippewa,Ramp,319,B,1
Cranberry Lake T44N R09W S30,Water,131,B,1
Devils Lake,Water,23,C,2
"Eagle Lake (Murray,Inch)",Water,170,B,2
"Eau Claire Lake, Lower*",Ramp,802,B,2
"Eau Claire Lake, Middle",Ramp,902,A1,2
"Eau Claire Lake, Upper",Ramp,996,B,2
Flynn Lake T46N R08W S03,Water,29,B,2
Ghost Lake,Water,132,B,1
"Hart Lake (Heart,Wiehe)",Water,259,A1,2
Hildur (Bluebird) Lake,Road,67,C,1
Jackson Lake,Water,142,B,2
McCarry Lake,Water,32,C,2
Millicent Lake (Pike),Water,183,A1,2
Muskellunge Lake (Butte),Road,44,C,2
"Namekagon Lake(Spring, Garden)",Ramp,3227,A1,2
Pacwawong Lake*,Ramp,160,,
Pike Lake,Water,17,C,2
Shunenberg Lake,Water,44,C,2
Smith Lake,Water,31,C,2
Swett Lake (Sweet),Water,88,C,2
Twin Bear Lake (Crow),Ramp,172,A1,2
White Bass Lake,None,112,C,1
