Lake,Location,Basin countries,Residence time
Klingnauer Stausee,Aargau,Switzerland,000000.0000.13 days
Lake H?v?z,H?v?z,Hungary,000000.00328 hours
Stausee Ferden,"Ferden, Valais",Switzerland,000000.00436 hours
Lake Wohlen / Wohlensee,Canton of Berne,Switzerland,000000.0062.1 days
Lake St. Clair,Great Lakes,"Canada, United States",000000.0197 days (2-30 days)
Lake Arapuni,North Island,New Zealand,000000.0191 week
Milton Pond,"Strafford County, New Hampshire; York County, Maine",United States,000000.03011.1 days
Gibson Lake,"Gibson Generating Station, Montgomery Township, Indiana",United States,000000.0382 weeks
R?cksta Tr?sk,,Sweden,000000.0482-3 weeks
Lake Sagami,Kanagawa,Japan,000000.0500.05 year
Lake Cristallina,Ticino,Switzerland,000000.0582-4 weeks
Northeast Pond,"Strafford County, New Hampshire; York County, Maine",United States,000000.06523.7 days
Brandy Pond,"Naples, Maine",United States,000000.09334 days
Champagne Pool,"Waiotapu, North Island",New Zealand,000000.09334 days
Prospect reservoir,"Prospect, New South Wales",Australia,000000.09730-40 days
Sicklasj?n,,Sweden,000000.1000.1 year
Devils Lake,"Lincoln County, Oregon",United States,000000.1500.15 years
Lough Derg,,Ireland,000000.1500.15 years
Derwent Water,Lake District,United Kingdom,000000.15155 days
Lake Biel / Bielersee / Lac de Bienne,Canton of Berne,Switzerland,000000.15958 days
Veluwemeer,,Netherlands,000000.1672 months
Hacksj?n,,Sweden,000000.2000.2 years
Kamloops Lake,British Columbia,Canada,000000.200ca. 0.2 years (20-340 days)
Malham Tarn,"Yorkshire Dales, England",United Kingdom,000000.21211 weeks
Lac d'Anterne,"Passy, Haute-Savoie",France,000000.24790 days
Graham Lake,"Hancock County, Maine",United States,000000.2503 months
Grand Lac de Clairvaux,"Jura department, Franche-Comt?",France,000000.2503 months
Laduviken,,Sweden,000000.2503 months
Esthwaite Water,"Lake District, Cumbria",United Kingdom,000000.2600.26 years
Treh?rningen,"Huddinge, Southern Stockholm County",Sweden,000000.2700.27 years
Lac de Divonne,"Divonne-les-Bains, Ain",France,000000.274100 days
Lake Lesina / Lago di Lesina,"Province of Foggia, Puglia",Italy,000000.274100 days
Seeweidsee,Canton of Zurich,Switzerland,000000.274100 days
H?ttnersee,"H?tten, Canton of Zurich",Switzerland,000000.329120 days
Lake Lauerz / Lauerzersee,Canton of Schwyz,Switzerland,000000.3380.3378 years
Morris Lake,"Halifax Regional Municipality, Nova Scotia",Canada,000000.3454.1 months
Sobradinho,,Brazil,000000.3500.35 years
Stump Pond /Balch Pond,"Carroll County, New Hampshire; York County, Maine",United States,000000.373136 days
Magelungen,,Sweden,000000.3754-5 months
Russell Lake,"Halifax Regional Municipality, Nova Scotia",Canada,000000.3834.6 months
Loweswater,"Lake District, Cumbria",United Kingdom,000000.411150 days
Lappk?rret,,Sweden,000000.4175 months
Lough Feeagh,County Mayo,Ireland,000000.4700.47 year
Egelsee,"Bubikon, Canton of Zurich",Switzerland,000000.493180 days
Lac de Vouglans,,France,000000.493180 days
Mettmenhaslisee,Canton of Zurich,Switzerland,000000.493180 days
Albysj?n,,Sweden,000000.5000.5 year
Chesuncook Lake,"Piscataquis County, Maine",United States,000000.5006 months
Clinton Lake,"DeWitt County, Illinois",United States,000000.5006 months
Flagstaff Lake,"Somerset County and Franklin County, Maine",United States,000000.5006 months
Lake Coeur d'Alene,Northern Idaho,United States,000000.5000.5 years
Lac de Saint-Point,"Doubs department, Franche-Comt?",France,000000.548200 days
Kyrksj?n,,Sweden,000000.5837 months
Newnan's Lake,"Gainesville, Florida",United States,000000.6000.6 years
Staples Pond,"Temple, Maine",United States,000000.6838.2 months
Lac Cornu,"Chamonix-Mont-Blanc, Haute-Savoie",France,000000.685250 days
Lac du Br?vent,"Chamonix, Haute-Savoie",France,000000.685250 days
Lake Silvaplana / Silvaplanersee / Lej da Silvaplauna,"Engadin, Grisons",Switzerland,000000.685250 days
Loch Awe,"Argyll and Bute, Scotland",United Kingdom,000000.7000.7 year
L?ngsj?n,,Sweden,000000.7929-10 months
Lake Sarnen / Sarnersee,Obwalden,Switzerland,000000.8000.8 years
Lake Lovozero,"Kola Peninsula, Murmansk Oblast",Russia,000000.83310 months
Drevviken,,Sweden,000000.87510-11 months
M?rtsj?n,,Sweden,000000.900< 1 year
Judarn,"Bromma, Stockholm",Sweden,000000.91711 months
Coniston Water,"Lake District, Cumbria",United Kingdom,000000.932340 days
Ullswater,"Lake District, England",United Kingdom,000000.959350 days
Khanka Lake,"Heilongjiang Province, China and Primorsky Krai, Russia","China, Russia",0000001.0001 year
Lake Monona,"Dane County, Wisconsin",United States,0000001.1001.1 years
Long Lake,Maine,United States,0000001.1001.1 years
Mooselookmeguntic Lake,"Franklin County, Maine",United States,0000001.1001.1 years
Greifensee,Canton of Zurich,Switzerland,0000001.118408 days
Nainital Lake,Uttarakhand,India,0000001.1601.16 years
Manasbal Lake,Kashmir Valley,India,0000001.2001.2 years
Lake Zurich / Z?richsee,,Switzerland,0000001.205440 days
Tegernsee,Bavaria,Germany,0000001.2801.28 years
Deer Creek Reservoir,Utah,United States,0000001.3001.3 year
Orl?ngen,,Sweden,0000001.3301.33 years
Haweswater Reservoir,"Lake District, Cumbria",United Kingdom,0000001.370500 days
Loch Shiel,"Lochaber, Highland, Scotland",United Kingdom,0000001.3701.37 year
Lake Walen /Walensee / Lake Walenstadt,"St. Gallen, Glarus",Switzerland,0000001.4261.4258 years
Keoka Lake,Maine,United States,0000001.5001.5 years
Lake Murten /Lac de Morat /Murtensee,Canton of Fribourg/Vaud,Switzerland,0000001.6001.6 years
Oeschinen Lake,Bernese Oberland,Switzerland,0000001.6101.61 years
Lac de Lessy,Haute-Savoie,France,0000001.644600 days
East Grand Lake,Maine / New Brunswick,"Canada, United States",0000001.7001.7 years
Lake Ikeda,Ky?sh? island,Japan,0000001.7001.7 years
Faaker See,Carinthia,Austria,0000001.8001.8 years
Ossiacher See / Lake Ossiach,Carinthia,Austria,0000001.8001.8 years
Varese Lake/Lago di Varese,"Province of Varese, Lombardy",Italy,0000001.8001.8 years
Long Lost Lake,"Clearwater County, Minnesota",United States,0000001.8001.8 years
?ltasj?n,,Sweden,0000001.8001.8 years
Lake Thun / Thunersee,Canton of Berne,Switzerland,0000001.874684 days
Green Lake,Maine,United States,0000001.9001.9 years
G?mmaren,,Sweden,0000001.9001.9 yrs
