1T,1Time,WebCheckIn,Reisegepдck
JP,Adria Airways,WebCheckIn,Reisegepдck
A3,Aegean Airlines,WebCheckIn,Reisegepдck
RE,Aer Arann,WebCheckIn,Reisegepдck
EI,Aer Lingus,WebCheckIn,Reisegepдck
AJ,Aero,WebCheckIn,Reisegepдck
P5,Aero Republica,WebCheckIn,Reisegepдck
SU,Aeroflot Russian Airlines,WebCheckIn,Reisegepдck
7E,Aeroline GmbH,WebCheckIn,Reisegepдck
AR,Aerolineas Argentinas,WebCheckIn,Reisegepдck
VW,Aeromar,WebCheckIn,Reisegepдck
AM,Aeromexico,WebCheckIn,Reisegepдck
5L,Aerosur,WebCheckIn,Reisegepдck
VV,Aerosvit,WebCheckIn,Reisegepдck
8U,Afriqiyah Airways,WebCheckIn,Reisegepдck
ZI,Aigle Azur,WebCheckIn,Reisegepдck
AH,Air Algerie,WebCheckIn,Reisegepдck
A6,Air Alps,WebCheckIn,Reisegepдck
G9,Air Arabia,WebCheckIn,Reisegepдck
KC,Air Astana,WebCheckIn,Reisegepдck
UU,Air Austral,WebCheckIn,Reisegepдck
JA,Air Bosna,WebCheckIn,Reisegepдck
BP,Air Botswana,WebCheckIn,Reisegepдck
SB,Air Caledonie International,WebCheckIn,Reisegepдck
AC,Air Canada,WebCheckIn,Reisegepдck
QK,Air Canada Jazz,WebCheckIn,Reisegepдck
TX,Air Caraibes,WebCheckIn,Reisegepдck
CV,Air Chathams,WebCheckIn,Reisegepдck
CA,Air China,WebCheckIn,Reisegepдck
UX,Air Europa,WebCheckIn,Reisegepдck
AF,Air France,WebCheckIn,Reisegepдck
GL,Air Greenland,WebCheckIn,Reisegepдck
AI,Air India,WebCheckIn,Reisegepдck
3H,Air Inuit,WebCheckIn,Reisegepдck
I9,Air Italy,WebCheckIn,Reisegepдck
VU,Air Ivoire,WebCheckIn,Reisegepдck
JM,Air Jamaica,WebCheckIn,Reisegepдck
4A,Air Kiribati,WebCheckIn,Reisegepдck
NX,Air Macau,WebCheckIn,Reisegepдck
MD,Air Madagaskar,WebCheckIn,Reisegepдck
KM,Air Malta,WebCheckIn,Reisegepдck
MK,Air Mauritius,WebCheckIn,Reisegepдck
9U,Air Moldavia,WebCheckIn,Reisegepдck
SW,Air Namibia,WebCheckIn,Reisegepдck
NZ,Air New Zealand,WebCheckIn,Reisegepдck
FJ,Air Pacific,WebCheckIn,Reisegepдck
HM,Air Seychelles,WebCheckIn,Reisegepдck
WO,Air Southwest,WebCheckIn,Reisegepдck
VT,Air Tahiti,WebCheckIn,Reisegepдck
TN,Air Tahiti Nui,WebCheckIn,Reisegepдck
TS,Air Transat,WebCheckIn,Reisegepдck
AK,AirAsia,WebCheckIn,Reisegepдck
BT,airBaltic,WebCheckIn,Reisegepдck
AB,airberlin,WebCheckIn,Reisegepдck
4C,Aires Aero,WebCheckIn,Reisegepдck
P2,AirKenya,WebCheckIn,Reisegepдck
FL,AirTran Airways,WebCheckIn,Reisegepдck
AS,Alaska Airlines,WebCheckIn,Reisegepдck
AZ,Alitalia,WebCheckIn,Reisegepдck
NH,All Nippon Airways,WebCheckIn,Reisegepдck
G4,Allegiant Air,WebCheckIn,Reisegepдck
AA,American Airlines,WebCheckIn,Reisegepдck
KT,AnadoluJet,WebCheckIn,Reisegepдck
FG,Ariana Airlines,WebCheckIn,Reisegepдck
U8,Armavia,WebCheckIn,Reisegepдck
OZ,Asiana,WebCheckIn,Reisegepдck
8A,Atlas Blue,WebCheckIn,Reisegepдck
KK,Atlasjet,WebCheckIn,Reisegepдck
GR,Aurigny,WebCheckIn,Reisegepдck
OS,Austrian Airlines,WebCheckIn,Reisegepдck
2B,Bahrain Air,WebCheckIn,Reisegepдck
PG,Bangkok Airways,WebCheckIn,Reisegepдck
B2,Belavia,WebCheckIn,Reisegepдck
NT,Binter Canarias,WebCheckIn,Reisegepдck
O5,Blekingeflyg,WebCheckIn,Reisegepдck
BV,Blu-Express,WebCheckIn,Reisegepдck
SI,Blue Islands,WebCheckIn,Reisegepдck
KF,Blue1,WebCheckIn,Reisegepдck
WW,bmi baby,WebCheckIn,Reisegepдck
BD,bmi British Midland,WebCheckIn,Reisegepдck
BA,British Airways,WebCheckIn,Reisegepдck
SN,Brussels Airlines,WebCheckIn,Reisegepдck
C6,Can Jet,WebCheckIn,Reisegepдck
BW,Caribbean Airlines,WebCheckIn,Reisegepдck
V3,Carpatair,WebCheckIn,Reisegepдck
CX,Cathay Pacific,WebCheckIn,Reisegepдck
CI,China Airlines,WebCheckIn,Reisegepдck
CZ,China Southern Airlines,WebCheckIn,Reisegepдck
QI,Cimber Sterling,WebCheckIn,Reisegepдck
C9,Cirrus Airlines,WebCheckIn,Reisegepдck
WX,CityJet,WebCheckIn,Reisegepдck
DE,Condor,WebCheckIn,Reisegepдck
UA,Continental,WebCheckIn,Reisegepдck
CO,Continental Airlines,WebCheckIn,Reisegepдck
CM,Copa Airlines,WebCheckIn,Reisegepдck
7H,Corendon,WebCheckIn,Reisegepдck
OU,Croatia Airlines,WebCheckIn,Reisegepдck
CU,Cubana,WebCheckIn,Reisegepдck
CY,Cyprus Airways,WebCheckIn,Reisegepдck
OK,Czech Airlines,WebCheckIn,Reisegepдck
0D,Darwin Airline,WebCheckIn,Reisegepдck
DX,DAT,WebCheckIn,Reisegepдck
DL,Delta Air Lines,WebCheckIn,Reisegepдck
KA,Dragonair,WebCheckIn,Reisegepдck
U2,easyJet,WebCheckIn,Reisegepдck
WK,Edelweiss Air,WebCheckIn,Reisegepдck
MS,Egyptair,WebCheckIn,Reisegepдck
LY,EL AL,WebCheckIn,Reisegepдck
EK,Emirates,WebCheckIn,Reisegepдck
OV,Estonian Air,WebCheckIn,Reisegepдck
ET,Ethiopian Airlines,WebCheckIn,Reisegepдck
EY,Etihad Airways,WebCheckIn,Reisegepдck
EW,Eurowings,WebCheckIn,Reisegepдck
BR,Eva Air,WebCheckIn,Reisegepдck
AY,Finnair,WebCheckIn,Reisegepдck
FC,Finncomm,WebCheckIn,Reisegepдck
FY,Firefly,WebCheckIn,Reisegepдck
DP,First Choice,WebCheckIn,Reisegepдck
BE,FLYBE,WebCheckIn,Reisegepдck
F9,Frontier Airlines,WebCheckIn,Reisegepдck
GA,Garuda Indonesia,WebCheckIn,Reisegepдck
4U,Germanwings,WebCheckIn,Reisegepдck
G8,Go Air,WebCheckIn,Reisegepдck
G3,GOL,WebCheckIn,Reisegepдck
JZ,Gotlandsflyg,WebCheckIn,Reisegepдck
GF,Gulf Air,WebCheckIn,Reisegepдck
HU,Hainan Airlines,WebCheckIn,Reisegepдck
HA,Hawaiian Airlines,WebCheckIn,Reisegepдck
2L,Helvetic Airways,WebCheckIn,Reisegepдck
HX,Hong Kong Airlines,WebCheckIn,Reisegepдck
IB,Iberia,WebCheckIn,Reisegepдck
5W,Iceland Express,WebCheckIn,Reisegepдck
FI,Icelandair,WebCheckIn,Reisegepдck
IC,Indian Airlines,WebCheckIn,Reisegepдck
6E,IndiGo,WebCheckIn,Reisegepдck
3L,InterSky,WebCheckIn,Reisegepдck
IR,Iran Air,WebCheckIn,Reisegepдck
JL,JAL Japan Airlines,WebCheckIn,Reisegepдck
J9,Jazeera Airways,WebCheckIn,Reisegepдck
9W,Jet Airways,WebCheckIn,Reisegepдck
JQ,Jet Star,WebCheckIn,Reisegepдck
LS,Jet2.com,WebCheckIn,Reisegepдck
B6,JetBlue Airways,WebCheckIn,Reisegepдck
S2,JetLite,WebCheckIn,Reisegepдck
KQ,Kenia Airways,WebCheckIn,Reisegepдck
IT,Kingfisher Airlines,WebCheckIn,Reisegepдck
KL,KLM Royal Dutch Airlines,WebCheckIn,Reisegepдck
KE,Korean Air,WebCheckIn,Reisegepдck
2Q,Kullaflyg,WebCheckIn,Reisegepдck
MN,Kulula Air,WebCheckIn,Reisegepдck
KU,Kuwait Airways,WebCheckIn,Reisegepдck
LA,LAN Airlines,WebCheckIn,Reisegepдck
NG,Lauda Air,WebCheckIn,Reisegepдck
LI,LIAT,WebCheckIn,Reisegepдck
LO,LOT Polish Airlines,WebCheckIn,Reisegepдck
LT,LTU Iinternational Airways,WebCheckIn,Reisegepдck
LH,Lufthansa,WebCheckIn,Reisegepдck
LG,Luxair,WebCheckIn,Reisegepдck
MH,Malaysia Airlines,WebCheckIn,Reisegepдck
MA,Malev Hungarian Airlines,WebCheckIn,Reisegepдck
TF,Malmo Aviation,WebCheckIn,Reisegepдck
MP,Martinair,WebCheckIn,Reisegepдck
IG,Meridiana fly,WebCheckIn,Reisegepдck
ME,Middle East Airlines - Air Liban,WebCheckIn,Reisegepдck
ZB,Monarch Airlines,WebCheckIn,Reisegepдck
YM,Montenegro Airlines,WebCheckIn,Reisegepдck
XY,Nas Air,WebCheckIn,Reisegepдck
2N,NextJet,WebCheckIn,Reisegepдck
HG,NIKI,WebCheckIn,Reisegepдck
DD,Nok Air,WebCheckIn,Reisegepдck
DY,Norwegian Air Shuttle,WebCheckIn,Reisegepдck
OA,Olympic Air,WebCheckIn,Reisegepдck
WY,Oman Air,WebCheckIn,Reisegepдck
8Q,Onur Air,WebCheckIn,Reisegepдck
OL,Ostfriesische Lufttransport GmbH,WebCheckIn,Reisegepдck
LW,Pacific Wings,WebCheckIn,Reisegepдck
PK,Pakistan International Airlines,WebCheckIn,Reisegepдck
I7,Paramount Airways,WebCheckIn,Reisegepдck
PC,Pegasus Airlines,WebCheckIn,Reisegepдck
KS,Peninsula Airways,WebCheckIn,Reisegepдck
PR,Philippine Airlines,WebCheckIn,Reisegepдck
PU,Pluna,WebCheckIn,Reisegepдck
QF,Qantas Airways,WebCheckIn,Reisegepдck
QR,Qatar Airways,WebCheckIn,Reisegepдck
ZL,Regional Express Airlines,WebCheckIn,Reisegepдck
RH,Robin Hood Aviation,WebCheckIn,Reisegepдck
FV,Rossiya Airlines,WebCheckIn,Reisegepдck
AT,Royal Air Maroc,WebCheckIn,Reisegepдck
BI,Royal Brunei Airlines,WebCheckIn,Reisegepдck
RJ,Royal Jordanian Airline,WebCheckIn,Reisegepдck
FR,Ryanair,WebCheckIn,Reisegepдck
S7,S7 Airlines,WebCheckIn,Reisegepдck
SK,SAS Scandinavian Airlines,WebCheckIn,Reisegepдck
S4,SATA International,WebCheckIn,Reisegepдck
SV,Saudi Arabian Airlines,WebCheckIn,Reisegepдck
ZH,Shenzhen Airlines,WebCheckIn,Reisegepдck
MI,Silk Air,WebCheckIn,Reisegepдck
SQ,Singapore Airlines,WebCheckIn,Reisegepдck
XW,Sky Express,WebCheckIn,Reisegepдck
SX,Sky Work Airlines,WebCheckIn,Reisegepдck
QS,Smartwings,WebCheckIn,Reisegepдck
SA,South African Airways,WebCheckIn,Reisegepдck
WN,Southwest Airlines,WebCheckIn,Reisegepдck
JK,Spanair,WebCheckIn,Reisegepдck
SG,SpiceJet,WebCheckIn,Reisegepдck
NK,Spirit Airlines,WebCheckIn,Reisegepдck
UL,Srilankan Airlines,WebCheckIn,Reisegepдck
SY,Sun Country Airlines,WebCheckIn,Reisegepдck
2U,Sun d Or,WebCheckIn,Reisegepдck
XQ,Sun Express,WebCheckIn,Reisegepдck
WG,Sunwing Airlines,WebCheckIn,Reisegepдck
LX,Swiss International Air Lines,WebCheckIn,Reisegepдck
DT,TAAG Angola Airways,WebCheckIn,Reisegepдck
TA,TACA,WebCheckIn,Reisegepдck
JJ,TAM Linhas Aereas,WebCheckIn,Reisegepдck
TP,TAP Portugal,WebCheckIn,Reisegepдck
RO,Tarom,WebCheckIn,Reisegepдck
TG,Thai Airways International,WebCheckIn,Reisegepдck
FQ,Thomas Cook Airlines,WebCheckIn,Reisegepдck
MT,Thomas Cook Belgium,WebCheckIn,Reisegepдck
BY,Thomsonfly,WebCheckIn,Reisegepдck
TR,Tiger Airways,WebCheckIn,Reisegepдck
UN,Transaero Airlines,WebCheckIn,Reisegepдck
HV,Transavia,WebCheckIn,Reisegepдck
T4,Trip Linhas Aereas,WebCheckIn,Reisegepдck
X3,Tuifly,WebCheckIn,Reisegepдck
TU,Tunisair,WebCheckIn,Reisegepдck
TK,Turkish Airlines,WebCheckIn,Reisegepдck
PS,Ukraine International Airlines,WebCheckIn,Reisegepдck
U6,Ural Airlines,WebCheckIn,Reisegepдck
US,US Airways,WebCheckIn,Reisegepдck
UT,UTair,WebCheckIn,Reisegepдck
HY,Uzbekistan Airways,WebCheckIn,Reisegepдck
