#,Country,Population,% of World,Cumulative %,Country-Specific Search
1,China,"1,338,612,968",21.1%,21.1%,Safe Search for China
2,India,"1,156,897,766",18.2%,39.2%,Safe Search for India
3,United States of America,"307,212,123",4.8%,44.1%,Safe Search for United States of America
4,Indonesia,"240,271,522",3.8%,47.9%,Safe Search for Indonesia
5,Brazil,"198,739,269",3.1%,51.0%,Safe Search for Brazil
6,Pakistan,"174,578,558",2.7%,53.7%,Safe Search for Pakistan
7,Bangladesh,"156,050,883",2.5%,56.2%,Safe Search for Bangladesh
8,Nigeria,"149,229,090",2.3%,58.5%,Safe Search for Nigeria
9,Russia,"140,041,247",2.2%,60.7%,Safe Search for Russia
10,Japan,"127,078,679",2.0%,62.7%,Safe Search for Japan
11,Mexico,"111,211,789",1.7%,64.5%,Safe Search for Mexico
12,Philippines,"97,976,603",1.5%,66.0%,Safe Search for Philippines
13,Viet Nam,"88,576,758",1.4%,67.4%,Safe Search for Viet Nam
14,Ethiopia,"85,237,338",1.3%,68.8%,Safe Search for Ethiopia
15,Germany,"82,329,758",1.3%,70.1%,Safe Search for Germany
16,Egypt,"78,866,635",1.2%,71.3%,Safe Search for Egypt
17,Turkey,"76,805,524",1.2%,72.5%,Safe Search for Turkey
18,Congo (Democratic Republic),"68,692,542",1.1%,73.6%,Safe Search for Congo (Democratic Republic)
19,Thailand,"65,998,436",1.0%,74.6%,Safe Search for Thailand
20,France,"64,057,792",1.0%,75.6%,Safe Search for France
21,Italy,"58,126,212",0.91%,76.5%,Safe Search for Italy
22,South Africa,"49,052,489",0.77%,77.3%,Safe Search for South Africa
23,South Korea,"48,508,972",0.76%,78.1%,Safe Search for South Korea
24,Colombia,"43,677,372",0.69%,78.8%,Safe Search for Colombia
25,Tanzania,"41,048,532",0.65%,79.4%,Safe Search for Tanzania
26,Argentina,"40,913,584",0.64%,80.1%,Safe Search for Argentina
27,Spain,"40,525,002",0.64%,80.7%,Safe Search for Spain
28,Kenya,"39,002,772",0.61%,81.3%,Safe Search for Kenya
29,Poland,"38,482,919",0.61%,81.9%,Safe Search for Poland
30,Algeria,"34,178,188",0.54%,82.4%,Safe Search for Algeria
31,Canada,"33,487,208",0.53%,83.0%,Safe Search for Canada
32,Morocco,"31,285,174",0.49%,83.5%,Safe Search for Morocco
33,Peru,"29,546,963",0.46%,83.9%,Safe Search for Peru
34,Iraq,"28,945,569",0.46%,84.4%,Safe Search for Iraq
35,Saudi Arabia,"28,686,633",0.45%,84.8%,Safe Search for Saudi Arabia
36,Nepal,"28,563,377",0.45%,85.3%,Safe Search for Nepal
37,Afghanistan,"28,395,716",0.45%,85.7%,Safe Search for Afghanistan
38,Uzbekistan,"27,606,007",0.43%,86.2%,Safe Search for Uzbekistan
39,Venezuela,"26,814,843",0.42%,86.6%,Safe Search for Venezuela
40,Malaysia,"25,715,819",0.40%,87.0%,Safe Search for Malaysia
41,Taiwan,"22,974,347",0.36%,87.4%,Safe Search for Taiwan
42,Yemen,"22,858,238",0.36%,87.7%,Safe Search for Yemen
43,Mozambique,"21,669,278",0.34%,88.1%,Safe Search for Mozambique
44,Sri Lanka,"21,324,791",0.34%,88.4%,Safe Search for Sri Lanka
45,Australia,"21,262,641",0.33%,88.7%,Safe Search for Australia
46,Madagascar,"20,653,556",0.32%,89.0%,Safe Search for Madagascar
47,Cote d'Ivoire,"20,617,068",0.32%,89.4%,Safe Search for Cote d'Ivoire
48,Cameroon,"18,879,301",0.30%,89.7%,Safe Search for Cameroon
49,Netherlands,"16,715,999",0.26%,89.9%,Safe Search for Netherlands
50,Chile,"16,601,707",0.26%,90.2%,Safe Search for Chile
51,Burkina Faso,"15,746,232",0.25%,90.4%,Safe Search for Burkina Faso
52,Kazakhstan,"15,399,437",0.24%,90.7%,Safe Search for Kazakhstan
53,Niger,"15,306,252",0.24%,90.9%,Safe Search for Niger
54,Malawi,"15,028,757",0.24%,91.2%,Safe Search for Malawi
55,Ecuador,"14,573,101",0.23%,91.4%,Safe Search for Ecuador
56,Cambodia,"14,494,293",0.23%,91.6%,Safe Search for Cambodia
57,Senegal,"13,711,597",0.22%,91.8%,Safe Search for Senegal
58,Mali,"13,443,225",0.21%,92.0%,Safe Search for Mali
59,Guatemala,"13,276,517",0.21%,92.3%,Safe Search for Guatemala
60,Angola,"12,799,293",0.20%,92.5%,Safe Search for Angola
61,Zambia,"11,862,740",0.19%,92.6%,Safe Search for Zambia
62,Zimbabwe,"11,392,629",0.18%,92.8%,Safe Search for Zimbabwe
63,Rwanda,"10,746,311",0.17%,93.0%,Safe Search for Rwanda
64,Greece,"10,737,428",0.17%,93.2%,Safe Search for Greece
65,Portugal,"10,707,924",0.17%,93.3%,Safe Search for Portugal
66,Tunisia,"10,486,339",0.16%,93.5%,Safe Search for Tunisia
67,Belgium,"10,414,336",0.16%,93.7%,Safe Search for Belgium
68,Chad,"10,329,208",0.16%,93.8%,Safe Search for Chad
69,Czech Republic,"10,211,904",0.16%,94.0%,Safe Search for Czech Republic
70,Guinea,"10,057,975",0.16%,94.1%,Safe Search for Guinea
71,Hungary,"9,905,596",0.16%,94.3%,Safe Search for Hungary
72,Somalia,"9,832,017",0.15%,94.4%,Safe Search for Somalia
73,Bolivia,"9,775,246",0.15%,94.6%,Safe Search for Bolivia
74,Dominican Republic,"9,650,054",0.15%,94.8%,Safe Search for Dominican Republic
75,Belarus,"9,648,533",0.15%,94.9%,Safe Search for Belarus
76,Burundi,"9,511,330",0.15%,95.1%,Safe Search for Burundi
77,Sweden,"9,059,651",0.14%,95.2%,Safe Search for Sweden
78,Haiti,"9,035,536",0.14%,95.3%,Safe Search for Haiti
79,Benin,"8,791,832",0.14%,95.5%,Safe Search for Benin
80,Azerbaijan,"8,238,672",0.13%,95.6%,Safe Search for Azerbaijan
81,Austria,"8,210,281",0.13%,95.7%,Safe Search for Austria
82,Serbia and Montenegro,"8,051,519",0.13%,95.9%,Safe Search for Serbia and Montenegro
83,Honduras,"7,833,696",0.12%,96.0%,Safe Search for Honduras
84,Switzerland,"7,604,467",0.12%,96.1%,Safe Search for Switzerland
85,Tajikistan,"7,349,145",0.12%,96.2%,Safe Search for Tajikistan
86,Israel,"7,233,701",0.11%,96.3%,Safe Search for Israel
87,Bulgaria,"7,204,687",0.11%,96.4%,Safe Search for Bulgaria
88,El Salvador,"7,185,218",0.11%,96.6%,Safe Search for El Salvador
89,Hong Kong,"7,055,071",0.11%,96.7%,Safe Search for Hong Kong
90,Paraguay,"6,995,655",0.11%,96.8%,Safe Search for Paraguay
91,Laos,"6,834,345",0.11%,96.9%,Safe Search for Laos
92,Libya,"6,324,357",0.099%,97.0%,Safe Search for Libya
93,Jordan,"6,269,285",0.099%,97.1%,Safe Search for Jordan
94,Togo,"6,031,808",0.095%,97.2%,Safe Search for Togo
95,Papua New Guinea,"5,940,775",0.093%,97.3%,Safe Search for Papua New Guinea
96,Nicaragua,"5,891,199",0.093%,97.4%,Safe Search for Nicaragua
97,Eritrea,"5,647,168",0.089%,97.5%,Safe Search for Eritrea
98,Denmark,"5,500,510",0.087%,97.5%,Safe Search for Denmark
99,Slovakia,"5,463,046",0.086%,97.6%,Safe Search for Slovakia
100,Kyrgyzstan,"5,431,747",0.085%,97.7%,Safe Search for Kyrgyzstan
101,Finland,"5,250,275",0.083%,97.8%,Safe Search for Finland
102,Sierra Leone,"5,132,138",0.081%,97.9%,Safe Search for Sierra Leone
